Time,Region,u10,v10,t2m
2019-01-01,N. PIERIAS,-0.24139404,-1.8521109,278.13867
2019-01-02,N. PIERIAS,-1.0757637,-0.44699097,277.9668
2019-01-03,N. PIERIAS,1.6111317,-3.31283,273.95825
2019-01-04,N. PIERIAS,1.0522938,-3.2006397,270.60376
2019-01-05,N. PIERIAS,1.1462793,-1.6825294,271.86768
2019-01-06,N. PIERIAS,1.9858322,-3.4455318,274.69238
2019-01-07,N. PIERIAS,0.7098665,-3.348318,270.91577
2019-01-08,N. PIERIAS,0.21675777,0.044740677,272.23706
2019-01-09,N. PIERIAS,-0.29764462,-1.4075975,273.1521
2019-01-10,N. PIERIAS,0.65740585,0.62689686,276.6001
2019-01-11,N. PIERIAS,-0.5648899,-2.247983,277.38794
2019-01-12,N. PIERIAS,0.82189083,-2.5621452,275.23804
2019-01-13,N. PIERIAS,0.2891817,-0.8747511,275.66626
2019-01-14,N. PIERIAS,0.70180416,-0.8708525,275.969
2019-01-15,N. PIERIAS,2.4874544,-4.8213654,273.89795
2019-01-16,N. PIERIAS,2.318428,-0.6347151,278.7395
2019-01-17,N. PIERIAS,-0.19491959,0.3767748,281.81433
2019-01-18,N. PIERIAS,-0.0021886826,0.6227751,279.60132
2019-01-19,N. PIERIAS,-1.2093782,0.0352726,280.6228
2019-01-20,N. PIERIAS,-0.59215355,-0.12863636,282.0575
2019-01-21,N. PIERIAS,-0.98874855,-0.54044914,280.48523
2019-01-22,N. PIERIAS,-2.0278664,1.4981108,281.63293
2019-01-23,N. PIERIAS,-1.4487877,1.5469427,281.07764
2019-01-24,N. PIERIAS,-0.72944355,0.4958067,282.9026
2019-01-25,N. PIERIAS,0.23557758,0.89267826,281.10107
2019-01-26,N. PIERIAS,1.8981838,-2.5699158,277.48975
2019-01-27,N. PIERIAS,-1.0582113,0.2634573,280.4513
2019-01-28,N. PIERIAS,-0.96826935,1.7265425,282.83997
2019-01-29,N. PIERIAS,-1.0546846,-0.33014393,281.3817
2019-01-30,N. PIERIAS,1.1318684,-0.16779995,281.79602
2019-01-31,N. PIERIAS,1.1860657,-0.15311718,281.24524
2019-02-01,N. PIERIAS,-0.81533337,0.5585594,284.53442
2019-02-02,N. PIERIAS,-1.2699308,0.97328854,285.4264
2019-02-03,N. PIERIAS,-1.1899271,0.65419865,286.09875
2019-02-04,N. PIERIAS,-1.2446327,-0.9480715,284.95776
2019-02-05,N. PIERIAS,-0.26365662,-1.3386497,285.42505
2019-02-06,N. PIERIAS,-1.3271446,-2.194253,279.5973
2019-02-07,N. PIERIAS,-1.6149464,1.0226812,279.54004
2019-02-08,N. PIERIAS,-1.6647911,1.3164387,279.9673
2019-02-09,N. PIERIAS,-1.1817074,1.1251764,281.29248
2019-02-10,N. PIERIAS,-1.1805544,1.2478018,284.6084
2019-02-11,N. PIERIAS,-0.3985033,1.8999863,286.0597
2019-02-12,N. PIERIAS,0.3110304,-3.9234953,280.7146
2019-02-13,N. PIERIAS,-0.87961674,-3.897293,277.79395
2019-02-14,N. PIERIAS,1.0416975,-3.5980225,281.5979
2019-02-15,N. PIERIAS,-2.4536495,-2.4720469,278.8545
2019-02-16,N. PIERIAS,-0.6412115,-0.501503,281.92334
2019-02-17,N. PIERIAS,-0.5591812,0.10115337,284.3164
