Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,21.995266,21.995266,21.835428,22.97735,283.60855,283.60855,339.2474,6161.1484,5.0542326,5.0542326,5.665839,8.215716,18.482206,18.482206,18.596556,31.175205,0.5804443,0.5804443,0.47778317,0.110216096,113.79363,113.79363,114.75047,8.403503,3.1544483,3.1544483,3.6379788,0.4741457
2019-04-02,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,29.213755,29.213755,29.019903,1.6920785,249.36946,249.36946,258.59186,419.79922,2.2584975,2.2584975,2.0776696,0.30709073,22.31735,22.31735,22.397598,0.71157724,0.3461437,0.3461437,0.29935166,0.016024636,98.59755,98.59755,98.47409,0.8925152,4.222289,4.222289,4.3856688,0.15173317
2019-04-03,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,13.312036,13.312036,13.812615,1.1490803,166.60803,166.60803,164.90674,13.930244,2.0625482,2.0625482,1.9418777,0.03881925,8.950691,8.950691,9.132298,0.53979397,0.24728933,0.24728933,0.24174862,0.0008393578,88.27242,88.27242,87.12373,4.336597,1.3644675,1.3644675,1.345498,0.0047281655
2019-04-04,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,17.060278,17.060278,17.068594,0.17444618,177.75903,177.75903,184.04578,80.05983,1.5762274,1.5762274,1.5784494,0.029276427,10.758713,10.758713,11.521808,1.5718104,0.28674105,0.28674105,0.2867253,0.0007152679,85.72576,85.72576,84.85487,9.833457,1.4535005,1.4535005,1.3783677,0.018855678
2019-04-05,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,20.766468,20.766468,21.194914,3.3637025,183.51094,183.51094,182.96468,3.363749,1.8750631,1.8750631,1.8961592,0.040572543,13.749788,13.749788,13.693465,0.60910887,0.2268547,0.2268547,0.2130491,0.003585218,96.11189,96.11189,96.51448,7.8665414,2.1067188,2.1067188,2.203535,0.1835288
2019-04-06,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,23.263895,23.263895,22.859686,1.9000694,188.76782,188.76782,187.93916,13.431529,2.001674,2.001674,1.9811052,0.353205,18.65411,18.65411,18.488583,1.2859334,0.2283603,0.2283603,0.19713297,0.009470497,99.24007,99.24007,100.73863,7.43139,3.439047,3.439047,3.0987906,0.7166801
2019-04-07,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,28.958925,28.958925,29.006813,1.0707833,180.49338,180.49338,180.29195,8.592142,1.5062989,1.5062989,1.3659545,0.05881213,24.070679,24.070679,24.212713,2.0584948,0.2048992,0.2048992,0.1931788,0.0018529382,104.84094,104.84094,105.65703,3.672807,2.6999953,2.6999953,2.6301875,0.061160415
2019-04-08,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,12.861173,12.861173,13.315514,1.6586418,224.4296,224.4296,224.47102,58.087433,5.22287,5.22287,4.7494826,2.3383064,11.273294,11.273294,10.580188,1.7893388,0.606208,0.606208,0.5470132,0.048563894,73.34684,73.34684,72.16373,18.684528,0.847411,0.847411,0.8722068,0.06024473
2019-04-09,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,6.674348,6.674348,6.6511436,1.2791259,172.16516,172.16516,172.021,4.653222,2.4661686,2.4661686,2.0938473,0.5849862,6.3530946,6.3530946,6.4880586,1.3817409,0.42832926,0.42832926,0.42383814,0.019684818,76.652306,76.652306,79.90565,26.77518,2.908102,2.908102,2.826957,1.2919706
2019-04-10,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,14.54403,14.54403,14.428859,0.5073602,181.40874,181.40874,181.26747,23.16589,2.7072694,2.7072694,2.849587,0.4044812,12.378808,12.378808,12.413684,0.62302864,0.3767459,0.3767459,0.29520735,0.028073663,84.69551,84.69551,85.02603,5.3394847,1.8377224,1.8377224,1.7425919,0.25751933
