Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,17.415508,17.415508,17.315525,0.61943954,165.69008,165.69008,165.15846,57.287556,1.1848434,1.1848434,1.0599486,0.13495785,10.669894,10.669894,10.488994,0.73154265,0.18797079,0.18797079,0.1541114,0.0042345766,91.88742,91.88742,92.37917,8.563864,3.045625,3.045625,2.9775364,0.55966777
2019-04-02,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,20.944677,20.944677,21.921553,3.331328,165.48096,165.48096,167.5487,21.919565,0.9215374,0.9215374,0.8437624,0.09218137,15.973007,15.973007,16.088007,1.5163395,0.15710679,0.15710679,0.14408563,0.0034481382,94.95558,94.95558,94.94683,1.5601172,1.6407744,1.6407744,1.6078233,0.022887373
2019-04-03,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,7.7194924,7.7194924,7.565239,0.40855268,155.21158,155.21158,155.28452,4.5731597,0.8070586,0.8070586,0.7199148,0.04793579,5.82585,5.82585,5.6957154,0.46294177,0.113891676,0.113891676,0.097941875,0.0013102557,89.996056,89.996056,90.17872,2.8939176,1.0944566,1.0944566,1.1181953,0.028621823
2019-04-04,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,14.609899,14.609899,14.660252,0.0795566,159.03125,159.03125,160.8187,15.138627,0.7841545,0.7841545,0.7329888,0.041852064,7.698163,7.698163,7.669046,0.18157703,0.13864228,0.13864228,0.122817315,0.0022075952,87.68643,87.68643,87.381165,7.009454,1.4909054,1.4909054,1.4811832,0.014774459
2019-04-05,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,14.244705,14.244705,14.434013,2.9001818,178.17557,178.17557,177.30766,98.37031,1.0341567,1.0341567,1.0227315,0.03183008,10.234966,10.234966,10.476497,1.7056891,0.12711476,0.12711476,0.114960454,0.0013410725,99.223335,99.223335,98.967705,1.357705,1.5492426,1.5492426,1.5984511,0.04134654
2019-04-06,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,22.57426,22.57426,22.287443,1.9154869,173.63728,173.63728,171.76524,40.203053,1.3426746,1.3426746,1.2331347,0.11878785,16.016212,16.016212,15.328998,3.1488938,0.103715666,0.103715666,0.08927259,0.001217465,98.21683,98.21683,100.67226,22.880579,3.430499,3.430499,3.3442547,0.22878133
2019-04-07,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,19.78492,19.78492,19.439838,1.6494019,162.26297,162.26297,161.63383,15.846159,0.79536784,0.79536784,0.71393204,0.052987996,17.236134,17.236134,16.850191,1.3541492,0.11754201,0.11754201,0.10673418,0.0015247746,93.09701,93.09701,93.30433,4.9919024,1.3840643,1.3840643,1.3837677,0.0128600905
2019-04-08,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,7.5803065,7.5803065,8.402424,12.086101,152.14511,152.14511,151.24539,208.01263,1.2838705,1.2838705,1.2296882,0.25475606,6.1802583,6.1802583,6.5989313,6.1541204,0.14650692,0.14650692,0.12914835,0.005892657,76.35726,76.35726,74.56131,18.48911,0.3797642,0.3797642,0.29998544,0.05108606
2019-04-09,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,3.0358577,3.0358577,2.8520706,0.46375656,160.1192,160.1192,158.84145,19.086823,1.3660592,1.3660592,1.1459265,0.4811864,2.7904692,2.7904692,2.5498435,0.4932688,0.19719596,0.19719596,0.18009356,0.008526582,80.45308,80.45308,82.19844,15.336156,0.37947622,0.37947622,0.31754386,0.0844625
2019-04-10,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,5.984887,5.984887,6.1571035,0.50345165,158.4969,158.4969,159.05948,33.232662,1.2091006,1.2091006,1.1915213,0.26393792,5.264267,5.264267,5.315504,0.44335037,0.18424746,0.18424746,0.1649169,0.0059558325,82.06634,82.06634,80.70267,21.778633,0.51224685,0.51224685,0.42189187,0.110792905
