Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,15.817013,15.817013,15.859423,0.91450727,153.67197,153.67197,152.22476,51.6622,0.79753226,0.79753226,0.7580656,0.017292522,11.484548,11.484548,11.434833,1.3023353,0.108860105,0.108860105,0.10004532,0.001275035,99.62657,99.62657,100.184006,16.139103,2.5288723,2.5288723,2.5011106,0.15775938
2019-04-02,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,21.191746,21.191746,21.163689,1.9128245,191.95927,191.95927,186.92514,442.06052,0.62514615,0.62514615,0.5899068,0.033469588,15.775032,15.775032,15.673277,0.95889926,0.102895916,0.102895916,0.10308199,0.0009884746,97.22891,97.22891,97.39441,1.3087668,3.1028833,3.1028833,3.05468,0.13458517
2019-04-03,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,19.649857,19.649857,19.842651,2.0977817,192.34494,192.34494,187.06621,353.4394,1.0917037,1.0917037,1.0470273,0.0701151,15.270692,15.270692,15.044014,1.9252603,0.12137258,0.12137258,0.119742215,0.00065855804,86.36278,86.36278,86.50116,1.3305244,1.5255831,1.5255831,1.4343727,0.15488827
2019-04-04,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,17.68433,17.68433,17.306255,1.9766138,158.13379,158.13379,158.69049,64.33922,0.73010135,0.73010135,0.70412654,0.018137831,11.985141,11.985141,11.588201,0.55609477,0.12130685,0.12130685,0.12282264,0.0003368029,82.923874,82.923874,83.08232,5.7371416,1.6329241,1.6329241,1.3984725,0.21924421
2019-04-05,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,12.322977,12.322977,12.477861,2.6745803,170.19382,170.19382,163.0498,138.65793,0.88925964,0.88925964,0.8480766,0.06648834,11.219424,11.219424,11.282011,1.9904048,0.07650177,0.07650177,0.078419015,0.00046515922,92.40288,92.40288,92.23527,6.5774565,0.63266724,0.63266724,0.4193552,0.19755846
2019-04-06,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,17.196693,17.196693,16.688452,4.2578535,149.44289,149.44289,148.96994,98.36968,0.46917957,0.46917957,0.40351743,0.038211673,14.532486,14.532486,15.084436,7.534483,0.04480205,0.04480205,0.041296743,0.00019848859,93.476135,93.476135,93.15072,8.794833,1.4034302,1.4034302,1.3626719,0.105325684
2019-04-07,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,26.267326,26.267326,25.905579,3.1826422,159.95966,159.95966,160.42438,52.59177,0.5018137,0.5018137,0.45744032,0.03440696,23.682981,23.682981,23.223953,4.368234,0.057164274,0.057164274,0.0536744,0.00030304445,92.406364,92.406364,92.48231,14.348886,2.0156605,2.0156605,1.9608635,0.076748535
2019-04-08,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,9.196817,9.196817,9.448114,2.5965588,165.77885,165.77885,163.04628,147.01657,0.8342334,0.8342334,0.80539465,0.05714608,8.0006075,8.0006075,7.939505,2.5083196,0.10390343,0.10390343,0.10270639,0.0006022982,72.607925,72.607925,72.57413,0.99876255,0.8289312,0.8289312,0.76757944,0.16962583
2019-04-09,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,4.109744,4.109744,3.9494257,0.9115457,160.1771,160.1771,161.42557,12.558562,1.1351879,1.1351879,1.0640719,0.03225677,3.8820887,3.8820887,3.8383703,1.0712018,0.16950059,0.16950059,0.16811469,0.0015049812,73.57143,73.57143,75.16112,14.630441,1.8185623,1.8185623,1.87926,0.15567894
2019-04-10,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,14.114521,14.114521,14.597677,2.3997142,159.00006,159.00006,160.93411,24.294275,0.6124481,0.6124481,0.5447889,0.028218469,11.142624,11.142624,11.578512,1.41294,0.0739097,0.0739097,0.07015715,0.00033927208,82.59327,82.59327,82.93739,15.157129,1.0337108,1.0337108,1.0290434,0.043937504
