Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,14.591995,14.591995,14.466077,0.05160796,149.25014,149.25014,149.10236,0.56398755,0.29473194,0.29473194,0.27534953,0.0020618837,11.189662,11.189662,11.179875,0.40375805,0.05222244,0.05222244,0.051159978,7.799025e-06,96.22161,96.22161,94.25667,29.693539,4.5818796,4.5818796,4.25279,0.3482
2019-04-02,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,19.26365,19.26365,19.057682,0.34948218,168.12923,168.12923,168.49117,0.9581003,0.52816224,0.52816224,0.5253327,0.00015706231,11.46737,11.46737,11.496693,0.089898184,0.0630206,0.0630206,0.0634941,4.510044e-06,98.13845,98.13845,98.14843,0.16919038,1.3239274,1.3239274,1.3075833,0.0023913733
2019-04-03,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,11.106312,11.106312,11.33913,0.52582556,158.09769,158.09769,157.9051,0.36878356,0.4411594,0.4411594,0.43014127,0.0006557804,5.515162,5.515162,5.550637,0.036177363,0.034735158,0.034735158,0.03370171,6.9284815e-06,102.58884,102.58884,102.341644,0.42389712,1.385533,1.385533,1.379874,0.015170451
2019-04-04,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,12.881765,12.881765,12.889352,0.094654135,162.77101,162.77101,162.62769,0.33402228,0.3415366,0.3415366,0.32880366,0.0005431823,7.36615,7.36615,7.3350625,0.15383853,0.052786615,0.052786615,0.053027805,6.872906e-06,104.59036,104.59036,103.53552,7.240549,1.651775,1.651775,1.6703439,0.0015214055
2019-04-05,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,15.727964,15.727964,15.319748,0.9005092,156.81107,156.81107,156.90384,1.057186,0.49828944,0.49828944,0.5288191,0.0057791686,12.934204,12.934204,11.694794,4.5785575,0.03745584,0.03745584,0.039447527,1.8737248e-05,113.15592,113.15592,113.042404,2.0963266,1.7634218,1.7634218,1.8286244,0.010777918
2019-04-06,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,28.83155,28.83155,29.415665,4.146336,170.83891,170.83891,173.4344,29.76711,1.1376582,1.1376582,1.088152,0.0059174416,24.446943,24.446943,25.795506,7.39112,0.04668029,0.04668029,0.04894929,2.7129036e-05,105.32177,105.32177,105.01072,0.97386146,3.1070013,3.1070013,3.4868748,0.616651
2019-04-07,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,14.170397,14.170397,14.68176,1.5115094,162.22095,162.22095,163.53406,4.7356696,0.33584434,0.33584434,0.31595704,0.0058032316,9.690144,9.690144,9.926208,1.607471,0.045350783,0.045350783,0.041914918,5.014144e-05,94.527435,94.527435,94.57775,1.2758255,0.68959594,0.68959594,0.6713492,0.005628122
2019-04-08,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,13.846182,13.846182,13.834295,2.5657773,165.10138,165.10138,172.68872,256.4784,1.0443896,1.0443896,1.095083,0.049752712,10.177574,10.177574,10.312612,1.1749723,0.064154215,0.064154215,0.062236536,8.821106e-05,89.67398,89.67398,89.719864,14.401859,0.8255526,0.8255526,0.9034849,0.05536808
2019-04-09,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,5.7912936,5.7912936,5.5008035,0.7329305,153.64166,153.64166,154.87856,8.314595,1.1623187,1.1623187,1.0686194,0.06554393,4.8165836,4.8165836,4.539662,0.32297918,0.101373516,0.101373516,0.09866536,0.0010737017,97.515656,97.515656,96.56064,2.9809787,1.7005024,1.7005024,1.0765598,1.1582282
2019-04-10,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,6.9927998,6.9927998,6.8193154,0.19767775,159.2844,159.2844,158.246,4.9623327,0.5861468,0.5861468,0.6031209,0.009472819,6.3611593,6.3611593,6.4930086,0.58685327,0.08128069,0.08128069,0.076209195,7.096778e-05,94.19198,94.19198,94.297615,0.7227869,1.0538944,1.0538944,1.0796697,0.012965945
