Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,23.857235,23.857235,23.857235,0.030176444,239.58829,239.58829,239.58829,90.10235,12.506178,12.506178,12.506178,1.8702018,19.240454,19.240454,19.240454,0.22947033,1.4350481,1.4350481,1.4350481,0.0044505415,92.564354,92.564354,92.564354,4.870987,9.930477,9.930477,9.930477,0.78978944
2019-04-02,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,27.619217,27.619217,27.619217,7.2771816,231.05685,231.05685,231.05685,60.019817,7.7061243,7.7061243,7.7061243,0.4743234,21.073856,21.073856,21.073856,0.070528775,1.2388561,1.2388561,1.2388561,0.04276914,98.36644,98.36644,98.36644,3.0545344,7.5078144,7.5078144,7.5078144,0.049136706
2019-04-03,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,10.645527,10.645527,10.645527,0.49814832,215.51398,215.51398,215.51398,14.201545,6.377121,6.377121,6.377121,0.3802153,9.064683,9.064683,9.064683,0.26344353,0.9128518,0.9128518,0.9128518,0.0010211718,89.68466,89.68466,89.68466,0.34928504,5.7110367,5.7110367,5.7110367,0.031079102
2019-04-04,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,17.125778,17.125778,17.125778,0.33669868,210.99243,210.99243,210.99243,10.223434,5.928431,5.928431,5.928431,0.018215278,9.927449,9.927449,9.927449,0.028200367,1.0084004,1.0084004,1.0084004,0.003416937,89.892395,89.892395,89.892395,0.7107494,5.497334,5.497334,5.497334,0.15768914
2019-04-05,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,16.393917,16.393917,16.393917,0.8321514,233.0675,233.0675,233.0675,22.609854,7.5710506,7.5710506,7.5710506,0.0077253906,11.683226,11.683226,11.683226,0.102018386,0.9656116,0.9656116,0.9656116,0.01388165,94.38571,94.38571,94.38571,0.13127574,8.211145,8.211145,8.211145,0.40981865
2019-04-06,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,21.821754,21.821754,21.821754,2.723887,220.71606,220.71606,220.71606,337.0221,8.178555,8.178555,8.178555,0.085698724,17.714489,17.714489,17.714489,0.0577538,0.8068275,0.8068275,0.8068275,0.031131452,94.40405,94.40405,94.40405,0.73860407,8.649935,8.649935,8.649935,0.017059468
2019-04-07,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,27.35888,27.35888,27.35888,0.6394099,217.00734,217.00734,217.00734,32.730633,6.0453615,6.0453615,6.0453615,0.3587947,21.580326,21.580326,21.580326,0.28377393,0.81310606,0.81310606,0.81310606,0.0015247359,100.51485,100.51485,100.51485,2.1573722,7.510316,7.510316,7.510316,0.23432498
2019-04-08,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,18.208794,18.208794,18.208794,0.72687,342.33926,342.33926,342.33926,392.77585,13.246553,13.246553,13.246553,1.1200585,17.45898,17.45898,17.45898,0.7306051,1.7929126,1.7929126,1.7929126,0.013272753,73.56557,73.56557,73.56557,21.451466,12.0526285,12.0526285,12.0526285,3.1671295
2019-04-09,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,9.154812,9.154812,9.154812,0.084315,247.38365,247.38365,247.38365,47.148205,7.3530045,7.3530045,7.3530045,0.8727502,8.340813,8.340813,8.340813,0.020724345,1.303149,1.303149,1.303149,0.006378415,60.929565,60.929565,60.929565,2.7431514,6.0676107,6.0676107,6.0676107,0.0058953273
2019-04-10,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ,16.852087,16.852087,16.852087,1.25808,246.78212,246.78212,246.78212,86.45998,8.115508,8.115508,8.115508,0.25785345,16.481747,16.481747,16.481747,1.5977284,1.2793028,1.2793028,1.2793028,0.002297508,85.32486,85.32486,85.32486,6.199197,7.5304737,7.5304737,7.5304737,0.50477976
