Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,16.295374,16.295374,14.883251,4.6653776,175.58632,175.58632,161.98956,326.6829,1.1672841,1.1672841,1.1108803,0.018219471,12.319574,12.319574,11.8729105,1.7085493,0.16750398,0.16750398,0.16598369,0.00030951315,92.48838,92.48838,92.804436,6.5750346,2.17044,2.17044,2.3507028,0.18159725
2019-04-02,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,21.373592,21.373592,21.5057,1.2101139,173.15854,173.15854,172.81621,8.168285,1.2939512,1.2939512,1.2847607,0.008898784,17.124601,17.124601,17.774708,4.666037,0.19325544,0.19325544,0.19230129,0.0005005176,88.67339,88.67339,88.06586,7.666073,3.146061,3.146061,2.8099408,1.1374322
2019-04-03,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,9.431695,9.431695,9.133606,0.4683041,161.36728,161.36728,159.63058,16.09759,1.3856497,1.3856497,1.404004,0.036786973,7.908599,7.908599,7.3776836,1.3565359,0.1596647,0.1596647,0.1513285,0.0015734826,88.57517,88.57517,88.9514,1.9959921,2.767428,2.767428,2.1925642,0.87795633
2019-04-04,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,15.539943,15.539943,15.478797,2.3909383,166.03622,166.03622,164.67848,11.128393,0.9349017,0.9349017,0.9745449,0.03701799,9.868749,9.868749,9.53567,2.8297918,0.15508635,0.15508635,0.16418156,0.00095766847,89.40198,89.40198,88.92216,2.7068493,2.3346524,2.3346524,2.33927,0.03271793
2019-04-05,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,14.285823,14.285823,14.377568,0.52637213,169.55907,169.55907,169.7729,1.8494731,1.1456068,1.1456068,1.1235647,0.023118291,11.444592,11.444592,11.602451,0.34906736,0.13324043,0.13324043,0.14104982,0.0006701849,95.33709,95.33709,95.139824,3.5891402,2.7405834,2.7405834,2.7055478,0.0064073824
2019-04-06,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,28.497206,28.497206,28.660728,0.7192685,175.8271,175.8271,176.17726,7.667843,1.3215485,1.3215485,1.2491894,0.024828995,25.944809,25.944809,25.715427,1.3474666,0.10674864,0.10674864,0.1093845,0.00017354883,98.83077,98.83077,99.3899,7.8589253,6.0346375,6.0346375,5.493902,0.7169469
2019-04-07,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,16.661802,16.661802,16.405764,1.0822111,172.39543,172.39543,170.2501,35.150368,1.240831,1.240831,1.2271997,0.03867539,14.936745,14.936745,15.0357485,1.5833304,0.14436707,0.14436707,0.12740742,0.0009289614,80.46675,80.46675,79.63437,15.356188,0.8355516,0.8355516,0.8300418,0.009296219
2019-04-08,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,11.448199,11.448199,11.568602,2.2144501,151.26108,151.26108,151.24026,4.478405,1.5151469,1.5151469,1.5934861,0.038003717,8.241465,8.241465,8.448012,2.0802522,0.16121109,0.16121109,0.16189015,0.00088283804,81.989174,81.989174,80.83993,4.6916165,0.42954478,0.42954478,0.44066578,0.0089048175
2019-04-09,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,5.83067,5.83067,5.814579,0.53683037,157.03105,157.03105,157.52774,29.857754,1.4086739,1.4086739,1.3278253,0.07990611,4.627757,4.627757,4.8014007,0.21128425,0.2368819,0.2368819,0.20919739,0.005348214,76.86031,76.86031,76.6507,0.90692246,0.31108758,0.31108758,0.31191993,0.0016644703
2019-04-10,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,7.855189,7.855189,8.063504,0.48452696,165.5602,165.5602,165.94698,2.2111666,1.0572653,1.0572653,0.9848813,0.023375917,7.2951503,7.2951503,7.4288077,0.30225283,0.14904161,0.14904161,0.1480202,0.0002911955,79.79445,79.79445,79.5932,3.8460164,0.62957233,0.62957233,0.6180159,0.0018538402
2019-04-11,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,8.569501,8.569501,8.793391,0.38005182,151.30618,151.30618,152.46194,5.583066,1.1246328,1.1246328,0.95227647,0.16762796,6.8196845,6.8196845,6.927271,0.20493643,0.14869401,0.14869401,0.1386378,0.0015231611,100.34937,100.34937,102.10276,8.870967,2.739126,2.739126,2.7412171,0.036377322
2019-04-12,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,5.571701,5.571701,5.7816887,0.98056185,152.44302,152.44302,155.90463,58.744926,1.0169052,1.0169052,0.96094793,0.017472614,4.6791673,4.6791673,4.779258,0.59388417,0.15271433,0.15271433,0.14748293,0.0009635318,81.14613,81.14613,80.73395,6.393162,0.3417068,0.3417068,0.33921382,0.0016986469
