Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,14.348135,14.348135,14.324821,0.7513512,166.90036,166.90036,165.6442,38.7134,0.5653658,0.5653658,0.52512306,0.016307905,11.838271,11.838271,11.351691,1.9760212,0.0903608,0.0903608,0.07914026,0.0007704149,91.94047,91.94047,91.485596,3.721381,2.6942182,2.6942182,2.6993802,0.37073687
2019-04-02,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,17.422306,17.422306,17.169186,2.2806995,167.99219,167.99219,168.20103,2.1047838,0.7544188,0.7544188,0.6790373,0.024027266,14.281144,14.281144,14.053623,3.0084271,0.100389615,0.100389615,0.10138024,0.00040837092,92.80045,92.80045,92.871605,1.3331764,1.7164899,1.7164899,1.7078605,0.007171045
2019-04-03,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,8.30124,8.30124,8.066954,1.3549163,159.55779,159.55779,159.56334,0.28820127,0.5803092,0.5803092,0.49974602,0.036556073,6.9332137,6.9332137,6.688443,0.91548055,0.075319976,0.075319976,0.06394241,0.0008726272,92.090904,92.090904,92.06491,5.846677,1.8796042,1.8796042,1.6050876,0.22184451
2019-04-04,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,12.9550905,12.9550905,13.185847,0.24328874,162.75694,162.75694,162.62666,6.8575807,0.4978285,0.4978285,0.48459014,0.0043966244,8.058893,8.058893,8.053023,0.090640545,0.08101988,0.08101988,0.077324815,0.00020720593,91.964836,91.964836,91.73277,26.998299,2.282303,2.282303,2.2957778,0.07896822
2019-04-05,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,15.695471,15.695471,15.581739,0.12675697,173.80112,173.80112,173.79822,32.84319,0.6163054,0.6163054,0.58571935,0.012785359,12.690845,12.690845,12.122199,1.6184117,0.05475321,0.05475321,0.049112685,0.00018232102,101.90988,101.90988,102.01296,9.677462,2.8334072,2.8334072,2.8179557,0.104215525
2019-04-06,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,30.56024,30.56024,30.212042,1.1695901,175.68733,175.68733,175.3947,10.700769,0.83596575,0.83596575,0.86094886,0.0142642595,26.355608,26.355608,26.107433,3.036822,0.084193036,0.084193036,0.08234657,0.00018601825,106.15859,106.15859,106.70128,10.800508,5.952928,5.952928,5.8557534,0.23032673
2019-04-07,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,14.112702,14.112702,14.144475,1.7108723,160.81224,160.81224,160.57149,4.3548875,0.6911118,0.6911118,0.6912515,0.013202073,12.588923,12.588923,12.350863,1.8390211,0.091480955,0.091480955,0.086938456,0.00024034978,90.70833,90.70833,91.1367,2.205242,1.06344,1.06344,0.9036114,0.1376191
2019-04-08,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,8.706172,8.706172,8.323979,3.364454,153.22894,153.22894,153.31699,8.685385,0.72708964,0.72708964,0.676083,0.04013245,5.694398,5.694398,5.6040363,0.6219682,0.081902824,0.081902824,0.08185462,0.0002545205,84.4177,84.4177,84.892395,6.3271117,0.3828409,0.3828409,0.38405687,0.007833507
2019-04-09,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,6.1707864,6.1707864,6.1162043,0.37081668,159.46211,159.46211,157.51057,46.63147,1.2118515,1.2118515,1.3575189,0.15147398,5.042425,5.042425,5.05294,0.13366811,0.19899209,0.19899209,0.19009444,0.0036726824,78.2607,78.2607,78.09069,9.117789,0.44593608,0.44593608,0.43865943,0.009873164
2019-04-10,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,11.363364,11.363364,10.955086,5.6805425,178.48064,178.48064,177.29916,72.98941,0.933899,0.933899,0.89148045,0.03146888,9.990332,9.990332,9.719434,3.6403499,0.12412807,0.12412807,0.11922012,0.00071449217,78.62184,78.62184,78.74265,40.166065,1.6300423,1.6300423,1.6933938,0.5020223
2019-04-11,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,6.678395,6.678395,6.710989,0.118336104,144.91702,144.91702,144.54616,5.770632,0.5831945,0.5831945,0.549349,0.01429409,4.621501,4.621501,4.217261,0.36185482,0.07543691,0.07543691,0.073605366,0.0002339489,95.6752,95.6752,94.82632,5.6332335,0.5152027,0.5152027,0.36791903,0.12945418
2019-04-12,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,11.339751,11.339751,10.750571,18.494246,158.0493,158.0493,162.79445,128.46858,0.60434616,0.60434616,0.56898415,0.015238602,7.5072937,7.5072937,8.567047,1.9509202,0.083240695,0.083240695,0.07624036,0.00050356495,86.13531,86.13531,86.828545,12.21745,0.4901767,0.4901767,0.5384216,0.020054596
2019-04-13,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,5.7318935,5.7318935,5.7952285,0.48694274,146.41576,146.41576,144.17099,26.364805,0.50269663,0.50269663,0.4983434,0.0094288485,4.8488894,4.8488894,4.917787,0.38972682,0.07377778,0.07377778,0.071423754,0.00024373127,82.13502,82.13502,82.532425,4.9489727,0.5544612,0.5544612,0.51329607,0.024365706
2019-04-14,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,8.019604,8.019604,8.132854,0.41575626,158.84384,158.84384,159.10693,0.7575533,0.59046274,0.59046274,0.5652508,0.0038403862,7.862017,7.862017,8.051578,0.36294845,0.0724601,0.0724601,0.073263966,7.001709e-05,76.33088,76.33088,75.88308,11.04539,2.4957378,2.4957378,2.3207889,0.48122215
2019-04-15,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,10.632922,10.632922,9.968646,2.2411025,171.68193,171.68193,172.56665,5.4942703,0.5508203,0.5508203,0.49956837,0.013006465,9.907423,9.907423,9.759662,1.3004199,0.09472101,0.09472101,0.0898577,0.0004395451,82.1065,82.1065,82.727745,2.433751,2.3103364,2.3103364,2.2228193,0.64533406
