Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,17.577353,17.577353,16.876991,23.851372,182.58339,182.58339,171.41335,1933.216,1.4664747,1.4664747,1.3053665,0.28462952,13.331684,13.331684,11.646595,30.175062,0.23220362,0.23220362,0.1936096,0.012458335,102.622856,102.622856,100.72243,36.727795,2.1930299,2.1930299,2.2152236,0.21575008
2019-04-02,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,22.023897,22.023897,20.780733,12.971925,189.21283,189.21283,169.87396,1920.6549,1.0807421,1.0807421,0.9853203,0.15699412,18.567133,18.567133,17.93129,3.1432714,0.1538948,0.1538948,0.14983925,0.0030625546,97.36191,97.36191,97.46386,0.7175049,2.7986925,2.7986925,2.7493029,0.1504373
2019-04-03,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,14.004079,14.004079,13.527034,1.2414843,165.76305,165.76305,163.62662,59.61764,1.9486493,1.9486493,1.6072974,1.317962,10.8378,10.8378,10.369751,2.1114051,0.20856465,0.20856465,0.16758129,0.013036487,79.975075,79.975075,78.412186,11.481505,2.0690591,2.0690591,1.3538468,3.3715184
2019-04-04,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,15.7094965,15.7094965,15.711628,1.9173102,168.72014,168.72014,169.25165,158.79243,1.4547912,1.4547912,1.2315304,0.8468528,10.645087,10.645087,10.839999,0.33317173,0.23526217,0.23526217,0.19219115,0.020731611,82.45404,82.45404,82.04024,4.3847537,2.4544551,2.4544551,1.4309442,7.9562488
2019-04-05,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,18.744394,18.744394,18.153194,12.862462,174.78166,174.78166,172.7619,94.03866,1.6904125,1.6904125,1.6681389,0.12453327,14.570622,14.570622,14.643688,0.96011764,0.19831556,0.19831556,0.17132604,0.009224841,88.96591,88.96591,89.96585,12.607212,1.370869,1.370869,0.8476633,1.5403868
2019-04-06,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,19.970308,19.970308,19.734493,12.236493,168.80583,168.80583,168.33377,173.9941,1.037587,1.037587,1.0839207,0.13221242,17.208483,17.208483,17.439615,9.820592,0.12608536,0.12608536,0.10978329,0.0029624824,96.145164,96.145164,95.1234,4.9339666,1.9396175,1.9396175,1.853003,0.13536958
2019-04-07,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,28.527822,28.527822,28.620476,16.899172,171.26042,171.26042,171.65506,71.07968,1.6175169,1.6175169,1.2723476,1.2361585,24.453379,24.453379,24.428272,11.250104,0.21401815,0.21401815,0.13626432,0.03779865,92.05134,92.05134,93.26387,60.285854,4.7217236,4.7217236,3.4261804,9.680545
2019-04-08,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,11.639878,11.639878,12.121504,6.2050548,187.8278,187.8278,189.2699,573.0809,4.901113,4.901113,3.7241158,10.2939005,10.838202,10.838202,11.001497,6.5522285,0.824513,0.824513,0.50749815,0.66712743,69.6735,69.6735,70.92534,9.848069,3.72877,3.72877,2.0113347,18.931862
2019-04-09,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,8.79103,8.79103,8.874424,0.7313002,163.70808,163.70808,161.6759,52.64085,2.924059,2.924059,2.7930746,1.1669313,7.847981,7.847981,7.933015,0.36959684,0.48894462,0.48894462,0.4799062,0.041490983,76.836426,76.836426,77.45536,12.492966,8.916056,8.916056,8.061533,11.660012
2019-04-10,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,14.81813,14.81813,14.107061,8.113092,164.40434,164.40434,166.78818,125.07485,3.909907,3.909907,2.693765,7.7341285,12.321961,12.321961,12.027409,7.6133866,0.68438554,0.68438554,0.4522373,0.27011445,77.50391,77.50391,76.34158,20.63686,8.486793,8.486793,4.7675714,53.941784
2019-04-11,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,5.511581,5.511581,5.356865,0.6820306,145.35335,145.35335,145.37927,45.93791,2.4912074,2.4912074,2.2523246,0.79190326,4.5878873,4.5878873,4.486571,0.48356548,0.42092463,0.42092463,0.37869823,0.02307042,89.85754,89.85754,89.453026,2.0838714,5.018255,5.018255,5.11308,3.1515017
2019-04-12,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,6.9851775,6.9851775,6.71348,1.3097411,141.60262,141.60262,134.11359,168.87729,2.4458044,2.4458044,1.9035681,2.579061,5.7381043,5.7381043,5.9617004,1.4305261,0.49346212,0.49346212,0.3735825,0.15523207,80.07151,80.07151,79.87125,9.203189,3.457549,3.457549,1.3124726,14.204356
2019-04-13,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,12.188394,12.188394,12.001649,3.973222,153.5305,153.5305,156.43146,45.301105,4.210393,4.210393,2.3448343,15.797212,10.993762,10.993762,10.651626,2.986777,0.8227907,0.8227907,0.30924952,0.9324353,77.28266,77.28266,79.236565,32.522186,9.0307455,9.0307455,5.434657,53.444275
