Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,14.225194,14.225194,14.515957,2.3601904,167.59506,167.59506,168.45056,49.822613,0.8681953,0.8681953,0.83985084,0.012545563,10.009507,10.009507,9.737417,0.58219755,0.1359076,0.1359076,0.12744385,0.0004117647,91.94455,91.94455,92.08917,9.14327,1.8254215,1.8254215,1.7528805,0.12888211
2019-04-02,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,20.439686,20.439686,20.890995,2.051932,174.0841,174.0841,172.92822,16.201208,1.0119644,1.0119644,1.0270681,0.007991971,15.464073,15.464073,15.177248,1.1851734,0.1319189,0.1319189,0.12985435,0.00050254026,94.26246,94.26246,94.860794,14.592453,3.5405464,3.5405464,3.73533,0.52863294
2019-04-03,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,10.91224,10.91224,10.49404,2.8510902,159.75505,159.75505,158.89629,5.755556,1.1689483,1.1689483,1.166292,0.0114948,9.137788,9.137788,9.11258,1.7853974,0.1437575,0.1437575,0.14616019,0.00013537095,89.22333,89.22333,89.33568,1.8229694,2.2777407,2.2777407,2.1647892,0.08747107
2019-04-04,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,14.349045,14.349045,14.453683,0.34285557,164.10895,164.10895,164.66656,2.7577837,0.8167197,0.8167197,0.8063061,0.0038949477,8.439944,8.439944,8.350542,0.06871476,0.13721913,0.13721913,0.13695,0.00018666826,86.07407,86.07407,85.98085,3.051876,1.6117249,1.6117249,1.6057839,0.077003084
2019-04-05,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,13.973488,13.973488,14.112962,0.3210409,166.79265,166.79265,167.40842,6.4329777,0.8778348,0.8778348,0.8548907,0.014406934,10.808101,10.808101,10.752401,0.19063847,0.10799137,0.10799137,0.1044915,0.0004091894,92.492256,92.492256,92.19939,2.827074,2.8141768,2.8141768,2.7993822,0.008739826
2019-04-06,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,27.348053,27.348053,27.978209,6.5421357,170.90935,170.90935,171.21738,96.37867,0.99246407,0.99246407,0.93178284,0.06606022,23.858038,23.858038,24.208963,6.5295887,0.08355478,0.08355478,0.082287066,0.00029250002,99.70859,99.70859,99.85236,6.1300616,5.6662726,5.6662726,5.680931,0.18883409
2019-04-07,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,16.04133,16.04133,16.300262,2.2471256,169.94774,169.94774,169.81177,25.46466,0.89023304,0.89023304,0.8227623,0.034098636,14.688522,14.688522,14.855214,1.6628081,0.11805135,0.11805135,0.11079138,0.00044922376,84.46259,84.46259,83.365036,13.193437,0.8284941,0.8284941,0.8524665,0.0128173875
2019-04-08,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,7.988793,7.988793,8.041923,1.0170363,162.455,162.455,158.87991,134.64915,1.3737904,1.3737904,1.3234478,0.07985983,7.0514464,7.0514464,7.027008,0.9524467,0.16455024,0.16455024,0.14907463,0.0013335492,78.2668,78.2668,78.101494,5.8017344,0.34794056,0.34794056,0.36542642,0.010917932
2019-04-09,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,7.003371,7.003371,6.968877,0.19741505,170.50027,170.50027,170.1181,21.26927,1.3183011,1.3183011,1.2685732,0.07123776,6.018538,6.018538,6.082095,0.41463995,0.23482446,0.23482446,0.20874265,0.0051174676,75.3667,75.3667,77.03807,24.306631,0.6233296,0.6233296,0.64646125,0.027527623
2019-04-10,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,8.792751,8.792751,9.023512,1.5157446,173.0113,173.0113,173.501,13.957969,0.9570032,0.9570032,0.973843,0.019375507,8.502772,8.502772,8.50028,1.7247301,0.1321936,0.1321936,0.13022287,0.00068412145,81.475365,81.475365,80.92554,5.2694564,0.71608734,0.71608734,0.6356231,0.03695724
2019-04-11,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,8.712266,8.712266,8.93854,0.38749823,150.91402,150.91402,151.18161,1.8560699,1.0813519,1.0813519,1.0012897,0.075725846,6.9547043,6.9547043,7.0492854,0.17457664,0.14975835,0.14975835,0.14428483,0.00048427333,100.30451,100.30451,100.58746,5.2025347,3.1673062,3.1673062,3.172957,0.048476066
2019-04-12,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,4.7946334,4.7946334,4.784854,0.3053112,153.81323,153.81323,156.58981,32.550575,0.83464307,0.83464307,0.8559475,0.010607754,4.098429,4.098429,4.061638,0.27119946,0.12568504,0.12568504,0.12543923,0.0002578164,77.58111,77.58111,79.449265,7.090875,0.2044357,0.2044357,0.18917562,0.0030616152
2019-04-13,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,5.0715785,5.0715785,5.0676327,0.30246973,144.73105,144.73105,145.40681,13.64931,0.71326715,0.71326715,0.656798,0.014663671,4.359303,4.359303,4.2785406,0.1485422,0.09648281,0.09648281,0.097966075,9.83348e-05,84.39759,84.39759,84.46254,3.8482816,0.3937863,0.3937863,0.3506955,0.010482878
2019-04-14,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,6.755404,6.755404,6.758807,0.10152628,158.81963,158.81963,158.77193,0.14928047,0.89375067,0.89375067,0.8927932,0.004828501,6.5867143,6.5867143,6.558073,0.1273789,0.10415569,0.10415569,0.10532365,0.00014645157,77.713234,77.713234,77.95795,5.2669773,1.4328165,1.4328165,1.5032101,0.08434462
2019-04-15,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,16.785254,16.785254,16.87289,0.7841032,184.44267,184.44267,181.69525,62.12834,1.2054192,1.2054192,1.1936052,0.029686794,15.281083,15.281083,15.078119,1.7329248,0.15932406,0.15932406,0.14881143,0.0011464485,76.385895,76.385895,76.068214,18.385094,6.1854777,6.1854777,6.046136,0.88144016
2019-04-16,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,12.318597,12.318597,12.265041,4.1755204,192.37347,192.37347,194.0083,38.259937,1.0729405,1.0729405,1.0783331,0.09908245,11.791947,11.791947,12.041977,2.8397663,0.17075048,0.17075048,0.16210245,0.0021871214,85.64976,85.64976,85.09155,8.0093975,2.7915199,2.7915199,2.6443524,0.3051385
