Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΒΟΛΒΗΣ,15.655421,15.655421,13.96253,14.673219,177.52983,177.52983,168.88971,402.57742,1.3128849,1.3128849,1.0582201,0.7337635,12.2035265,12.2035265,10.388615,15.780118,0.17600551,0.17600551,0.14420511,0.0074195187,94.35889,94.35889,92.48275,35.15092,2.6474814,2.6474814,1.820183,2.5903986
2019-04-02,ΔΗΜΟΣ ΒΟΛΒΗΣ,19.468317,19.468317,19.04573,4.3771377,172.29872,172.29872,170.41885,11.159454,1.097789,1.097789,1.0894396,0.020686885,15.30067,15.30067,14.581756,2.1108363,0.13308413,0.13308413,0.13121858,0.00034472733,95.022804,95.022804,96.02309,13.421049,2.6869636,2.6869636,2.7424426,0.48130894
2019-04-03,ΔΗΜΟΣ ΒΟΛΒΗΣ,12.69322,12.69322,12.542349,4.1673427,158.86398,158.86398,158.45294,2.7817044,1.1424772,1.1424772,1.0960761,0.018724462,9.138646,9.138646,9.24445,1.1283807,0.1629733,0.1629733,0.15752089,0.0007699599,89.75902,89.75902,89.83853,0.49900368,2.3543093,2.3543093,2.406786,0.096545376
2019-04-04,ΔΗΜΟΣ ΒΟΛΒΗΣ,13.842954,13.842954,13.716083,0.27108365,162.34802,162.34802,162.20201,1.2303917,0.8686562,0.8686562,0.8584316,0.021357268,8.256482,8.256482,8.205179,0.07299256,0.13987705,0.13987705,0.14223999,0.00043059705,84.81243,84.81243,84.37865,4.104703,1.6588945,1.6588945,1.6601511,0.067807935
2019-04-05,ΔΗΜΟΣ ΒΟΛΒΗΣ,13.857877,13.857877,13.810043,0.5490087,168.49026,168.49026,169.16092,7.819238,1.0163519,1.0163519,1.0060906,0.028203571,10.781047,10.781047,10.72297,0.19249669,0.10852433,0.10852433,0.106530756,0.00040219395,92.80987,92.80987,92.16978,9.90536,2.9482095,2.9482095,2.9213467,0.029295983
2019-04-06,ΔΗΜΟΣ ΒΟΛΒΗΣ,28.267832,28.267832,28.791723,3.0464056,169.36186,169.36186,170.33365,20.640512,1.1153295,1.1153295,1.127358,0.044265714,26.332668,26.332668,26.504711,4.1635814,0.10257496,0.10257496,0.102197364,0.00057128316,103.050224,103.050224,103.77707,11.606572,5.9986215,5.9986215,5.9667683,0.23592754
2019-04-07,ΔΗΜΟΣ ΒΟΛΒΗΣ,14.15136,14.15136,13.830799,2.4688685,162.70993,162.70993,161.88162,7.101284,1.0148429,1.0148429,1.030827,0.024015026,12.893545,12.893545,12.886158,2.112804,0.13927476,0.13927476,0.1394671,0.000314483,86.92774,86.92774,87.30153,6.471812,0.7422582,0.7422582,0.75628746,0.007106663
2019-04-08,ΔΗΜΟΣ ΒΟΛΒΗΣ,8.21052,8.21052,7.8054543,1.7481736,155.13893,155.13893,154.14291,22.344604,1.3788337,1.3788337,1.3279136,0.08110453,6.3813086,6.3813086,6.1621428,0.6605744,0.15077981,0.15077981,0.15188572,0.0009280205,77.48963,77.48963,77.1542,23.849949,0.3476593,0.3476593,0.34849066,0.004558012
2019-04-09,ΔΗΜΟΣ ΒΟΛΒΗΣ,6.2417283,6.2417283,6.1538205,0.29078054,172.723,172.723,173.04099,13.054633,1.5137703,1.5137703,1.5189898,0.06679885,5.3926435,5.3926435,5.4731264,0.21167187,0.2907371,0.2907371,0.29502738,0.0051495293,75.05924,75.05924,75.791595,4.596701,0.6015854,0.6015854,0.57133555,0.04998636
2019-04-10,ΔΗΜΟΣ ΒΟΛΒΗΣ,10.229884,10.229884,9.827127,2.8994079,178.64491,178.64491,177.36084,54.712257,1.2801855,1.2801855,1.2703205,0.075939216,9.853327,9.853327,9.659017,3.246794,0.16171817,0.16171817,0.15297623,0.0007569553,82.382454,82.382454,82.38083,27.405277,1.0888509,1.0888509,0.82435036,0.39455292
