Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΒΟΛΟΥ,16.520512,16.520512,16.250507,2.4236245,172.20822,172.20822,173.6489,40.66204,2.1473532,2.1473532,2.0554705,0.98223484,10.937912,10.937912,11.040097,0.9205917,0.40318707,0.40318707,0.40673602,0.036164016,90.86305,90.86305,89.94,18.373981,3.0401833,3.0401833,3.1686797,0.30379695
2019-04-02,ΔΗΜΟΣ ΒΟΛΟΥ,21.96366,21.96366,22.239592,0.81330955,173.20734,173.20734,171.29013,29.372252,1.1817746,1.1817746,1.0001493,0.33185095,16.899048,16.899048,16.794685,0.1398162,0.2213285,0.2213285,0.19970691,0.0057539865,94.929855,94.929855,94.48491,0.6957538,1.9232268,1.9232268,1.8380462,0.061463676
2019-04-03,ΔΗΜΟΣ ΒΟΛΟΥ,8.306065,8.306065,8.043619,0.6811255,162.0828,162.0828,160.62793,15.429059,1.2514017,1.2514017,1.0908146,0.24136946,6.7247005,6.7247005,6.5814424,0.48192695,0.2155911,0.2155911,0.18735835,0.0071574952,92.11769,92.11769,92.11963,0.42744467,1.3590817,1.3590817,1.3369784,0.0064449264
2019-04-04,ΔΗΜΟΣ ΒΟΛΟΥ,14.852852,14.852852,14.846187,0.011256141,165.65013,165.65013,164.87502,10.497089,1.2531202,1.2531202,1.180517,0.1394967,7.874048,7.874048,7.975389,0.098053336,0.2933549,0.2933549,0.28804424,0.008150883,88.365585,88.365585,88.50415,1.0036681,1.6817889,1.6817889,1.6774564,0.0063999044
2019-04-05,ΔΗΜΟΣ ΒΟΛΟΥ,15.723656,15.723656,15.346209,1.454237,183.38037,183.38037,181.88681,37.842293,1.3176689,1.3176689,1.2193956,0.13557518,11.851635,11.851635,11.814847,0.93104935,0.20185164,0.20185164,0.1829434,0.0039101914,97.71004,97.71004,97.35354,2.664831,2.083537,2.083537,2.1724417,0.07584403
2019-04-06,ΔΗΜΟΣ ΒΟΛΟΥ,22.042278,22.042278,21.705368,1.0494732,175.1139,175.1139,173.83212,9.938005,1.150154,1.150154,1.0726728,0.0940253,17.950535,17.950535,18.038973,1.3104655,0.123100415,0.123100415,0.09419665,0.0043637836,100.300995,100.300995,102.34166,20.698643,3.7698803,3.7698803,3.7384496,0.19856232
2019-04-07,ΔΗΜΟΣ ΒΟΛΟΥ,20.904621,20.904621,20.220184,2.4414475,167.99994,167.99994,167.39911,36.71067,1.2604415,1.2604415,1.1642883,0.17699233,19.079086,19.079086,19.761734,2.1921134,0.23448,0.23448,0.20984992,0.0074839275,93.15814,93.15814,93.434616,0.9353646,1.8742111,1.8742111,2.0158453,0.069391176
2019-04-08,ΔΗΜΟΣ ΒΟΛΟΥ,8.249216,8.249216,7.67686,3.3209565,175.91035,175.91035,176.86676,268.65656,2.6013963,2.6013963,2.0822968,1.3094993,7.285023,7.285023,7.0735703,2.0554078,0.4136712,0.4136712,0.34462398,0.06417027,77.78293,77.78293,77.334404,7.5679307,0.86539984,0.86539984,0.67418563,0.18992679
2019-04-09,ΔΗΜΟΣ ΒΟΛΟΥ,5.1667843,5.1667843,5.3723655,3.2410154,167.5086,167.5086,166.89862,16.674568,1.7921731,1.7921731,1.5525949,0.40144667,4.3053093,4.3053093,4.4767694,1.6037153,0.3590191,0.3590191,0.23011577,0.04559078,79.87492,79.87492,80.44285,11.238294,0.8866495,0.8866495,0.89155227,0.13213527
2019-04-10,ΔΗΜΟΣ ΒΟΛΟΥ,8.571187,8.571187,9.030233,3.1441689,173.21178,173.21178,175.0214,39.96731,2.5105605,2.5105605,2.5381951,0.6803804,8.206658,8.206658,8.876511,3.5218346,0.42719644,0.42719644,0.4267972,0.026623316,83.09876,83.09876,83.40704,8.295968,1.4816024,1.4816024,1.7218866,0.2781613
2019-04-11,ΔΗΜΟΣ ΒΟΛΟΥ,4.7264395,4.7264395,4.705724,0.29710686,142.71281,142.71281,143.64746,12.138959,1.230819,1.230819,1.0560654,0.25303298,3.901812,3.901812,3.6206467,0.33068478,0.16735882,0.16735882,0.1482994,0.0062681963,87.23914,87.23914,88.322586,13.933215,0.36820325,0.36820325,0.36585134,0.033153817
2019-04-12,ΔΗΜΟΣ ΒΟΛΟΥ,8.029913,8.029913,8.389352,4.147541,154.11584,154.11584,155.17038,72.81597,1.8380859,1.8380859,1.8897748,0.30660555,6.9307723,6.9307723,7.251918,2.5985923,0.27946603,0.27946603,0.2762599,0.0050742263,76.36446,76.36446,76.01465,3.8409889,0.6658112,0.6658112,0.66938883,0.05963637
2019-04-13,ΔΗΜΟΣ ΒΟΛΟΥ,7.0616856,7.0616856,6.9958186,0.873375,149.44946,149.44946,148.38405,8.908617,1.3912416,1.3912416,1.2910676,0.17688674,6.390529,6.390529,6.628277,0.54461145,0.24741477,0.24741477,0.22322854,0.007741309,86.27324,86.27324,87.19432,7.3819923,0.85057116,0.85057116,0.83507246,0.05499129
2019-04-14,ΔΗΜΟΣ ΒΟΛΟΥ,7.3125477,7.3125477,7.173622,0.17719354,151.11887,151.11887,151.58226,16.919605,1.3609236,1.3609236,1.3139675,0.19923916,7.03505,7.03505,6.947735,0.15950218,0.24727964,0.24727964,0.23048931,0.012886073,81.12272,81.12272,80.52191,15.549834,0.603583,0.603583,0.5995915,0.02597588
2019-04-15,ΔΗΜΟΣ ΒΟΛΟΥ,9.555679,9.555679,9.784872,0.67161256,177.47737,177.47737,180.93674,51.06831,1.2926815,1.2926815,1.1570691,0.3287056,8.316565,8.316565,7.8770113,1.1114872,0.16919135,0.16919135,0.15040393,0.005284152,79.880066,79.880066,79.520386,2.6039443,1.0876703,1.0876703,1.0612453,0.062033914
2019-04-16,ΔΗΜΟΣ ΒΟΛΟΥ,13.913145,13.913145,13.755305,0.277942,175.18716,175.18716,176.11795,35.091408,1.7794973,1.7794973,1.8553224,0.289785,13.35122,13.35122,13.26642,0.35356906,0.3506434,0.3506434,0.36072844,0.00831983,86.22334,86.22334,86.669785,3.164814,2.665919,2.665919,2.7886386,0.0630879
2019-04-17,ΔΗΜΟΣ ΒΟΛΟΥ,17.444063,17.444063,18.038902,2.6247792,193.3844,193.3844,191.71738,127.17973,2.2035396,2.2035396,1.834195,0.70854795,15.650208,15.650208,15.9288025,1.7014003,0.31667954,0.31667954,0.25114396,0.01855178,96.19621,96.19621,97.98981,20.936537,3.8579698,3.8579698,3.8462532,0.075963914
2019-04-18,ΔΗΜΟΣ ΒΟΛΟΥ,11.329548,11.329548,11.861521,1.0363295,173.2745,173.2745,171.5938,33.639374,1.2590747,1.2590747,1.120167,0.23176323,10.98876,10.98876,11.502846,0.8728494,0.21184121,0.21184121,0.19394442,0.006172697,93.477325,93.477325,93.913666,3.623726,2.1472516,2.1472516,2.1723373,0.24941082
2019-04-19,ΔΗΜΟΣ ΒΟΛΟΥ,11.529833,11.529833,11.665901,5.4956646,182.7873,182.7873,181.26938,163.54428,1.4813929,1.4813929,1.2449882,0.67956185,10.225307,10.225307,10.016176,3.5862813,0.24482042,0.24482042,0.19970453,0.018384974,91.64527,91.64527,92.21988,5.195336,1.9251206,1.9251206,1.8765469,0.16217065
2019-04-20,ΔΗΜΟΣ ΒΟΛΟΥ,10.022564,10.022564,10.113316,0.095742434,159.1763,159.1763,159.52109,10.250641,0.7843066,0.7843066,0.75962055,0.07929684,8.424419,8.424419,8.500448,0.015141997,0.16111556,0.16111556,0.1466578,0.0040944135,89.61676,89.61676,89.44957,1.9107997,1.2889894,1.2889894,1.269651,0.005023075
2019-04-21,ΔΗΜΟΣ ΒΟΛΟΥ,12.791079,12.791079,12.986705,0.54505044,160.00427,160.00427,160.46939,8.205521,1.256914,1.256914,1.2925042,0.2108485,10.270693,10.270693,10.316412,0.38032556,0.20191556,0.20191556,0.18191469,0.006417851,92.31477,92.31477,91.86836,6.146231,2.1500669,2.1500669,2.160416,0.05812037
2019-04-22,ΔΗΜΟΣ ΒΟΛΟΥ,8.914176,8.914176,8.907312,0.038666338,164.10614,164.10614,163.97815,17.456276,1.432453,1.432453,1.4169526,0.17824823,8.460886,8.460886,8.455343,0.021323236,0.20855674,0.20855674,0.19865,0.0043720882,99.04071,99.04071,99.24016,1.3906722,1.600183,1.600183,1.6076136,0.024556797
2019-04-23,ΔΗΜΟΣ ΒΟΛΟΥ,21.891111,21.891111,22.000286,0.41412508,161.75394,161.75394,160.66418,13.927069,1.3511937,1.3511937,1.2752118,0.25751302,18.626663,18.626663,18.608524,0.44077197,0.17103264,0.17103264,0.15020108,0.0049769413,104.90213,104.90213,104.96127,12.125467,2.4833555,2.4833555,2.531948,0.07528123
2019-04-24,ΔΗΜΟΣ ΒΟΛΟΥ,27.078873,27.078873,27.157269,1.2961154,155.17574,155.17574,155.95148,30.197765,1.3463941,1.3463941,1.2588828,0.23974088,19.794788,19.794788,19.982258,4.5960336,0.26231664,0.26231664,0.24978492,0.0057267155,90.51049,90.51049,90.47946,2.4688296,1.3816806,1.3816806,1.380691,0.016031157
