Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΔΕΛΤΑ,23.12681,23.12681,23.101532,0.7876342,274.65802,274.65802,254.61227,4758.78,9.328363,9.328363,8.596928,6.5585327,19.846464,19.846464,19.963066,0.75782555,1.2051691,1.2051691,1.266614,0.027380208,101.6751,101.6751,100.1358,32.66149,5.7192426,5.7192426,5.1126604,4.049413
2019-04-02,ΔΗΜΟΣ ΔΕΛΤΑ,30.643753,30.643753,30.960764,0.7409169,210.29015,210.29015,206.13745,125.86127,4.9163766,4.9163766,4.888875,1.9459308,21.660479,21.660479,21.531332,0.11283817,0.905402,0.905402,0.8558239,0.08682952,97.94936,97.94936,98.5252,3.1192973,5.912012,5.912012,5.3313656,2.4108353
2019-04-03,ΔΗΜΟΣ ΔΕΛΤΑ,10.286178,10.286178,10.111313,0.35494426,188.58374,188.58374,190.72528,400.79605,3.5197895,3.5197895,2.5523725,3.1442025,7.87036,7.87036,7.807356,0.21151777,0.4699557,0.4699557,0.35781044,0.05504808,91.48669,91.48669,91.90457,1.5422119,3.5943298,3.5943298,3.3746943,2.9737196
2019-04-04,ΔΗΜΟΣ ΔΕΛΤΑ,16.798304,16.798304,16.639313,0.32255736,185.45929,185.45929,177.86008,367.1163,3.3546143,3.3546143,2.8055496,2.3957999,9.729558,9.729558,9.772337,0.117926896,0.5142251,0.5142251,0.36602187,0.08313839,91.589516,91.589516,91.347404,1.4856529,3.4814928,3.4814928,3.2429738,1.822008
2019-04-05,ΔΗΜΟΣ ΔΕΛΤΑ,18.188353,18.188353,18.550331,0.86534524,194.73561,194.73561,186.42914,383.93423,3.7037776,3.7037776,2.5144167,4.477284,12.370812,12.370812,12.348734,0.2618902,0.48914942,0.48914942,0.38245848,0.07522925,97.37362,97.37362,97.12636,4.658134,4.6163774,4.6163774,3.5714579,3.7190459
2019-04-06,ΔΗΜΟΣ ΔΕΛΤΑ,20.776451,20.776451,20.532944,1.193253,202.7605,202.7605,194.94092,288.70914,4.299854,4.299854,3.5374532,3.7194843,16.93228,16.93228,17.116041,0.6005191,0.49309385,0.49309385,0.4417311,0.05644132,97.31492,97.31492,97.3145,6.4572177,6.3166757,6.3166757,5.8803096,1.938485
2019-04-07,ΔΗΜΟΣ ΔΕΛΤΑ,27.9646,27.9646,28.423927,2.7541122,192.93001,192.93001,184.09483,275.68497,3.1407254,3.1407254,2.322249,2.0637026,21.694315,21.694315,21.981136,1.9719642,0.39577642,0.39577642,0.2972449,0.036512908,104.08216,104.08216,104.190704,1.2395761,4.9071617,4.9071617,3.560885,7.3151402
2019-04-08,ΔΗΜΟΣ ΔΕΛΤΑ,16.31986,16.31986,15.360798,3.6385028,246.5573,246.5573,243.87045,1440.1058,8.269333,8.269333,7.6599684,3.7412243,14.411046,14.411046,13.757635,4.2566333,1.0884056,1.0884056,0.95607173,0.1813358,79.17045,79.17045,78.00415,6.5939693,4.142122,4.142122,2.1639733,19.548233
2019-04-09,ΔΗΜΟΣ ΔΕΛΤΑ,7.2177567,7.2177567,6.7046337,0.8520313,190.39153,190.39153,181.50037,567.11115,3.9827778,3.9827778,4.096246,1.7342612,6.6560426,6.6560426,6.323156,0.91728514,0.6595361,0.6595361,0.52658707,0.06711414,74.33074,74.33074,75.15004,46.52142,2.7316911,2.7316911,2.230023,2.5396078
2019-04-10,ΔΗΜΟΣ ΔΕΛΤΑ,14.551419,14.551419,13.8638,1.6038461,197.75073,197.75073,187.4965,532.39526,4.742511,4.742511,3.9661694,2.3032606,13.519577,13.519577,12.849609,3.2772653,0.6794594,0.6794594,0.5993054,0.06791993,86.20678,86.20678,86.06478,14.750329,4.063606,4.063606,3.277247,2.655838
