Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,17.671495,17.671495,16.873226,13.537509,202.5789,202.5789,172.61235,4003.2073,2.8688347,2.8688347,2.6889424,3.7510133,13.891699,13.891699,12.317817,15.135181,0.5258832,0.5258832,0.51862514,0.089562565,99.05962,99.05962,98.75792,32.280674,2.5387464,2.5387464,2.4852297,0.21501039
2019-04-02,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,21.299952,21.299952,19.682604,17.05169,179.31085,179.31085,164.8622,1540.1812,1.360024,1.360024,1.2646027,0.49852896,18.41523,18.41523,17.534103,7.5521774,0.21252932,0.21252932,0.21321788,0.010494523,97.85527,97.85527,98.38438,2.9536576,2.2950876,2.2950876,2.2165523,0.080215685
2019-04-03,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,13.871192,13.871192,14.091716,0.20441046,156.39342,156.39342,154.57886,23.203102,1.4840984,1.4840984,1.6037873,0.19879366,8.913114,8.913114,9.530657,2.2667034,0.1953085,0.1953085,0.19943757,0.0033883378,86.006096,86.006096,84.75035,12.8504305,1.1860689,1.1860689,1.1721255,0.013111427
2019-04-04,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,15.897236,15.897236,15.221296,1.9212228,166.87398,166.87398,163.2699,166.80875,1.1650808,1.1650808,1.2386465,0.08616723,10.072079,10.072079,10.05772,0.65620416,0.19106913,0.19106913,0.1882725,0.0047031553,84.28156,84.28156,85.03752,6.8948054,1.1324248,1.1324248,1.1306156,0.01728836
2019-04-05,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,20.765896,20.765896,20.717655,5.680868,174.68019,174.68019,176.26544,103.61072,1.4732422,1.4732422,1.5019073,0.15397495,15.746311,15.746311,16.551893,3.3613763,0.22825536,0.22825536,0.2313811,0.0032736831,89.925354,89.925354,90.65867,7.339548,1.5083944,1.5083944,1.5003252,0.14005993
2019-04-06,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,18.38599,18.38599,17.306255,14.210224,164.51022,164.51022,163.927,210.66861,1.1564881,1.1564881,0.9803804,0.45287752,15.694022,15.694022,15.566731,10.095862,0.16742341,0.16742341,0.1493845,0.009670238,97.37053,97.37053,96.86788,11.96437,2.5032454,2.5032454,2.4368773,0.18806869
2019-04-07,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,23.76936,23.76936,23.627037,11.44872,166.33447,166.33447,167.47597,84.69196,0.98832935,0.98832935,0.9148522,0.122438505,19.877327,19.877327,20.4336,5.4184566,0.16860889,0.16860889,0.15963054,0.004773486,93.09383,93.09383,93.72302,11.808544,1.8912258,1.8912258,1.7808759,0.4727462
2019-04-08,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,4.8174696,4.8174696,4.9852247,1.2981193,166.11717,166.11717,165.3873,224.75981,2.7303293,2.7303293,2.4378097,1.8238262,4.457977,4.457977,4.707772,1.0482233,0.34313396,0.34313396,0.33833212,0.02189836,75.571556,75.571556,74.853264,3.9092233,0.27146617,0.27146617,0.17993213,0.06386399
2019-04-09,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,9.014968,9.014968,8.91641,2.2413797,158.96132,158.96132,157.87363,11.714995,4.97861,4.97861,5.007023,0.6089658,7.865826,7.865826,7.7122135,1.750193,0.67762655,0.67762655,0.64425206,0.018048072,78.66869,78.66869,79.40668,14.252787,8.466727,8.466727,8.644198,11.915763
2019-04-10,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,13.054431,13.054431,11.428635,8.062296,166.4811,166.4811,166.22653,83.50939,3.3881211,3.3881211,3.6403074,0.48990795,11.681366,11.681366,10.399218,6.819318,0.6180434,0.6180434,0.5850395,0.030331874,73.12082,73.12082,72.59516,5.374286,4.7895694,4.7895694,4.1648746,5.736417
