Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,15.221059,15.221059,15.136374,0.9396496,154.5048,154.5048,152.90234,43.085663,0.9106225,0.9106225,0.89956486,0.03278761,10.348277,10.348277,10.479565,0.5369441,0.14735265,0.14735265,0.1416547,0.0010985209,98.1137,98.1137,97.35729,9.4072485,2.2011673,2.2011673,2.0845618,0.08943696
2019-04-02,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,20.333147,20.333147,19.95224,2.5609465,177.83778,177.83778,174.3719,366.28464,0.7939146,0.7939146,0.768452,0.02641675,15.546352,15.546352,15.738761,0.501767,0.10879593,0.10879593,0.111697316,0.0006856986,96.10746,96.10746,96.21998,0.9773874,2.52,2.52,2.4935076,0.18526524
2019-04-03,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,17.098337,17.098337,16.889677,4.280091,191.72472,191.72472,183.51807,532.42114,1.8453789,1.8453789,1.6396058,0.21760848,14.543758,14.543758,14.743468,4.9959292,0.23636726,0.23636726,0.21463431,0.007651791,83.200775,83.200775,83.32795,3.3933012,2.958828,2.958828,2.2171633,2.7745676
2019-04-04,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,18.01829,18.01829,17.012716,3.515572,162.0081,162.0081,159.67802,28.595297,1.3178736,1.3178736,1.0375487,0.24648945,12.666195,12.666195,12.5208025,0.73604655,0.22939417,0.22939417,0.20341595,0.007801617,80.37234,80.37234,80.9079,1.4171563,2.9528112,2.9528112,2.3910615,3.6240797
2019-04-05,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,11.489815,11.489815,11.338378,1.7921963,173.51825,173.51825,166.93948,188.79132,1.3454744,1.3454744,1.5129209,0.19358563,10.928522,10.928522,10.709783,1.477366,0.12192023,0.12192023,0.11153209,0.002086172,89.51921,89.51921,89.86383,7.7248306,0.90252507,0.90252507,0.4798153,0.78197503
2019-04-06,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,17.108162,17.108162,17.327059,3.3056822,149.31316,149.31316,147.70023,56.403587,0.5875944,0.5875944,0.5555611,0.029435162,13.163371,13.163371,12.713291,5.4583488,0.06037067,0.06037067,0.05417178,0.00025263656,95.04434,95.04434,95.24347,1.9123293,1.6360846,1.6360846,1.7191724,0.060416877
2019-04-07,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,28.59899,28.59899,28.530151,6.8412747,163.17334,163.17334,161.13321,57.337727,1.0238376,1.0238376,0.9210836,0.3073518,27.44508,27.44508,27.624882,4.4076176,0.15071204,0.15071204,0.12195045,0.0066594845,91.602516,91.602516,92.298096,13.659597,3.3440495,3.3440495,2.7243345,1.8873931
2019-04-08,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,11.717213,11.717213,11.186358,1.6281701,163.35878,163.35878,160.64262,90.50498,1.9138666,1.9138666,1.552978,1.065325,11.04307,11.04307,10.825793,1.3839285,0.29434186,0.29434186,0.22605217,0.042296298,72.4554,72.4554,72.94655,2.8477948,2.3268826,2.3268826,1.7976745,1.402596
2019-04-09,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,6.0223923,6.0223923,5.832456,2.5390477,155.45044,155.45044,154.60417,19.911797,1.6334653,1.6334653,1.6043117,0.16072845,5.336682,5.336682,5.35534,2.6758063,0.30739203,0.30739203,0.2805927,0.008605266,73.48716,73.48716,74.52134,16.167984,7.4861646,7.4861646,7.4836907,19.937271
2019-04-10,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,11.993866,11.993866,12.0885725,1.6069727,155.36981,155.36981,151.36566,59.82392,1.2227654,1.2227654,1.1218882,0.23950638,9.339753,9.339753,9.256572,0.9622326,0.1467199,0.1467199,0.123435415,0.0017242844,76.59463,76.59463,78.052284,11.596598,4.338696,4.338696,2.847912,16.135761
