Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,13.486541,13.486541,13.273729,0.9369675,165.42831,165.42831,165.80904,16.962755,0.7719919,0.7719919,0.68454754,0.053833384,10.61652,10.61652,10.613893,0.7879477,0.12704492,0.12704492,0.1124434,0.0026016915,94.45455,94.45455,95.55946,12.953875,1.4546884,1.4546884,1.3434303,0.22517014
2019-04-02,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,20.301071,20.301071,20.455788,2.952249,157.67725,157.67725,156.6197,27.601357,0.5903536,0.5903536,0.56563467,0.022788992,15.666299,15.666299,15.518663,0.36574477,0.08729656,0.08729656,0.07980816,0.0005850271,96.80182,96.80182,96.09346,1.9108843,1.9549859,1.9549859,1.9595064,0.008528308
2019-04-03,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,12.791094,12.791094,12.747142,0.127817,156.43361,156.43361,156.00755,7.8886237,0.7377654,0.7377654,0.7150618,0.028659739,8.105077,8.105077,7.756872,1.065115,0.08733134,0.08733134,0.081904925,0.0005372609,86.49457,86.49457,86.77054,3.5169854,1.4845444,1.4845444,1.4305215,0.069046795
2019-04-04,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,14.214514,14.214514,14.325558,0.4019424,158.2087,158.2087,158.57008,7.948079,0.681967,0.681967,0.6862351,0.029866852,9.096918,9.096918,8.887882,0.6207892,0.08886616,0.08886616,0.08001067,0.0011492437,87.39768,87.39768,87.17547,1.7571635,1.0610821,1.0610821,1.0617213,0.009973474
2019-04-05,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,16.402508,16.402508,16.221113,2.1669593,165.72916,165.72916,166.00952,49.29621,0.8784215,0.8784215,0.8597615,0.0553905,13.011287,13.011287,12.935714,0.8468973,0.09598633,0.09598633,0.08640197,0.0011970383,91.665504,91.665504,90.66804,12.886533,0.9909826,0.9909826,0.99316823,0.04398371
2019-04-06,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,11.481703,11.481703,11.429895,4.794988,148.08148,148.08148,145.54034,69.9479,0.5318338,0.5318338,0.51736236,0.019860305,9.92619,9.92619,9.510491,4.180578,0.061115418,0.061115418,0.056539662,0.0002071636,95.70322,95.70322,94.413765,10.339457,1.6574367,1.6574367,1.6266242,0.43347627
2019-04-07,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,17.52663,17.52663,17.299257,8.696653,150.55504,150.55504,150.16965,19.832243,0.4545015,0.4545015,0.447713,0.01839305,15.311189,15.311189,15.614572,5.6833777,0.0567718,0.0567718,0.048157033,0.00062189414,88.415,88.415,87.1062,15.893725,0.95020026,0.95020026,0.80839866,0.12177903
2019-04-08,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,4.3940907,4.3940907,4.3031034,0.509748,148.13687,148.13687,150.01053,38.23167,0.71774125,0.71774125,0.6452881,0.096248895,3.8122003,3.8122003,3.8062708,0.2535373,0.10260722,0.10260722,0.09276856,0.0023825543,76.69923,76.69923,76.79593,5.0625997,0.15175173,0.15175173,0.15325835,0.0020435508
2019-04-09,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,5.970647,5.970647,5.924628,5.8976088,150.89847,150.89847,152.054,18.397192,3.5212958,3.5212958,3.6052,2.6719959,5.1498127,5.1498127,4.815402,5.100327,0.5518274,0.5518274,0.55437547,0.10493333,79.78173,79.78173,80.079956,7.3957047,7.9493656,7.9493656,8.440887,32.43401
2019-04-10,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,7.558127,7.558127,6.7815285,11.340881,154.3816,154.3816,154.23734,7.878894,1.3904341,1.3904341,1.1408312,0.9007819,6.73518,6.73518,6.1166983,8.566824,0.20335084,0.20335084,0.13389638,0.02317267,75.64802,75.64802,75.61791,4.301221,2.4700997,2.4700997,1.0354029,8.574771
