Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,17.990017,17.990017,18.186962,2.3887424,183.18376,183.18376,185.89284,49.638268,0.79747015,0.79747015,0.83985084,0.039991245,11.105576,11.105576,11.035287,0.4331821,0.113997035,0.113997035,0.110959254,0.00071665854,90.15787,90.15787,91.1951,9.195088,1.4406395,1.4406395,1.4806573,0.06488331
2019-04-02,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,21.294516,21.294516,21.656448,1.3255609,175.22485,175.22485,177.2757,46.802265,1.0169477,1.0169477,1.0482922,0.04694341,16.05852,16.05852,15.684035,1.7914181,0.124817505,0.124817505,0.12042278,0.0011620965,94.35844,94.35844,94.59258,7.528817,4.022978,4.022978,4.0330477,0.10792962
2019-04-03,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,10.593994,10.593994,10.240546,1.7432252,164.00703,164.00703,163.56638,13.504253,1.1503719,1.1503719,1.1739587,0.048935965,9.07733,9.07733,8.533339,2.5931265,0.14629313,0.14629313,0.14559087,0.0004122528,87.83238,87.83238,88.02829,2.9865324,2.176754,2.176754,2.1789787,0.072709665
2019-04-04,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,15.495156,15.495156,15.419566,0.42579994,162.87494,162.87494,165.57336,23.173744,0.74933517,0.74933517,0.75899464,0.025196224,9.849019,9.849019,9.833075,1.1779878,0.13021506,0.13021506,0.12867929,0.00053052086,86.81523,86.81523,86.7903,2.1416216,1.6868253,1.6868253,1.6751187,0.023072913
2019-04-05,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,14.693889,14.693889,14.5722,0.17289495,165.944,165.944,166.71376,6.2404933,0.8963853,0.8963853,0.89744866,0.024732916,10.525964,10.525964,10.713449,0.16899748,0.11872791,0.11872791,0.11590726,0.00047132408,94.801865,94.801865,93.81419,6.4204283,2.6356857,2.6356857,2.6484485,0.0150925685
2019-04-06,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,27.41669,27.41669,27.552338,1.4466375,171.29709,171.29709,166.90685,262.5325,0.98371166,0.98371166,0.93804276,0.08090265,24.764828,24.764828,24.492256,1.5352798,0.09551076,0.09551076,0.09005774,0.0026134406,97.39955,97.39955,96.91481,7.3525968,5.274231,5.274231,5.397567,0.2681262
2019-04-07,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,17.424603,17.424603,17.321625,2.4240003,177.18451,177.18451,176.31564,23.85319,0.85060894,0.85060894,0.8541221,0.023466947,16.356663,16.356663,15.957976,4.4113445,0.13646446,0.13646446,0.1248992,0.0020057082,81.789215,81.789215,82.307014,15.535755,0.87652236,0.87652236,0.89919186,0.02130528
2019-04-08,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,8.4127245,8.4127245,9.026792,1.6109257,169.05034,169.05034,164.02629,246.51741,1.5912471,1.5912471,1.3570174,0.8926066,7.655001,7.655001,8.026952,1.4010385,0.17595792,0.17595792,0.13346845,0.021190278,78.400665,78.400665,78.22683,2.1886928,0.31528267,0.31528267,0.34214193,0.004161233
2019-04-09,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,6.176798,6.176798,6.737716,2.0004745,168.22455,168.22455,168.74124,56.98101,1.4193646,1.4193646,1.2685235,0.23811547,5.5643363,5.5643363,5.918051,1.3889589,0.25632215,0.25632215,0.23455133,0.0059764134,75.771866,75.771866,75.891396,7.608953,0.59481937,0.59481937,0.5480404,0.054710865
2019-04-10,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,8.557161,8.557161,8.915601,1.18547,177.19814,177.19814,176.09431,24.70185,0.9429048,0.9429048,0.97837275,0.024585446,8.356298,8.356298,8.774817,1.2524084,0.13667046,0.13667046,0.13350736,0.0008523842,80.26874,80.26874,80.45293,0.93504214,0.6554686,0.6554686,0.64540017,0.015471879
