Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,13.690733,13.690733,13.532936,0.174061,155.36311,155.36311,154.46164,9.835602,0.58847505,0.58847505,0.6089085,0.008906552,9.938999,9.938999,9.6855755,0.30580312,0.07810776,0.07810776,0.07601432,0.0001856556,94.42013,94.42013,93.70067,5.2597075,2.3018386,2.3018386,2.1759377,0.27743202
2019-04-02,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,18.615139,18.615139,17.916237,1.84813,167.46893,167.46893,167.47662,0.0034756826,0.55344707,0.55344707,0.53244877,0.0021943976,15.878946,15.878946,16.299166,0.921964,0.10599299,0.10599299,0.11140155,0.0007451542,97.33906,97.33906,97.26912,1.0582178,1.6696227,1.6696227,1.659405,0.002657699
2019-04-03,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,7.507099,7.507099,7.370636,0.07730539,156.04659,156.04659,155.81787,1.3260511,0.5131913,0.5131913,0.5060841,0.008691761,5.7285104,5.7285104,5.3595433,0.5332617,0.07334689,0.07334689,0.07002554,0.0008360589,94.55688,94.55688,94.75583,1.2674053,1.251152,1.251152,1.2634587,0.0019616885
2019-04-04,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,14.790195,14.790195,14.768368,0.0077887075,158.96884,158.96884,158.52177,1.6948205,0.47231728,0.47231728,0.4429168,0.016720807,8.040745,8.040745,7.9888325,0.09492239,0.10054535,0.10054535,0.08187939,0.001910756,90.54054,90.54054,90.5983,1.1585559,1.5437465,1.5437465,1.5507737,0.002153612
2019-04-05,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,17.840696,17.840696,17.987751,0.99540263,174.32733,174.32733,174.98502,16.701084,0.56398565,0.56398565,0.50021267,0.01473329,12.733231,12.733231,12.80172,0.84706104,0.07828135,0.07828135,0.069565654,0.0005386766,97.601,97.601,97.57905,0.19351062,2.0925164,2.0925164,2.1281323,0.022977512
2019-04-06,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,24.941917,24.941917,25.338202,1.8246123,172.15799,172.15799,172.0405,1.0631142,0.85426974,0.85426974,0.82227045,0.008226024,21.14749,21.14749,21.087917,1.4174424,0.0567848,0.0567848,0.05367262,0.0004574978,106.818665,106.818665,106.44754,4.213348,4.2845798,4.2845798,4.2139835,0.053525507
2019-04-07,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,21.649101,21.649101,21.612152,0.10100064,160.98767,160.98767,161.10526,0.7194663,0.45195848,0.45195848,0.41095662,0.01035158,19.10029,19.10029,19.000946,0.14399025,0.07907097,0.07907097,0.06701306,0.00089877855,95.70894,95.70894,95.77336,3.2517867,1.5089654,1.5089654,1.4380887,0.017848294
2019-04-08,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,7.8496923,7.8496923,7.5198584,3.4828374,173.62685,173.62685,172.31708,14.438503,1.3087219,1.3087219,1.2151363,0.24016519,6.828697,6.828697,6.8093834,1.7515019,0.22415766,0.22415766,0.23943701,0.0066267904,82.506134,82.506134,82.23048,2.51416,0.68095005,0.68095005,0.6054797,0.057369106
2019-04-09,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,5.072005,5.072005,5.148715,0.16256715,161.63351,161.63351,163.40555,28.68571,1.1909554,1.1909554,1.1462214,0.041671813,4.0237827,4.0237827,4.100802,0.043511357,0.17291707,0.17291707,0.17145336,0.00027013532,84.88867,84.88867,85.125916,1.1815906,0.9479827,0.9479827,0.93808395,0.0019745613
2019-04-10,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,9.2004795,9.2004795,9.094431,0.6035087,170.46906,170.46906,170.69608,27.710304,1.4697948,1.4697948,1.2222524,0.22802663,8.724707,8.724707,8.722727,0.16534516,0.21328843,0.21328843,0.21051064,0.0011862955,86.328674,86.328674,87.00691,9.188867,1.5362681,1.5362681,1.5436399,0.015601663
