Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,15.276764,15.276764,15.325094,1.2598687,174.3033,174.3033,173.91418,82.20802,0.87421703,0.87421703,0.8506724,0.05790264,10.675339,10.675339,10.739679,0.27969158,0.14311291,0.14311291,0.1405316,0.0010884689,97.745865,97.745865,97.09596,4.992776,2.5917172,2.5917172,2.5720654,0.12123756
2019-04-02,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,20.610493,20.610493,20.715343,0.68463814,171.05635,171.05635,170.10266,14.359309,1.1366254,1.1366254,1.1911361,0.025645461,18.086199,18.086199,17.98838,1.060505,0.1250191,0.1250191,0.1220144,0.0004200607,95.982834,95.982834,95.77385,1.5209215,4.4463916,4.4463916,4.446264,0.054559827
2019-04-03,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,13.808271,13.808271,13.664786,2.2344825,166.03621,166.03621,166.99017,7.696967,1.4179599,1.4179599,1.430223,0.061368175,10.798974,10.798974,10.715799,1.3107097,0.1595788,0.1595788,0.16041458,0.0003245669,89.76494,89.76494,89.65062,1.0257256,2.229112,2.229112,2.280274,0.13469766
2019-04-04,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,15.157961,15.157961,15.490507,1.3232816,172.49944,172.49944,173.11252,6.0856786,1.1175467,1.1175467,1.181192,0.03035525,9.27082,9.27082,9.118567,0.18045488,0.1472543,0.1472543,0.1520446,0.0005172851,88.44399,88.44399,89.18413,5.15387,1.632378,1.632378,1.5933921,0.035430625
2019-04-05,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,14.263524,14.263524,14.228411,0.034406457,168.1244,168.1244,168.56134,11.946986,0.97738475,0.97738475,1.001895,0.02553323,9.539158,9.539158,9.366445,0.32947806,0.13004333,0.13004333,0.12441156,0.0005188965,92.83205,92.83205,92.31081,3.520527,2.3111198,2.3111198,2.2597108,0.088826716
2019-04-06,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,20.073807,20.073807,20.157692,4.515364,160.72444,160.72444,161.41684,54.347645,0.8596635,0.8596635,0.846468,0.049691685,18.360666,18.360666,17.973114,5.2535753,0.07778506,0.07778506,0.078284934,0.00027718482,95.13479,95.13479,95.23611,1.0982276,3.9978752,3.9978752,4.070696,0.20506454
2019-04-07,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,17.994087,17.994087,18.698997,7.148378,177.61644,177.61644,177.55334,99.40226,1.0145698,1.0145698,1.0258106,0.055445187,15.273901,15.273901,14.955994,4.358654,0.118868455,0.118868455,0.108229876,0.0015285828,88.62657,88.62657,88.19998,23.909805,1.0900437,1.0900437,1.1345165,0.02847673
2019-04-08,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,4.1114507,4.1114507,3.8892837,0.6561299,196.57712,196.57712,196.34985,190.84518,1.6502535,1.6502535,1.6428404,0.24253082,3.8956294,3.8956294,3.685738,0.5172163,0.20347449,0.20347449,0.19116452,0.0029261098,73.53731,73.53731,73.28151,2.437857,0.22417267,0.22417267,0.2313861,0.0010229141
2019-04-09,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,6.9525514,6.9525514,7.1173735,0.22659667,183.96172,183.96172,184.82889,20.080639,1.699872,1.699872,1.6297777,0.046714775,6.610517,6.610517,6.650922,0.15232411,0.3064876,0.3064876,0.29763687,0.0009972688,60.902077,60.902077,59.80707,35.835197,1.0269191,1.0269191,0.9980164,0.0044883667
2019-04-10,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,11.635966,11.635966,11.603918,2.2099235,184.63553,184.63553,185.41698,42.32775,1.119171,1.119171,1.1203996,0.023931056,11.407648,11.407648,11.42085,1.8905485,0.13413087,0.13413087,0.13335992,0.0006930654,86.26369,86.26369,86.28371,6.22297,1.8391311,1.8391311,1.9255459,0.5583886
2019-04-11,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,8.46686,8.46686,9.00239,0.9498414,146.02898,146.02898,145.53647,9.731708,0.84856987,0.84856987,0.850001,0.055648077,6.4241323,6.4241323,6.516897,0.27779505,0.13010168,0.13010168,0.121829905,0.0012603558,94.796005,94.796005,95.70187,15.953802,3.1013358,3.1013358,3.12923,0.028951818
2019-04-12,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,4.4674635,4.4674635,4.3817916,0.63977665,154.45328,154.45328,159.46027,67.5657,1.058779,1.058779,1.0475098,0.05711595,3.9148853,3.9148853,3.7294521,0.26866797,0.15042493,0.15042493,0.15050006,0.00033305224,73.783195,73.783195,73.637375,2.8294873,0.235341,0.235341,0.24387321,0.0030717696
2019-04-13,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,6.733651,6.733651,6.5053167,0.4826601,156.22583,156.22583,156.89816,5.6663747,0.72250473,0.72250473,0.6939807,0.036614742,6.017952,6.017952,5.9327974,0.5188755,0.09974901,0.09974901,0.10478108,0.000455567,84.18824,84.18824,84.64035,9.523219,0.8542144,0.8542144,0.8962502,0.045889474
