Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,18.576176,18.576176,18.480118,5.376986,185.22885,185.22885,188.18628,224.37909,2.5571241,2.5571241,2.4473188,0.51993066,16.05141,16.05141,15.931008,6.6472692,0.39791524,0.39791524,0.3908629,0.002719033,95.617584,95.617584,95.84427,8.86976,2.5388384,2.5388384,2.554234,0.033856634
2019-04-02,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,22.571796,22.571796,21.331703,11.0047,183.52167,183.52167,183.08957,90.68114,2.662901,2.662901,2.2535539,0.9947082,18.837355,18.837355,17.91835,7.9549217,0.32362735,0.32362735,0.30180392,0.00242791,96.698685,96.698685,96.7535,3.8776124,3.5001228,3.5001228,3.3487346,0.4124105
2019-04-03,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,8.768216,8.768216,8.706371,0.23041922,164.21222,164.21222,164.40742,11.269301,1.4753567,1.4753567,1.401542,0.13755605,6.445601,6.445601,6.413449,0.05752983,0.18347125,0.18347125,0.18084535,0.0009270132,93.450676,93.450676,93.71997,0.31013167,2.1224906,2.1224906,2.1848478,0.10955564
2019-04-04,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,15.320544,15.320544,15.3441925,0.06785869,167.13554,167.13554,167.01651,9.48831,1.1508287,1.1508287,1.0667627,0.054587573,9.466578,9.466578,9.441196,0.109507486,0.17537172,0.17537172,0.17242742,0.00083988317,95.14134,95.14134,94.991196,0.7694861,2.0946267,2.0946267,2.0816593,0.15440801
2019-04-05,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,16.91324,16.91324,16.975086,0.13320382,175.19449,175.19449,175.17271,0.035717417,1.2972267,1.2972267,1.2506559,0.056767754,12.324135,12.324135,12.380979,0.074450165,0.1706941,0.1706941,0.17409271,0.0009329318,100.18232,100.18232,100.076294,0.9540538,2.8881643,2.8881643,2.9894948,0.06957993
2019-04-06,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,23.24713,23.24713,23.0334,0.63985217,186.43146,186.43146,185.5716,65.67531,3.129345,3.129345,2.7516656,1.0395772,19.523586,19.523586,19.437185,0.6470554,0.32681632,0.32681632,0.2706706,0.01658023,96.21754,96.21754,96.24937,4.0430436,5.1047983,5.1047983,5.0414076,0.44488236
2019-04-07,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,18.899378,18.899378,18.739584,0.39320067,175.86008,175.86008,174.52664,9.455282,1.2690825,1.2690825,1.1663452,0.07157476,17.564629,17.564629,17.548458,0.07763657,0.20394354,0.20394354,0.19801405,0.00081659574,99.8027,99.8027,100.7147,7.274467,2.298595,2.298595,2.398508,0.4016568
2019-04-08,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,10.842001,10.842001,10.495483,1.4685855,182.40173,182.40173,182.67014,204.63744,3.9588046,3.9588046,3.5343475,3.4629278,9.75495,9.75495,9.439354,1.1915597,0.39701807,0.39701807,0.409755,0.017537605,81.6891,81.6891,81.93187,2.3889854,1.7656077,1.7656077,1.6689811,0.10977778
2019-04-09,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,6.026491,6.026491,6.0237627,0.020409856,181.98338,181.98338,179.54755,32.25242,4.341136,4.341136,4.4689856,0.274007,4.8678885,4.8678885,4.880136,0.017085172,0.5347037,0.5347037,0.46456733,0.018279675,82.68881,82.68881,82.68475,0.99309933,3.775844,3.775844,3.6806777,0.08607117
2019-04-10,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,12.905392,12.905392,12.9986,0.04581373,164.21596,164.21596,163.36069,13.915256,2.5282245,2.5282245,2.4099636,0.4855681,11.615604,11.615604,11.643471,0.19350624,0.28443998,0.28443998,0.28677765,0.0007894424,84.65707,84.65707,84.730774,8.0733795,2.979629,2.979629,2.9891434,0.14023826
