Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΘΕΡΜΗΣ,21.57231,21.57231,21.880903,2.1050704,202.20456,202.20456,202.08469,174.03117,2.7686572,2.7686572,2.2750335,1.7112358,19.243887,19.243887,19.289732,0.7727364,0.33414465,0.33414465,0.25626436,0.02904869,100.71026,100.71026,102.818016,24.137266,4.319297,4.319297,4.327035,1.2960716
2019-04-02,ΔΗΜΟΣ ΘΕΡΜΗΣ,23.504333,23.504333,23.820421,3.1182764,190.71768,190.71768,187.96204,97.074356,2.099722,2.099722,1.7564758,1.306516,18.608873,18.608873,18.669153,1.3027507,0.27941385,0.27941385,0.19508661,0.025509352,95.871216,95.871216,95.60145,1.6935037,3.2104127,3.2104127,2.951289,0.5521583
2019-04-03,ΔΗΜΟΣ ΘΕΡΜΗΣ,9.133845,9.133845,8.981209,0.84110206,169.48552,169.48552,165.49382,121.05939,1.4183215,1.4183215,1.1457644,0.3550902,6.7399735,6.7399735,6.6741896,0.20078681,0.21662585,0.21662585,0.1460847,0.016406866,88.39097,88.39097,88.751816,5.6839557,2.2008939,2.2008939,2.0664856,0.24930044
2019-04-04,ΔΗΜΟΣ ΘΕΡΜΗΣ,14.804464,14.804464,14.831237,0.6692582,169.0371,169.0371,165.95241,64.728004,1.2461456,1.2461456,0.98047084,0.38004917,8.955331,8.955331,8.697542,0.12610702,0.21830332,0.21830332,0.14264679,0.016924258,89.89592,89.89592,89.477745,5.837578,2.0455997,2.0455997,1.7854234,0.23251536
2019-04-05,ΔΗΜΟΣ ΘΕΡΜΗΣ,15.385808,15.385808,15.254321,0.3716109,175.00327,175.00327,170.75914,116.88926,1.3741171,1.3741171,1.0207065,0.50129193,11.150304,11.150304,11.129514,0.18517487,0.2009615,0.2009615,0.13221243,0.018252922,96.77965,96.77965,96.77257,1.939101,2.6912153,2.6912153,2.6300597,0.09817425
2019-04-06,ΔΗΜΟΣ ΘΕΡΜΗΣ,25.041166,25.041166,23.781914,8.700373,182.31421,182.31421,177.74106,298.085,1.7622052,1.7622052,1.5997144,1.0107892,21.74712,21.74712,20.029266,15.439921,0.21721013,0.21721013,0.10990675,0.037917286,100.83533,100.83533,102.09239,42.482952,6.411748,6.411748,6.386685,0.6165091
2019-04-07,ΔΗΜΟΣ ΘΕΡΜΗΣ,17.8753,17.8753,18.058315,5.558007,175.92482,175.92482,176.69649,64.7288,1.2314396,1.2314396,1.1352838,0.27713633,15.882871,15.882871,15.819734,4.0126657,0.19385384,0.19385384,0.15071677,0.008816921,94.94636,94.94636,94.623985,19.133297,1.8809832,1.8809832,1.8897594,0.3862464
2019-04-08,ΔΗΜΟΣ ΘΕΡΜΗΣ,10.48308,10.48308,9.856479,10.776097,209.53922,209.53922,201.86491,687.1488,3.7278764,3.7278764,2.673298,6.1548615,8.5255785,8.5255785,8.183953,3.777583,0.50622475,0.50622475,0.30984113,0.12383722,74.95895,74.95895,74.364624,5.014881,2.3154986,2.3154986,1.3885725,6.569836
2019-04-09,ΔΗΜΟΣ ΘΕΡΜΗΣ,6.1361337,6.1361337,6.073785,0.094395086,195.44089,195.44089,190.80103,269.21494,4.3509846,4.3509846,3.8532293,3.3523867,5.4260283,5.4260283,5.378539,0.09683374,0.62373793,0.62373793,0.60768396,0.07525823,77.594246,77.594246,76.850075,3.6223693,3.7568583,3.7568583,3.7905452,1.880082
2019-04-10,ΔΗΜΟΣ ΘΕΡΜΗΣ,16.657047,16.657047,17.571972,3.9993346,179.2489,179.2489,179.97041,77.49564,2.5107715,2.5107715,2.265457,1.0573896,13.157946,13.157946,13.468684,1.0482615,0.30702597,0.30702597,0.2542801,0.02081619,91.117325,91.117325,91.21285,2.887898,2.8879888,2.8879888,2.9046917,0.034088265
2019-04-11,ΔΗΜΟΣ ΘΕΡΜΗΣ,6.680837,6.680837,6.723722,0.1798727,153.62341,153.62341,152.80438,52.33023,1.7060668,1.7060668,1.1547741,1.3789228,4.6827903,4.6827903,4.637405,0.03861913,0.20337228,0.20337228,0.15083426,0.019059466,94.6032,94.6032,94.55921,0.6668479,0.895229,0.895229,0.69715613,0.208342
2019-04-12,ΔΗΜΟΣ ΘΕΡΜΗΣ,5.8549232,5.8549232,5.742154,0.45862618,160.14096,160.14096,158.88925,17.794237,1.3580803,1.3580803,1.0647831,0.5717245,5.255833,5.255833,5.069145,0.49984407,0.2141005,0.2141005,0.14032865,0.023050768,89.48115,89.48115,89.069725,1.1880847,0.6911477,0.6911477,0.6226919,0.11231472
2019-04-13,ΔΗΜΟΣ ΘΕΡΜΗΣ,11.149773,11.149773,11.076494,0.19151203,172.35588,172.35588,168.64662,132.02615,1.675184,1.675184,1.4432161,0.6168232,9.540359,9.540359,9.587218,0.4124606,0.21615395,0.21615395,0.20556001,0.011437,99.32949,99.32949,98.82066,18.244196,3.1593692,3.1593692,3.2033255,0.2226335
2019-04-14,ΔΗΜΟΣ ΘΕΡΜΗΣ,8.469518,8.469518,8.3343935,3.0701644,173.47481,173.47481,166.6866,217.68651,1.4863912,1.4863912,1.2311252,0.49046925,8.193722,8.193722,8.123172,2.5939636,0.1926308,0.1926308,0.12465041,0.014710887,89.61133,89.61133,88.06586,42.205585,1.9485457,1.9485457,1.7745094,0.31679446
2019-04-15,ΔΗΜΟΣ ΘΕΡΜΗΣ,13.541539,13.541539,13.048252,2.3286977,209.15279,209.15279,199.19347,1078.3103,3.7937922,3.7937922,4.2319713,4.9531593,12.812418,12.812418,12.52022,1.1744125,0.45684266,0.45684266,0.55121845,0.07643777,75.21346,75.21346,75.24449,30.77672,6.114953,6.114953,5.397517,4.349998
2019-04-16,ΔΗΜΟΣ ΘΕΡΜΗΣ,14.515379,14.515379,14.568649,0.070512466,180.3088,180.3088,177.11046,53.76148,1.4809765,1.4809765,1.2095492,0.46851763,12.7185755,12.7185755,12.818253,0.8241268,0.2591693,0.2591693,0.18724589,0.02111742,91.540794,91.540794,91.68117,0.6640516,3.8682344,3.8682344,3.7107384,0.3069496
2019-04-17,ΔΗΜΟΣ ΘΕΡΜΗΣ,9.057012,9.057012,9.296371,1.030343,170.94197,170.94197,167.9591,70.11455,3.018831,3.018831,2.902162,3.2727463,6.714296,6.714296,6.4690633,1.4662473,0.4554925,0.4554925,0.39198774,0.08490993,103.47094,103.47094,102.28158,13.8406515,2.8871484,2.8871484,3.0577211,0.7025737
2019-04-18,ΔΗΜΟΣ ΘΕΡΜΗΣ,10.543294,10.543294,10.386434,1.368989,188.36948,188.36948,187.78244,147.73044,2.1153038,2.1153038,1.5254642,1.4456793,9.676712,9.676712,10.10236,0.93505996,0.28821898,0.28821898,0.19826984,0.029125938,94.16382,94.16382,94.01125,1.1188785,3.0876038,3.0876038,3.2596028,0.14631309
2019-04-19,ΔΗΜΟΣ ΘΕΡΜΗΣ,9.890235,9.890235,9.981006,0.33309263,175.21317,175.21317,173.48872,39.915348,2.0859578,2.0859578,1.8796413,0.50459737,8.714511,8.714511,9.075304,0.48395368,0.38878348,0.38878348,0.28889185,0.03741129,90.29443,90.29443,89.81113,2.1096952,1.9521797,1.9521797,1.9512143,0.06194166
2019-04-20,ΔΗΜΟΣ ΘΕΡΜΗΣ,8.462631,8.462631,8.512263,0.12140804,162.71164,162.71164,160.21161,22.588858,0.8646698,0.8646698,0.74145555,0.16474998,7.137038,7.137038,7.1383376,0.02349165,0.14820804,0.14820804,0.09837464,0.0066008596,92.24044,92.24044,92.41944,1.8985364,1.6600775,1.6600775,1.3085355,0.35064334
2019-04-21,ΔΗΜΟΣ ΘΕΡΜΗΣ,10.019008,10.019008,9.869639,0.62904924,162.87724,162.87724,160.40932,40.355225,1.1469177,1.1469177,1.0219119,0.23300907,8.878228,8.878228,8.985594,0.4505875,0.17817977,0.17817977,0.13381805,0.008024607,96.8719,96.8719,96.67594,1.0016814,2.0535,2.0535,1.8686634,0.14842282
2019-04-22,ΔΗΜΟΣ ΘΕΡΜΗΣ,7.89828,7.89828,7.881487,0.051857803,157.76099,157.76099,156.94427,48.396275,1.2139494,1.2139494,1.0224236,0.3105279,7.11785,7.11785,7.0036473,0.10515584,0.16467158,0.16467158,0.1119549,0.008868357,97.27732,97.27732,97.19329,2.3611825,1.4355297,1.4355297,1.432774,0.05574782
2019-04-23,ΔΗΜΟΣ ΘΕΡΜΗΣ,13.433114,13.433114,13.383393,0.024051264,162.66048,162.66048,162.20601,24.957348,1.1112826,1.1112826,0.9299663,0.26543537,11.604659,11.604659,11.646569,0.045420997,0.14565109,0.14565109,0.10643699,0.005304437,101.14811,101.14811,100.84744,5.661345,2.4182875,2.4182875,2.2164955,0.12241014
2019-04-24,ΔΗΜΟΣ ΘΕΡΜΗΣ,27.060213,27.060213,26.57339,2.9573307,166.89725,166.89725,163.4501,147.03189,1.9976513,1.9976513,1.5862014,1.1160259,17.711239,17.711239,17.50023,1.586325,0.25140697,0.25140697,0.17858675,0.026255695,95.59797,95.59797,94.88774,15.451475,2.409096,2.409096,2.0265532,0.9493648
2019-04-25,ΔΗΜΟΣ ΘΕΡΜΗΣ,53.789764,53.789764,53.945133,23.677656,176.84221,176.84221,170.13675,237.99585,2.3716607,2.3716607,1.981526,1.7676183,29.13302,29.13302,28.801254,2.3492415,0.26530722,0.26530722,0.17835887,0.02863084,85.86206,85.86206,86.282326,14.105821,1.5339794,1.5339794,1.376716,0.50886256
2019-04-26,ΔΗΜΟΣ ΘΕΡΜΗΣ,80.65386,80.65386,81.11852,23.056873,164.05925,164.05925,162.69579,149.18672,2.131935,2.131935,1.6672573,2.1349986,36.40199,36.40199,36.12106,3.4892845,0.30293804,0.30293804,0.20845567,0.041130256,85.48714,85.48714,87.65168,11.776357,1.3006018,1.3006018,1.1425954,0.16834222
2019-04-27,ΔΗΜΟΣ ΘΕΡΜΗΣ,79.111275,79.111275,79.05618,5.749344,161.0798,161.0798,160.58527,77.06874,1.6604369,1.6604369,1.4003661,0.8025159,48.1307,48.1307,50.023197,24.032654,0.18931676,0.18931676,0.13490722,0.010235856,85.79327,85.79327,85.98184,21.204117,1.906849,1.906849,1.7587354,0.20182733
2019-04-28,ΔΗΜΟΣ ΘΕΡΜΗΣ,8.46029,8.46029,8.327706,1.0892268,151.4692,151.4692,152.30557,33.90885,2.3639731,2.3639731,2.3698514,1.431192,6.503365,6.503365,6.183133,1.9573153,0.35330394,0.35330394,0.3264529,0.045402043,105.55816,105.55816,105.278244,0.8091853,2.7945676,2.7945676,2.6271749,0.5976052
2019-04-29,ΔΗΜΟΣ ΘΕΡΜΗΣ,11.769757,11.769757,11.607704,0.76825553,146.21225,146.21225,143.97461,29.273817,1.2809818,1.2809818,0.9280967,0.52213347,9.691619,9.691619,9.624093,0.52493703,0.20519003,0.20519003,0.14646064,0.016232565,96.454956,96.454956,96.62729,2.0869782,1.0225258,1.0225258,0.97305983,0.041691434
