Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,21.880903,21.880903,21.880903,0.0,214.45752,214.45752,214.45752,0.0,5.5401196,5.5401196,5.5401196,0.0,19.813686,19.813686,19.813686,0.0,0.71054363,0.71054363,0.71054363,0.0,90.74595,90.74595,90.74595,0.0,4.327035,4.327035,4.327035,0.0
2019-04-02,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,21.987617,21.987617,21.987617,0.0,199.71397,199.71397,199.71397,0.0,4.476874,4.476874,4.476874,0.0,20.655489,20.655489,20.655489,0.0,0.5702532,0.5702532,0.5702532,0.0,95.13442,95.13442,95.13442,0.0,4.7056475,4.7056475,4.7056475,0.0
2019-04-03,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,8.981209,8.981209,8.981209,0.0,188.79057,188.79057,188.79057,0.0,2.7072246,2.7072246,2.7072246,0.0,7.27511,7.27511,7.27511,0.0,0.46923777,0.46923777,0.46923777,0.0,89.91006,89.91006,89.91006,0.0,3.278899,3.278899,3.278899,0.0
2019-04-04,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,16.1591,16.1591,16.1591,0.0,186.12682,186.12682,186.12682,0.0,2.4729302,2.4729302,2.4729302,0.0,8.697542,8.697542,8.697542,0.0,0.4826184,0.4826184,0.4826184,0.0,92.20584,92.20584,92.20584,0.0,2.9650025,2.9650025,2.9650025,0.0
2019-04-05,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,15.945537,15.945537,15.945537,0.0,196.77267,196.77267,196.77267,0.0,2.8328533,2.8328533,2.8328533,0.0,11.396906,11.396906,11.396906,0.0,0.4573177,0.4573177,0.4573177,0.0,96.123184,96.123184,96.123184,0.0,3.1404283,3.1404283,3.1404283,0.0
2019-04-06,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,21.75738,21.75738,21.75738,0.0,219.88159,219.88159,219.88159,0.0,3.6660047,3.6660047,3.6660047,0.0,17.968351,17.968351,17.968351,0.0,0.65769434,0.65769434,0.65769434,0.0,89.66647,89.66647,89.66647,0.0,7.8589153,7.8589153,7.8589153,0.0
2019-04-07,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,21.78659,21.78659,21.78659,0.0,187.6986,187.6986,187.6986,0.0,2.2464733,2.2464733,2.2464733,0.0,18.65313,18.65313,18.65313,0.0,0.38389912,0.38389912,0.38389912,0.0,100.4703,100.4703,100.4703,0.0,2.5179787,2.5179787,2.5179787,0.0
2019-04-08,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,17.00397,17.00397,17.00397,0.0,241.26376,241.26376,241.26376,0.0,8.76898,8.76898,8.76898,0.0,12.182788,12.182788,12.182788,0.0,1.1219151,1.1219151,1.1219151,0.0,73.92666,73.92666,73.92666,0.0,8.289818,8.289818,8.289818,0.0
2019-04-09,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,6.79581,6.79581,6.79581,0.0,224.35194,224.35194,224.35194,0.0,7.278507,7.278507,7.278507,0.0,6.098372,6.098372,6.098372,0.0,1.1472701,1.1472701,1.1472701,0.0,75.44671,75.44671,75.44671,0.0,6.488881,6.488881,6.488881,0.0
2019-04-10,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,14.876642,14.876642,14.876642,0.0,194.06195,194.06195,194.06195,0.0,4.5936213,4.5936213,4.5936213,0.0,13.468684,13.468684,13.468684,0.0,0.60495955,0.60495955,0.60495955,0.0,92.195076,92.195076,92.195076,0.0,3.0218601,3.0218601,3.0218601,0.0
