Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,18.426956,18.426956,18.792543,5.571598,164.68951,164.68951,168.33096,51.466007,1.0483123,1.0483123,1.0455779,0.16187365,15.118608,15.118608,14.897889,4.9733787,0.16928683,0.16928683,0.16327563,0.0043270844,97.84799,97.84799,96.73834,38.75097,5.125236,5.125236,5.217032,5.607239
2019-04-02,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,18.231205,18.231205,18.380634,1.0541943,149.84776,149.84776,153.29385,66.73194,0.5426988,0.5426988,0.5268106,0.019770792,14.387298,14.387298,14.518219,0.25515413,0.079125784,0.079125784,0.07351808,0.00028727658,94.81434,94.81434,94.91023,0.54522157,1.7707007,1.7707007,1.8637394,0.06720015
2019-04-03,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,13.300872,13.300872,13.290792,0.601805,157.71048,157.71048,156.23106,34.44888,0.65941125,0.65941125,0.65622175,0.063809335,9.611625,9.611625,9.517981,1.1138072,0.08430071,0.08430071,0.08031331,0.00066569314,86.38859,86.38859,87.05486,8.641205,1.3379077,1.3379077,1.3674395,0.024274971
2019-04-04,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,13.846279,13.846279,13.881724,0.8108692,162.09229,162.09229,159.96997,100.61032,0.594598,0.594598,0.5826806,0.07903542,10.05703,10.05703,9.725186,1.163553,0.0736017,0.0736017,0.07004175,0.00080964935,84.06983,84.06983,84.556885,5.745435,0.8929937,0.8929937,1.0037127,0.03104287
2019-04-05,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,14.942767,14.942767,14.632227,4.7762094,168.21843,168.21843,170.17331,158.43614,0.80194277,0.80194277,0.75525486,0.12318307,12.675681,12.675681,13.08129,1.5038207,0.087697595,0.087697595,0.08135179,0.0014370816,87.61998,87.61998,87.5703,25.75618,0.57821393,0.57821393,0.5425136,0.14128679
2019-04-06,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,7.1281714,7.1281714,6.965357,4.659599,151.01006,151.01006,150.67964,50.059258,0.6255672,0.6255672,0.5255478,0.082662396,6.4927206,6.4927206,6.345322,2.8555324,0.058357738,0.058357738,0.05138645,0.00046008234,94.71344,94.71344,94.634834,5.788323,0.71850663,0.71850663,0.6556462,0.10770611
2019-04-07,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,12.164947,12.164947,13.369642,29.448801,143.59113,143.59113,146.01048,95.7957,0.42308423,0.42308423,0.34109604,0.04470059,11.156914,11.156914,12.555031,25.506851,0.057138428,0.057138428,0.051009864,0.0003766814,85.45131,85.45131,84.77244,13.375322,0.67488617,0.67488617,0.6865548,0.10317959
2019-04-08,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,2.852811,2.852811,2.866784,0.6334386,134.04715,134.04715,132.89314,165.52834,0.4769926,0.4769926,0.4826022,0.024648663,2.546728,2.546728,2.50801,0.57747847,0.07132582,0.07132582,0.07424649,0.00030055107,80.50199,80.50199,79.43328,8.273976,0.13501452,0.13501452,0.12457375,0.0051155915
2019-04-09,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,2.7673843,2.7673843,2.6156447,0.21108375,154.65665,154.65665,156.18486,31.696312,0.8429625,0.8429625,0.782967,0.027233697,2.5026934,2.5026934,2.3908668,0.15931454,0.14542295,0.14542295,0.13817154,0.00080698734,78.688286,78.688286,78.290184,17.621866,0.20617181,0.20617181,0.13775879,0.026882194
2019-04-10,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,5.3970838,5.3970838,4.8718457,1.5551077,156.78964,156.78964,156.03348,8.23462,0.5000748,0.5000748,0.49600658,0.009347393,5.140012,5.140012,4.7140865,1.2744842,0.08784584,0.08784584,0.084145956,0.00025117974,78.52407,78.52407,78.85694,10.281884,0.25577196,0.25577196,0.25010395,0.0019736993
2019-04-11,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,4.4365516,4.4365516,4.3841605,0.117332794,132.92418,132.92418,133.11427,3.7908099,0.34909275,0.34909275,0.3433911,0.013990397,3.6605496,3.6605496,3.659215,0.034400143,0.0502243,0.0502243,0.05165315,0.00018218423,92.07609,92.07609,91.80975,1.4799643,0.21845503,0.21845503,0.2145839,0.0014740619
2019-04-12,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,3.9191098,3.9191098,3.7845235,0.59561425,122.730064,122.730064,123.04436,12.783319,0.36523482,0.36523482,0.35886243,0.023040311,3.1318166,3.1318166,3.0921452,0.21932304,0.06606299,0.06606299,0.06407942,0.0006115075,81.829834,81.829834,83.1388,19.174204,0.077980414,0.077980414,0.07301609,0.00077102624
2019-04-13,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,3.9146209,3.9146209,3.989029,0.26195616,143.29861,143.29861,139.97543,43.405354,0.37075046,0.37075046,0.36474004,0.02187377,3.2906032,3.2906032,3.2973804,0.14598113,0.048356447,0.048356447,0.043831605,0.00033698496,87.64769,87.64769,88.765976,17.38516,0.1598221,0.1598221,0.1669349,0.0035719578
2019-04-14,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,3.273273,3.273273,3.099228,0.6201995,150.7113,150.7113,152.43652,47.0962,0.4750658,0.4750658,0.45979205,0.040374428,3.048575,3.048575,2.8289177,0.5938861,0.061518762,0.061518762,0.05919344,0.00052811793,84.30947,84.30947,84.28319,2.9224036,0.14183748,0.14183748,0.13881163,0.0058639343
2019-04-15,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,4.9988794,4.9988794,4.667372,1.211893,165.20032,165.20032,161.80266,49.441025,0.7831803,0.7831803,0.7498855,0.047488257,4.615128,4.615128,4.4258375,0.7396519,0.10550247,0.10550247,0.09834336,0.00031092594,66.25143,66.25143,65.803535,8.230209,0.36554,0.36554,0.36718005,0.009063532
2019-04-16,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,8.970637,8.970637,8.214294,8.319701,166.10878,166.10878,167.00314,23.392982,0.60811657,0.60811657,0.55754805,0.05987796,8.60685,8.60685,8.010777,7.9465723,0.094582826,0.094582826,0.09744749,0.000605794,81.45509,81.45509,81.301346,7.2463155,1.8315382,1.8315382,1.8116424,0.6120314
2019-04-17,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,9.607234,9.607234,7.328793,18.704687,171.05959,171.05959,174.37576,69.08182,0.5979205,0.5979205,0.5291909,0.13363157,9.029771,9.029771,6.857147,15.778412,0.10655511,0.10655511,0.10201882,0.0013598376,82.137505,82.137505,81.6519,15.5947275,3.1425443,3.1425443,0.9798953,16.543377
2019-04-18,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,9.519825,9.519825,9.333524,4.999417,159.49062,159.49062,159.40167,28.55555,0.64502305,0.64502305,0.61051255,0.034565408,9.086101,9.086101,9.230226,4.4422145,0.09310321,0.09310321,0.09135093,0.0008583024,93.10791,93.10791,92.8307,2.6167753,2.5531938,2.5531938,1.7229545,2.686194
2019-04-19,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,9.783683,9.783683,9.619595,2.8190775,157.93204,157.93204,156.45497,28.148108,0.588281,0.588281,0.5628706,0.049501803,9.100839,9.100839,8.943655,3.1395156,0.12243878,0.12243878,0.119114764,0.00085179135,86.20795,86.20795,85.03297,17.89083,4.6222386,4.6222386,4.469598,0.6602253
2019-04-20,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,10.054887,10.054887,9.26794,4.7624245,157.28854,157.28854,157.59358,12.953631,0.49577013,0.49577013,0.4916216,0.009621724,9.144967,9.144967,8.68715,3.678366,0.07810707,0.07810707,0.07966605,0.00013891442,84.3973,84.3973,84.98347,3.6172755,1.5531088,1.5531088,1.2367991,0.56673497
2019-04-21,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,10.153967,10.153967,10.174207,0.69305885,166.15616,166.15616,166.26941,23.754036,0.47857243,0.47857243,0.4544937,0.03967426,8.813434,8.813434,8.71337,0.3870851,0.061485056,0.061485056,0.060070816,0.00028176612,80.169,80.169,80.02026,2.8064013,0.56302017,0.56302017,0.5549552,0.07477571
2019-04-22,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,16.628782,16.628782,15.604802,12.150075,157.62704,157.62704,158.45387,22.861546,0.5944538,0.5944538,0.55343705,0.06939974,12.343641,12.343641,12.404881,0.5317074,0.0730236,0.0730236,0.067204915,0.0005674553,81.87397,81.87397,81.80541,18.22248,0.7458424,0.7458424,0.7399308,0.041836735
2019-04-23,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,21.864548,21.864548,20.0563,30.283415,157.12257,157.12257,160.07893,88.20285,0.6714347,0.6714347,0.6672147,0.04027574,16.098063,16.098063,16.010126,1.634446,0.08160674,0.08160674,0.08164438,0.0002452088,92.08771,92.08771,93.00005,20.680485,1.0195984,1.0195984,0.98405904,0.11846692
2019-04-24,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,95.08848,95.08848,78.20094,2270.4807,154.1026,154.1026,157.05746,105.4085,0.56521726,0.56521726,0.59562665,0.06369564,50.33023,50.33023,41.190094,519.8435,0.09037438,0.09037438,0.08676687,0.0010727444,83.47759,83.47759,82.54164,44.087727,0.8682601,0.8682601,0.82300746,0.025714772
