Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,13.623751,13.623751,13.511733,0.04792981,153.77461,153.77461,153.95035,2.6579561,0.6644263,0.6644263,0.61702466,0.016650906,10.3538685,10.3538685,10.290762,0.114536524,0.09097191,0.09097191,0.080799825,0.0003035323,97.364044,97.364044,97.750015,3.7369637,2.1394691,2.1394691,2.1238832,0.08955723
2019-04-02,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,18.397598,18.397598,18.717216,0.36021814,171.62009,171.62009,171.66855,0.9287036,0.87111205,0.87111205,0.8746923,0.022311382,13.509568,13.509568,13.58561,0.42407978,0.12288903,0.12288903,0.10774404,0.00064523425,94.0471,94.0471,93.59344,1.1311784,1.475426,1.475426,1.4798687,0.0022177545
2019-04-03,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,6.917171,6.917171,6.8948135,0.116619274,157.48712,157.48712,157.41263,0.6805393,0.59731776,0.59731776,0.60483176,0.0042563984,5.1476707,5.1476707,5.0107594,0.10468239,0.065573104,0.065573104,0.067388535,0.00012743945,95.67881,95.67881,95.29641,2.238415,1.2814052,1.2814052,1.1773622,0.046050563
2019-04-04,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,13.528656,13.528656,13.625673,0.18787876,163.86107,163.86107,163.66588,0.89339864,0.4744365,0.4744365,0.46458125,0.0026967167,7.5399475,7.5399475,7.5552597,0.034934174,0.08455303,0.08455303,0.08026025,0.000118727636,94.633415,94.633415,94.81268,1.9527857,1.6882265,1.6882265,1.6855282,0.005842394
2019-04-05,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,20.659882,20.659882,21.205544,1.5016556,177.57274,177.57274,177.35846,2.0071158,0.68690956,0.68690956,0.68596274,0.00065399264,18.656908,18.656908,19.626427,2.9404616,0.067159355,0.067159355,0.067316785,5.5724828e-05,103.281784,103.281784,103.08624,2.3992965,2.513678,2.513678,2.5847201,0.031462427
2019-04-06,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,32.892067,32.892067,32.892036,1.8313003,177.39374,177.39374,177.53452,4.492161,0.96686816,0.96686816,0.96729755,0.0011046161,30.889896,30.889896,31.622042,3.0220175,0.064099394,0.064099394,0.0621867,5.3944816e-05,110.33218,110.33218,110.4738,0.3711019,6.541514,6.541514,6.4144,0.19122866
2019-04-07,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,13.432256,13.432256,13.461445,0.043154135,163.96155,163.96155,164.12784,1.9726527,0.5831051,0.5831051,0.54790306,0.0044323187,10.376407,10.376407,10.373224,0.353666,0.07840839,0.07840839,0.07602097,8.839199e-05,93.03296,93.03296,93.43241,1.8469919,0.9464642,0.9464642,0.9287504,0.019158792
2019-04-08,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,10.594658,10.594658,10.522768,0.37124565,173.53542,173.53542,176.53458,38.81936,0.7596792,0.7596792,0.7350616,0.0053249486,9.509922,9.509922,9.365103,0.36745566,0.08774014,0.08774014,0.07664634,0.00041538756,90.658615,90.658615,90.3962,3.1312113,0.84703493,0.84703493,0.8856432,0.0049411897
2019-04-09,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,5.9162617,5.9162617,5.880063,0.03667077,165.95859,165.95859,163.71985,28.897,1.9673592,1.9673592,1.8690281,0.09197614,5.212114,5.212114,5.0550966,0.12366815,0.22171226,0.22171226,0.1998049,0.002110426,84.958435,84.958435,84.637344,2.3869894,1.909196,1.909196,1.8197591,0.059774406
2019-04-10,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,11.566311,11.566311,11.234919,1.5372789,165.0341,165.0341,163.58768,12.1623955,0.9833536,0.9833536,0.935392,0.027652342,10.0493,10.0493,9.55813,1.0612332,0.1516906,0.1516906,0.15236162,0.0008794202,82.662224,82.662224,82.21193,9.574888,1.654141,1.654141,1.6149392,0.048369326
