Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,20.750063,20.750063,20.689323,36.327003,244.5824,244.5824,214.36075,6142.232,3.3168726,3.3168726,1.8626665,8.003745,17.87806,17.87806,18.37275,36.978268,0.53323096,0.53323096,0.30718273,0.18328135,103.09763,103.09763,102.73059,38.85276,2.7170198,2.7170198,2.7740016,0.45943382
2019-04-02,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,23.916185,23.916185,22.569077,30.172691,203.35211,203.35211,189.2927,2761.705,1.5127516,1.5127516,1.1044499,1.0729343,20.190622,20.190622,19.078852,12.082437,0.22911571,0.22911571,0.16073632,0.024082603,97.33567,97.33567,98.150925,4.6663966,2.7106524,2.7106524,2.4700599,0.44328773
2019-04-03,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,13.500557,13.500557,13.400499,0.15754254,162.46806,162.46806,162.55345,22.693926,1.3748795,1.3748795,1.295124,0.2914308,10.18271,10.18271,10.337294,0.7527421,0.17724156,0.17724156,0.1735001,0.0041250396,85.57737,85.57737,85.39314,18.18812,1.2873329,1.2873329,1.3009114,0.023738658
2019-04-04,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,16.162575,16.162575,16.743818,2.579632,171.80833,171.80833,169.5098,207.58229,1.0871642,1.0871642,1.1863967,0.16876628,10.460341,10.460341,10.454061,0.72701114,0.16839343,0.16839343,0.15548274,0.007821842,86.8902,86.8902,86.359344,5.9952545,1.1426712,1.1426712,1.1546853,0.04108022
2019-04-05,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,20.762321,20.762321,21.983728,9.578395,176.51031,176.51031,178.9584,105.95746,1.4962449,1.4962449,1.4010246,0.14444047,16.055933,16.055933,16.527565,2.7118647,0.19131792,0.19131792,0.17549692,0.0033956573,91.82838,91.82838,90.64789,17.760876,1.355527,1.355527,1.1914381,0.4007813
2019-04-06,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,20.005781,20.005781,20.868801,19.020506,165.32658,165.32658,166.81409,305.0156,1.3500894,1.3500894,0.9974796,0.8031642,16.943363,16.943363,17.968544,10.4422865,0.21334918,0.21334918,0.14306155,0.023288613,96.468285,96.468285,96.72507,4.6544347,2.5710127,2.5710127,2.2815242,0.6634334
2019-04-07,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,25.486343,25.486343,26.187777,11.580638,169.65181,169.65181,167.95953,183.28801,0.94333786,0.94333786,0.89099574,0.17932694,20.908007,20.908007,20.940548,4.6489806,0.14218493,0.14218493,0.1170779,0.006689992,94.28837,94.28837,94.86119,33.979343,2.558212,2.558212,2.5186467,0.29749545
2019-04-08,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,5.8155174,5.8155174,5.624983,3.4866076,171.71687,171.71687,177.35812,388.92386,2.6285431,2.6285431,2.176799,1.9151996,5.3766904,5.3766904,5.1255636,2.9226856,0.31479508,0.31479508,0.29065648,0.032832183,75.00452,75.00452,73.967255,12.080373,0.5160549,0.5160549,0.35471144,0.17545956
2019-04-09,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,8.615607,8.615607,8.947667,1.6310507,160.1357,160.1357,159.1181,12.366544,4.8432374,4.8432374,4.966199,1.5800161,7.4830875,7.4830875,7.8195944,1.3024117,0.74276763,0.74276763,0.6935033,0.033939924,77.86599,77.86599,78.41141,6.705401,10.480901,10.480901,11.320479,26.834099
2019-04-10,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,16.341566,16.341566,15.9106455,5.943641,169.02458,169.02458,169.17307,68.345406,4.1189885,4.1189885,4.0255814,0.7882665,14.886985,14.886985,15.291603,5.9720783,0.74382883,0.74382883,0.7781446,0.0229072,76.086334,76.086334,74.691666,18.127748,8.28479,8.28479,7.3281045,23.318201
2019-04-11,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,5.4309535,5.4309535,4.955352,1.0136523,148.74486,148.74486,151.4548,50.956226,1.3190261,1.3190261,1.2303901,0.6899464,4.1159816,4.1159816,3.7233343,0.486374,0.18366724,0.18366724,0.14295611,0.01676091,89.44587,89.44587,88.90225,1.9587227,0.558049,0.558049,0.4478551,0.18267395
2019-04-12,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,6.802971,6.802971,6.9682665,3.8323364,142.49352,142.49352,136.54626,161.82896,1.5946091,1.5946091,1.1830174,1.1087643,5.2674975,5.2674975,5.2814264,1.4762961,0.23125851,0.23125851,0.1874101,0.030153202,79.38635,79.38635,77.35595,26.176668,0.44838402,0.44838402,0.3459782,0.12759876
2019-04-13,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,8.991193,8.991193,9.860727,5.029528,150.61104,150.61104,151.80966,130.15102,1.3781196,1.3781196,1.0951993,0.6602455,7.8578906,7.8578906,8.627132,3.9005594,0.18780178,0.18780178,0.13321255,0.016514687,84.57748,84.57748,86.05814,12.705116,2.2665722,2.2665722,2.7437963,1.6593808
2019-04-14,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,9.883698,9.883698,9.820082,3.90895,180.21873,180.21873,185.61136,180.35066,1.6480905,1.6480905,1.599611,0.5063038,9.356347,9.356347,9.209627,3.5926695,0.16685398,0.16685398,0.17898563,0.0039160275,81.30687,81.30687,81.681076,81.370384,1.0409096,1.0409096,0.99780804,0.2667243
2019-04-15,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,7.036923,7.036923,6.757533,2.6637614,192.93152,192.93152,190.17181,304.95483,1.6629186,1.6629186,1.0993446,1.5368012,6.823521,6.823521,6.5240955,2.3151093,0.27742764,0.27742764,0.21458992,0.036026113,76.94343,76.94343,77.59465,12.791023,0.90881914,0.90881914,0.8070557,0.13003714
2019-04-16,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,13.88884,13.88884,13.441658,4.7831874,176.17015,176.17015,176.21677,14.657867,2.6535468,2.6535468,2.3712795,1.549798,12.35716,12.35716,12.356066,1.3247848,0.39327443,0.39327443,0.35182446,0.02192449,79.45866,79.45866,80.08007,45.029236,4.2659383,4.2659383,3.058865,9.105664
2019-04-17,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,18.21372,18.21372,17.875574,7.2096763,169.43456,169.43456,168.9542,87.777824,1.5929073,1.5929073,1.0465264,0.90837044,15.539058,15.539058,15.763275,5.439589,0.26250407,0.26250407,0.19060752,0.029670833,95.60617,95.60617,95.878494,17.169645,3.3784144,3.3784144,2.9931684,0.78362304
2019-04-18,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,13.30703,13.30703,13.572351,1.6832184,167.81725,167.81725,169.7708,30.438858,1.2856199,1.2856199,1.0675621,0.46434954,12.360302,12.360302,12.496896,1.4510927,0.20293842,0.20293842,0.16255264,0.013968588,95.419,95.419,94.62253,2.3362014,2.6443527,2.6443527,2.6290317,0.014634979
2019-04-19,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,8.247499,8.247499,7.9295263,1.0314087,164.33833,164.33833,163.04048,33.618782,0.7921912,0.7921912,0.5225402,0.2429799,7.369457,7.369457,7.3201504,0.16506334,0.15717824,0.15717824,0.098070264,0.012227048,84.68917,84.68917,84.35335,5.7159348,0.80075145,0.80075145,0.80419934,0.017222652
2019-04-20,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,9.501339,9.501339,9.575405,0.15349676,158.99153,158.99153,157.69016,31.855936,0.75742555,0.75742555,0.8097813,0.07726601,7.8868804,7.8868804,7.8262568,0.23524255,0.12133672,0.12133672,0.11734258,0.002091661,89.50945,89.50945,88.42999,5.4801307,1.1012341,1.1012341,1.1101377,0.04626976
2019-04-21,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,12.121785,12.121785,12.548613,8.9035845,165.10744,165.10744,166.66919,47.56557,1.6003481,1.6003481,1.5001426,0.16225652,10.523623,10.523623,11.248133,8.873332,0.22883211,0.22883211,0.22902721,0.0035609622,90.80984,90.80984,89.90654,3.751107,3.9858735,3.9858735,3.100176,6.940187
2019-04-22,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,9.538624,9.538624,9.307716,0.8167889,156.4438,156.4438,157.46457,21.932266,1.3519639,1.3519639,1.5627773,0.28973764,7.8285804,7.8285804,7.436098,0.69212574,0.17164612,0.17164612,0.19603164,0.0041593616,93.4025,93.4025,92.81549,20.998121,0.93087846,0.93087846,0.86122394,0.025125729
2019-04-23,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,18.091722,18.091722,17.73132,3.0218716,160.21416,160.21416,162.39975,58.846073,1.3389932,1.3389932,1.3185585,0.14009817,14.509972,14.509972,14.528402,4.6600833,0.13507377,0.13507377,0.14197302,0.0012150131,101.551704,101.551704,102.3051,26.23507,2.012901,2.012901,2.0270932,0.34968415
