Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,15.077931,15.077931,15.475162,0.93078035,174.41031,174.41031,174.20071,40.00041,1.2197549,1.2197549,1.2032721,0.14513531,10.5958805,10.5958805,10.426813,0.32574955,0.17961124,0.17961124,0.17276847,0.0034145764,97.93364,97.93364,99.141556,13.428651,2.4706347,2.4706347,2.4981618,0.05021384
2019-04-02,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,22.390799,22.390799,22.410122,0.88563925,171.46547,171.46547,170.61703,14.941938,0.90791625,0.90791625,0.910763,0.04999631,15.823993,15.823993,15.738761,0.16380528,0.12654944,0.12654944,0.11150547,0.002469289,94.983894,94.983894,95.09592,0.26027253,1.7609432,1.7609432,1.7545538,0.0067931614
2019-04-03,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,10.448416,10.448416,10.278894,1.4195178,164.53214,164.53214,162.53842,34.22772,1.2372595,1.2372595,1.2371473,0.14901789,6.4393506,6.4393506,6.3957205,0.0443643,0.14927745,0.14927745,0.13672596,0.0020585775,89.88869,89.88869,89.81494,0.45454177,1.407429,1.407429,1.4214052,0.023129223
2019-04-04,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,14.432097,14.432097,14.523827,0.22812875,165.20717,165.20717,165.13249,9.896945,1.1684428,1.1684428,1.130072,0.050378818,8.306485,8.306485,8.3889675,0.22668913,0.18641457,0.18641457,0.17927349,0.0019522276,85.71771,85.71771,86.27712,2.1616797,1.4202511,1.4202511,1.4525483,0.010125202
2019-04-05,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,16.595697,16.595697,16.618563,0.60171425,186.69498,186.69498,187.22726,14.190374,1.2414402,1.2414402,1.3622608,0.12265446,12.536932,12.536932,12.211458,1.0410763,0.1481248,0.1481248,0.15200904,0.002591641,98.86114,98.86114,99.76572,6.0701103,1.8291911,1.8291911,1.8406326,0.01366483
2019-04-06,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,20.752792,20.752792,21.270798,3.0102427,172.85083,172.85083,171.47462,11.291433,1.042108,1.042108,1.0335007,0.036518876,18.749777,18.749777,18.744377,3.1867893,0.11012156,0.11012156,0.104418695,0.0015946726,101.44181,101.44181,101.35891,2.162744,3.6035476,3.6035476,3.622006,0.12776607
2019-04-07,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,19.540693,19.540693,19.691938,0.7875559,167.06041,167.06041,168.15395,11.797708,0.9588642,0.9588642,0.9509797,0.07997841,18.102365,18.102365,17.647655,1.7341291,0.12541105,0.12541105,0.13143441,0.0010404143,94.90145,94.90145,94.948814,1.28699,1.5700142,1.5700142,1.5716496,0.046715382
2019-04-08,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,6.9590173,6.9590173,6.6396236,4.5922003,168.95476,168.95476,164.1691,206.53719,1.8004234,1.8004234,1.4943867,0.48185104,6.1861715,6.1861715,5.8631573,4.194324,0.18788485,0.18788485,0.19039181,0.0053122356,82.51911,82.51911,82.52263,7.2973485,0.39342433,0.39342433,0.30306917,0.038472395
2019-04-09,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,3.904628,3.904628,3.8843257,0.30854845,163.8289,163.8289,163.70668,22.859026,2.349149,2.349149,2.2772455,0.5898198,3.595162,3.595162,3.691334,0.18313204,0.33358207,0.33358207,0.30669096,0.010264338,72.21297,72.21297,73.02042,37.48846,1.3706474,1.3706474,1.1762135,0.7621226
2019-04-10,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,6.152389,6.152389,6.0534496,0.3081614,162.49527,162.49527,161.70958,16.218416,1.4036543,1.4036543,1.319721,0.24127448,5.365974,5.365974,5.4581814,0.3214334,0.19608979,0.19608979,0.1861719,0.003598844,80.69366,80.69366,79.956924,13.38202,0.5089886,0.5089886,0.40388668,0.06773445
2019-04-11,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,4.1841917,4.1841917,4.176469,0.031588793,141.77083,141.77083,141.28427,3.8324351,0.8014943,0.8014943,0.7423786,0.056126915,3.5729926,3.5729926,3.5583606,0.021380736,0.104225196,0.104225196,0.102389455,0.0010964584,89.10811,89.10811,89.07395,2.4599514,0.20011778,0.20011778,0.19222313,0.0009825701
2019-04-12,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,3.9592683,3.9592683,3.8468666,0.117126286,135.58018,135.58018,135.46141,21.598867,1.1008458,1.1008458,0.9900873,0.17677163,3.3733354,3.3733354,3.2144153,0.16569069,0.14412454,0.14412454,0.14012614,0.0022906247,80.39567,80.39567,79.740974,4.749671,0.13036299,0.13036299,0.114156514,0.0021414745
2019-04-13,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,5.1410747,5.1410747,4.997204,0.38042736,142.01451,142.01451,141.29688,4.374175,1.0141782,1.0141782,1.014169,0.03508641,3.8957202,3.8957202,3.6933517,0.80054915,0.123338684,0.123338684,0.12907097,0.000859389,87.67606,87.67606,87.47307,17.99918,0.38120413,0.38120413,0.38154012,0.030049922
2019-04-14,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,6.070604,6.070604,6.2953343,0.9422744,154.10994,154.10994,154.12906,23.769869,1.2261493,1.2261493,1.1491553,0.07617011,5.8734126,5.8734126,6.098352,0.8968864,0.13781652,0.13781652,0.12991908,0.0018283942,87.18348,87.18348,87.23626,3.3091488,0.35857943,0.35857943,0.3352767,0.0046590245
2019-04-15,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,9.171313,9.171313,9.195093,0.18741974,173.44385,173.44385,168.98582,107.40422,1.1484462,1.1484462,1.0513936,0.27280647,8.063682,8.063682,8.23154,0.47629285,0.15588388,0.15588388,0.14903703,0.0040619005,77.63786,77.63786,77.10407,13.963708,0.76709586,0.76709586,0.74366117,0.012217824
2019-04-16,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,15.988612,15.988612,15.963459,0.7462463,172.21994,172.21994,169.43208,42.575916,1.345095,1.345095,1.2058223,0.22156537,14.367984,14.367984,14.293907,0.21382704,0.1977335,0.1977335,0.18437795,0.0069050943,84.490654,84.490654,85.06318,9.17706,1.9839977,1.9839977,1.9772415,0.039165072
2019-04-17,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,17.75689,17.75689,17.691193,2.4095473,185.4767,185.4767,185.37086,47.106453,1.5529692,1.5529692,1.5087488,0.25466007,16.618755,16.618755,16.623333,2.7625508,0.18100834,0.18100834,0.18232614,0.0057413513,95.15706,95.15706,95.72464,4.2455287,4.936669,4.936669,4.1722927,2.029353
2019-04-18,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,10.09696,10.09696,10.143357,0.33088747,161.77205,161.77205,161.45163,11.520378,0.91254896,0.91254896,0.891248,0.12761678,9.759798,9.759798,9.837477,0.33997253,0.12537044,0.12537044,0.13256773,0.0024781302,91.571884,91.571884,91.22543,0.96137273,1.5517675,1.5517675,1.5003557,0.19896601
2019-04-19,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,12.264267,12.264267,12.457844,5.2627034,176.65874,176.65874,176.6042,17.0509,0.94716877,0.94716877,0.8807213,0.093190596,11.51947,11.51947,11.417908,5.0882225,0.17770663,0.17770663,0.17556384,0.006337366,92.44476,92.44476,90.32262,18.958652,1.9188954,1.9188954,1.4834285,0.983434
2019-04-20,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,8.250227,8.250227,8.276732,0.1472142,163.19284,163.19284,162.82277,8.641058,0.79319423,0.79319423,0.7790539,0.039016373,7.8041606,7.8041606,7.797096,0.04512689,0.111688435,0.111688435,0.10854251,0.0011227241,87.231834,87.231834,87.30473,0.6301252,1.2681578,1.2681578,1.2759144,0.019082462
2019-04-21,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,12.0655575,12.0655575,12.23046,0.2833744,160.44826,160.44826,160.56656,11.222899,0.99640274,0.99640274,0.9603895,0.077765696,9.460632,9.460632,9.514223,0.1338007,0.11863704,0.11863704,0.11904587,0.0015443595,90.06643,90.06643,90.32383,3.2854671,1.4205309,1.4205309,1.4126832,0.037663795
2019-04-22,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,8.991342,8.991342,8.964893,0.08988261,169.87546,169.87546,168.9184,11.272211,1.3473488,1.3473488,1.3491526,0.04775241,8.596299,8.596299,8.655716,0.035231434,0.14427544,0.14427544,0.14205348,0.001035161,99.22216,99.22216,99.20331,1.4498795,1.6257288,1.6257288,1.6465478,0.0054178536
2019-04-23,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,20.254477,20.254477,20.756668,1.5987159,165.10693,165.10693,165.13841,16.894457,1.2416078,1.2416078,1.2949046,0.09806248,17.493534,17.493534,17.938639,2.3506145,0.13377564,0.13377564,0.1291637,0.0013393251,99.76275,99.76275,98.80602,4.8245935,1.8488178,1.8488178,1.8433042,0.0067383167
2019-04-24,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,37.303158,37.303158,36.01494,72.4137,159.87296,159.87296,160.61334,18.346828,1.1542782,1.1542782,1.1833735,0.11919471,23.854753,23.854753,23.198528,4.7917438,0.1673377,0.1673377,0.18339624,0.0031111254,91.90308,91.90308,92.17407,5.4396043,1.5480899,1.5480899,1.5885391,0.032185446
2019-04-25,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,82.18416,82.18416,80.3605,250.78542,165.51175,165.51175,165.18079,38.94834,2.2742386,2.2742386,2.2280524,0.23330258,41.928062,41.928062,40.951508,14.253408,0.21586703,0.21586703,0.20505483,0.0033009555,79.86965,79.86965,80.16372,4.4277196,0.66905755,0.66905755,0.64661205,0.020165768
2019-04-26,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,113.23672,113.23672,113.73451,131.84608,164.42268,164.42268,163.17184,30.871775,1.6068469,1.6068469,1.5536025,0.22106628,69.030754,69.030754,66.425095,279.82272,0.24560031,0.24560031,0.25796807,0.004228168,86.73058,86.73058,87.88562,26.517221,1.2634717,1.2634717,1.2836025,0.051361293
2019-04-27,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,103.39205,103.39205,98.09674,176.68443,160.00279,160.00279,160.98776,13.616244,1.0371264,1.0371264,0.9520278,0.09895425,77.293144,77.293144,76.64349,10.418741,0.13392451,0.13392451,0.12944403,0.0011826821,71.12678,71.12678,70.96679,7.5364866,0.47880125,0.47880125,0.49963945,0.010093169
2019-04-28,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,9.196544,9.196544,9.175669,1.5229635,138.77019,138.77019,138.86978,0.80437243,0.93089676,0.93089676,0.9277569,0.06766755,7.6128955,7.6128955,7.678087,0.582269,0.12452874,0.12452874,0.12880613,0.0010600294,99.105835,99.105835,99.08118,6.9769135,0.7743997,0.7743997,0.6675691,0.22163257
2019-04-29,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,6.218181,6.218181,6.2038565,0.16622366,140.24779,140.24779,139.90987,12.609169,0.75585514,0.75585514,0.6621654,0.038836222,2.8077066,2.8077066,2.802414,0.013397916,0.13066451,0.13066451,0.12510882,0.0021965315,93.03382,93.03382,93.63204,5.5878253,0.3889988,0.3889988,0.39359805,0.0028857314
2019-04-30,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,7.7182145,7.7182145,7.8168764,0.09261543,135.61665,135.61665,133.75305,13.341817,0.68100876,0.68100876,0.6359868,0.021763248,3.6020186,3.6020186,3.5873969,0.019282695,0.10965507,0.10965507,0.10169813,0.0014807889,105.19392,105.19392,105.13022,6.6079993,0.3740439,0.3740439,0.37553605,0.0014031361
2019-05-01,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,4.239461,4.239461,4.219941,0.07009766,157.7856,157.7856,155.29425,97.46194,0.9910679,0.9910679,0.87435734,0.09837054,3.1048272,3.1048272,3.1391647,0.034045193,0.1397263,0.1397263,0.12741436,0.0017685726,92.11712,92.11712,92.078384,0.49744946,0.24475048,0.24475048,0.24258107,0.0001602012
2019-05-02,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,8.960488,8.960488,9.24087,3.1399236,165.97473,165.97473,164.74051,24.314013,1.1712596,1.1712596,1.0630821,0.1966424,7.941127,7.941127,8.059177,2.6311953,0.15110533,0.15110533,0.14733894,0.0028690994,101.051025,101.051025,100.522064,44.87998,2.8421626,2.8421626,2.7848728,1.6749574
2019-05-03,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,7.395607,7.395607,7.263917,0.5889319,156.10558,156.10558,155.90384,5.2204504,1.1442043,1.1442043,1.04526,0.14186703,6.6216683,6.6216683,6.4003253,0.57081604,0.13723578,0.13723578,0.1274719,0.001794346,93.88772,93.88772,93.32172,17.067522,0.4206748,0.4206748,0.33318415,0.039788745
2019-05-04,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,12.01315,12.01315,11.926537,4.7401695,143.7737,143.7737,143.5344,6.519662,0.9697358,0.9697358,0.96878874,0.036367603,7.459278,7.459278,7.5106106,2.1947536,0.11697089,0.11697089,0.115058646,0.0015663566,86.180664,86.180664,84.51816,17.03295,0.25042316,0.25042316,0.21559644,0.015086232
