Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΚΙΛΚΙΣ,17.09948,17.09948,16.085888,12.869377,180.3376,180.3376,166.22018,1222.4375,1.9586157,1.9586157,1.0144738,3.3758993,14.075437,14.075437,13.195315,13.276482,0.24206883,0.24206883,0.1330145,0.046323806,105.18649,105.18649,107.46716,28.479284,3.7348619,3.7348619,3.5721116,1.1346852
2019-04-02,ΔΗΜΟΣ ΚΙΛΚΙΣ,25.658014,25.658014,27.015377,10.890063,185.69365,185.69365,180.55365,251.63742,2.2256556,2.2256556,1.8083739,1.1580521,20.754566,20.754566,21.17572,1.2826624,0.23097357,0.23097357,0.22448532,0.012417207,99.70698,99.70698,99.93137,6.38266,6.2372527,6.2372527,6.348742,1.6346663
2019-04-03,ΔΗΜΟΣ ΚΙΛΚΙΣ,14.436452,14.436452,14.298185,4.5714355,175.57431,175.57431,175.60468,94.214516,2.3652873,2.3652873,2.1008759,1.0254686,9.856126,9.856126,9.572039,2.096243,0.26457053,0.26457053,0.22231351,0.01395041,91.635506,91.635506,91.147675,4.7749124,3.4772866,3.4772866,3.306809,1.1783499
2019-04-04,ΔΗΜΟΣ ΚΙΛΚΙΣ,15.177447,15.177447,15.675248,1.6705797,174.62148,174.62148,174.31543,101.918755,1.552127,1.552127,1.3787371,0.557547,10.204296,10.204296,10.269064,0.5453928,0.22079913,0.22079913,0.17805846,0.014019201,90.830376,90.830376,90.8139,1.8068454,2.979859,2.979859,2.7709036,1.0501484
2019-04-05,ΔΗΜΟΣ ΚΙΛΚΙΣ,14.642115,14.642115,14.279343,0.7521704,176.15927,176.15927,175.01308,178.95827,1.4884206,1.4884206,1.2705547,0.7939381,11.02011,11.02011,10.732264,0.55314064,0.15423532,0.15423532,0.12914822,0.004578698,94.72168,94.72168,95.457436,4.89281,3.1326354,3.1326354,2.8085196,1.3591927
2019-04-06,ΔΗΜΟΣ ΚΙΛΚΙΣ,16.872463,16.872463,17.021526,1.711859,154.55626,154.55626,154.36429,86.06689,0.6250277,0.6250277,0.6184193,0.0214912,14.498772,14.498772,14.619507,1.8949393,0.05719059,0.05719059,0.059117157,0.00012842474,98.34136,98.34136,98.16886,5.5907645,2.9274454,2.9274454,2.7169876,0.3951853
2019-04-07,ΔΗΜΟΣ ΚΙΛΚΙΣ,22.55353,22.55353,22.170483,39.605476,182.1576,182.1576,172.28362,282.17322,1.4175012,1.4175012,0.8492122,1.0977757,20.255634,20.255634,21.038279,21.869274,0.14823714,0.14823714,0.090906836,0.0117494585,96.38626,96.38626,95.91921,55.139645,2.8921964,2.8921964,1.9132785,4.4544587
2019-04-08,ΔΗΜΟΣ ΚΙΛΚΙΣ,7.022271,7.022271,6.8342276,9.531918,177.65479,177.65479,176.05003,101.5998,1.1097975,1.1097975,1.0259614,0.20863575,5.514277,5.514277,4.8241587,3.8306904,0.15637533,0.15637533,0.14492062,0.002501889,73.69863,73.69863,73.45672,4.2740936,0.4024491,0.4024491,0.3139476,0.050350532
2019-04-09,ΔΗΜΟΣ ΚΙΛΚΙΣ,6.4078135,6.4078135,6.3738046,0.52072924,178.26677,178.26677,175.07968,69.7159,1.647314,1.647314,1.6416011,0.029378572,6.1656947,6.1656947,5.9813175,0.5423995,0.2604245,0.2604245,0.26227316,0.0006868148,66.30187,66.30187,67.06357,45.576115,1.4793137,1.4793137,1.5513409,0.07662035
2019-04-10,ΔΗΜΟΣ ΚΙΛΚΙΣ,12.6269655,12.6269655,12.36864,5.2847733,171.44788,171.44788,167.72139,77.21882,1.1432734,1.1432734,0.8783283,0.7378752,11.622399,11.622399,11.466801,3.0766702,0.12740812,0.12740812,0.098839976,0.0050495365,86.332695,86.332695,86.63535,3.268118,1.9305335,1.9305335,1.5643309,0.6548603
