Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,19.509579,19.509579,20.265924,16.336494,206.16202,206.16202,202.08469,1089.2764,3.2472699,3.2472699,2.3210802,6.375416,15.759352,15.759352,16.967339,23.186123,0.4321796,0.4321796,0.26034376,0.13675736,98.237015,98.237015,98.168846,16.137825,4.9109926,4.9109926,4.520956,5.9025416
2019-04-02,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,22.779463,22.779463,23.18838,3.8298457,182.74362,182.74362,178.00127,207.2353,1.9839044,1.9839044,1.3416396,1.7549553,18.092001,18.092001,17.943306,5.1845584,0.22016217,0.22016217,0.13579893,0.028390788,97.39,97.39,97.49184,2.5191524,4.47067,4.47067,4.1498823,2.758388
2019-04-03,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,13.330592,13.330592,13.685244,3.477098,169.60075,169.60075,163.85286,180.25598,1.9121866,1.9121866,1.2370265,1.5597124,9.073948,9.073948,9.038435,1.3145201,0.25100565,0.25100565,0.16321233,0.026434448,89.55348,89.55348,89.92026,2.4778612,2.6009552,2.6009552,2.461988,0.99977547
2019-04-04,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,14.9405575,14.9405575,14.898653,0.7415359,170.56142,170.56142,164.90256,120.68793,1.646817,1.646817,1.0574652,1.008848,9.1993,9.1993,9.105393,0.5256772,0.27902445,0.27902445,0.15142198,0.041476376,87.20764,87.20764,86.91779,8.048508,2.5532787,2.5532787,2.054918,1.5479867
2019-04-05,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,14.074675,14.074675,14.041112,0.22957194,171.56676,171.56676,167.13258,198.85982,1.4224454,1.4224454,0.92644596,1.1397318,10.396324,10.396324,10.326288,0.1483623,0.17917973,0.17917973,0.115043946,0.024402993,94.84112,94.84112,95.27148,6.03578,2.9753895,2.9753895,2.5778916,0.8001822
2019-04-06,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,23.349804,23.349804,23.136173,19.67274,164.75113,164.75113,164.25703,58.62149,0.8919608,0.8919608,0.8315963,0.11373736,20.746109,20.746109,18.852835,25.494991,0.08570727,0.08570727,0.075148776,0.0024288436,100.82167,100.82167,101.029884,25.190763,5.454033,5.454033,5.740702,1.0790694
2019-04-07,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,14.671141,14.671141,13.655082,7.9788165,167.80576,167.80576,163.53218,126.829926,1.1186823,1.1186823,0.8610002,0.45630947,13.237422,13.237422,12.650145,5.7440567,0.14140579,0.14140579,0.1174385,0.006118857,90.22588,90.22588,90.421906,12.552635,1.2317259,1.2317259,0.7844108,0.96479
2019-04-08,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,8.375298,8.375298,7.5393133,5.6700935,177.44304,177.44304,168.93143,890.3577,2.168483,2.168483,1.5607443,4.4951897,7.2509227,7.2509227,6.5442405,4.746775,0.2490268,0.2490268,0.17493394,0.03132445,73.23762,73.23762,72.90967,4.7370963,0.8691847,0.8691847,0.2893273,2.6482558
2019-04-09,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,6.1285605,6.1285605,5.9719214,0.25797778,177.23463,177.23463,174.78279,153.08955,1.8495883,1.8495883,1.5042673,0.9171167,5.6868205,5.6868205,5.5807843,0.18733065,0.295355,0.295355,0.25876483,0.012605386,72.55038,72.55038,73.66168,24.189014,1.3616604,1.3616604,1.0761371,0.6595775
2019-04-10,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,13.99872,13.99872,12.594621,13.471421,187.51988,187.51988,184.05319,262.7569,1.9745376,1.9745376,1.3789341,1.7017076,12.943118,12.943118,12.165697,9.117915,0.2155414,0.2155414,0.15923789,0.019887498,88.16073,88.16073,88.30043,10.545331,2.7651596,2.7651596,2.6401494,2.822656
2019-04-11,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,7.838488,7.838488,8.019525,0.7232983,153.65434,153.65434,152.80438,33.364723,1.5960363,1.5960363,1.2982113,0.7745065,6.3206797,6.3206797,6.4821444,0.82084876,0.23254363,0.23254363,0.18400238,0.020039743,101.022064,101.022064,101.589325,9.755327,3.0157049,3.0157049,3.3059137,1.6977812
2019-04-12,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,5.7285714,5.7285714,5.636255,0.4873249,155.68567,155.68567,154.83119,107.7505,1.2801074,1.2801074,0.7930182,1.0077193,5.0837903,5.0837903,5.0235567,0.46900392,0.16859476,0.16859476,0.12407499,0.012575318,83.12766,83.12766,83.51161,19.647799,0.58572745,0.58572745,0.3193755,0.47621712
2019-04-13,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,7.812976,7.812976,6.853028,5.320676,160.26384,160.26384,155.67796,232.60822,1.2565916,1.2565916,0.8740571,0.9075044,6.522561,6.522561,5.797496,3.8706498,0.13658129,0.13658129,0.106329165,0.006431394,90.73755,90.73755,89.360596,67.29913,1.6661422,1.6661422,1.2878445,1.8188196
2019-04-14,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,6.0383115,6.0383115,6.186167,0.97501737,167.39105,167.39105,159.59021,279.55905,1.4793721,1.4793721,0.9625863,1.22935,5.916308,5.916308,6.118645,0.8687425,0.1670337,0.1670337,0.109189,0.018233225,76.21147,76.21147,76.23232,12.989577,1.235288,1.235288,1.1473844,0.42668352
2019-04-15,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,13.896523,13.896523,14.39834,4.9873896,186.4763,186.4763,183.8059,155.2907,1.4112006,1.4112006,1.1891714,0.8336619,12.947613,12.947613,13.049084,3.6267314,0.19297412,0.19297412,0.14858228,0.019020556,76.666824,76.666824,75.6383,21.801136,4.838406,4.838406,4.783473,1.9747643
2019-04-16,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,14.851524,14.851524,14.949926,1.7131712,192.40036,192.40036,192.01378,95.461426,2.207661,2.207661,1.536072,2.115659,13.9769945,13.9769945,14.2385,0.98342323,0.3244094,0.3244094,0.23340097,0.050810628,89.87716,89.87716,89.528946,5.135556,4.498146,4.498146,4.57738,1.3569571
2019-04-17,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,6.9660296,6.9660296,6.8996253,0.59616613,158.11374,158.11374,158.02173,43.330338,1.0059775,1.0059775,0.77483267,0.44877735,5.5416327,5.5416327,5.485558,0.11789683,0.1514401,0.1514401,0.11798471,0.013316383,105.80435,105.80435,106.57311,6.799537,1.85534,1.85534,1.745292,0.2533785
2019-04-18,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,9.888639,9.888639,8.945254,6.2177095,189.10535,189.10535,176.9374,760.62537,1.9796375,1.9796375,1.0991386,3.0017543,9.042889,9.042889,8.327317,5.2853436,0.23367314,0.23367314,0.13036683,0.06726976,95.33092,95.33092,95.18079,3.8844905,2.9986844,2.9986844,2.2555206,3.3334122
2019-04-19,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,7.993737,7.993737,7.7711606,0.6853638,166.21254,166.21254,163.69244,76.0034,0.94851464,0.94851464,0.7425527,0.29461166,6.9774804,6.9774804,6.8644934,0.38581485,0.17088476,0.17088476,0.11399886,0.01889758,88.39678,88.39678,89.00784,13.206987,1.6628538,1.6628538,1.4435529,0.6470811
2019-04-20,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,8.0755205,8.0755205,8.326726,1.168292,164.0458,164.0458,160.63129,70.91877,1.068404,1.068404,0.72288907,0.49321198,7.2348013,7.2348013,7.1794353,0.7475138,0.16950977,0.16950977,0.10568968,0.015710436,88.364,88.364,88.79619,3.4959736,1.9350208,1.9350208,1.5486279,0.8254594
2019-04-21,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,9.635867,9.635867,9.906019,1.5097317,165.86,165.86,163.669,94.1109,1.174647,1.174647,0.7346465,0.7437073,8.439048,8.439048,8.625064,1.4233968,0.17568323,0.17568323,0.10299826,0.021556612,98.955124,98.955124,98.11108,13.504164,2.6419842,2.6419842,2.2297754,1.5369588
2019-04-22,ΔΗΜΟΣ ΛΑΓΚΑΔΑ,7.951423,7.951423,7.844027,0.1680645,154.18544,154.18544,151.76999,38.34736,1.061186,1.061186,0.79821193,0.41379964,7.5206704,7.5206704,7.411044,0.10114202,0.13944647,0.13944647,0.10769164,0.0052400418,92.723755,92.723755,92.49955,2.766143,1.484806,1.484806,1.3039951,0.2987131
