Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,15.944656,15.944656,15.833958,0.06025072,180.2999,180.2999,178.46227,29.941542,1.448557,1.448557,1.3437109,0.0886875,10.645866,10.645866,10.457736,0.24693637,0.2010128,0.2010128,0.19380054,0.0027317728,101.27055,101.27055,101.38749,0.618176,2.2962608,2.2962608,2.3259687,0.106256984
2019-04-02,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,21.535456,21.535456,21.585266,0.0882742,173.66309,173.66309,171.86278,25.187433,1.2329481,1.2329481,1.2579023,0.06949248,15.496316,15.496316,15.456818,0.04218974,0.16965707,0.16965707,0.18314062,0.0017782418,95.548935,95.548935,95.442955,0.6687998,1.9238532,1.9238532,1.8887647,0.016195668
2019-04-03,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,12.126757,12.126757,12.676841,1.3728619,167.58589,167.58589,163.18097,79.558235,1.458538,1.458538,1.3365664,0.17985936,6.765659,6.765659,6.8109975,0.053364847,0.17285796,0.17285796,0.16694269,0.0015847051,89.0127,89.0127,88.96115,0.08195747,1.4631191,1.4631191,1.4565842,0.025922703
2019-04-04,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,15.1030445,15.1030445,15.155017,0.040289678,164.77884,164.77884,162.80145,22.608883,1.2705307,1.2705307,1.2906369,0.10334594,8.639489,8.639489,8.673781,0.06358104,0.19152248,0.19152248,0.20829205,0.0032347434,86.123955,86.123955,86.679565,1.5522271,1.3170377,1.3170377,1.3642279,0.007240772
2019-04-05,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,17.100855,17.100855,16.9478,0.32415596,188.3788,188.3788,186.59645,44.77967,1.5500811,1.5500811,1.5850124,0.020577114,12.276866,12.276866,12.261864,0.08557589,0.18232398,0.18232398,0.16802911,0.0010451836,97.92318,97.92318,98.90079,6.006588,1.6591781,1.6591781,1.6552804,0.00789773
2019-04-06,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,18.000336,18.000336,17.972061,1.0457803,174.52405,174.52405,172.21545,14.675055,1.2269641,1.2269641,1.0824108,0.05459101,15.5013895,15.5013895,15.5018015,0.83147544,0.15296793,0.15296793,0.14409274,0.0008990312,100.436775,100.436775,100.43123,0.36889976,3.0574248,3.0574248,3.0249367,0.015487936
2019-04-07,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,19.783743,19.783743,19.563955,0.81091446,162.15227,162.15227,164.41559,16.26721,1.0672585,1.0672585,1.0264856,0.06927501,18.23096,18.23096,17.481047,2.045981,0.12720339,0.12720339,0.12558843,0.0013132945,96.14972,96.14972,96.201904,0.95035475,1.3777403,1.3777403,1.4355948,0.05090075
2019-04-08,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,9.979223,9.979223,9.46585,9.807007,173.74657,173.74657,168.04904,385.2111,2.1301963,2.1301963,2.302892,0.77238905,8.049871,8.049871,7.226575,7.62042,0.20790948,0.20790948,0.21464086,0.0070452793,82.11268,82.11268,81.405174,3.4937692,0.5975963,0.5975963,0.6148198,0.04793388
2019-04-09,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,4.0001493,4.0001493,3.7502534,0.6286112,163.12376,163.12376,159.48952,38.509808,2.7318027,2.7318027,2.3883743,1.183382,3.524078,3.524078,3.5535314,0.39809877,0.3963427,0.3963427,0.43156883,0.025096854,70.75585,70.75585,70.98913,58.29649,1.9262365,1.9262365,1.457457,2.3832028
2019-04-10,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,6.3768744,6.3768744,6.0198836,0.5659281,163.13759,163.13759,161.31946,16.052837,1.4740697,1.4740697,1.276687,0.450353,5.379241,5.379241,5.0739765,0.58357185,0.2103297,0.2103297,0.20074247,0.008250367,79.63235,79.63235,78.231094,14.436931,0.80293465,0.80293465,0.46146908,0.8034391
