Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,17.021881,17.021881,16.724352,1.0974611,169.22089,169.22089,168.6523,7.7956185,0.8287614,0.8287614,0.8072476,0.02894407,12.081375,12.081375,11.97849,1.189908,0.1447413,0.1447413,0.13995561,0.0009896049,94.963554,94.963554,95.04346,4.6199975,1.5325439,1.5325439,1.4966872,0.06891859
2019-04-02,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,18.764963,18.764963,18.521065,2.0492523,155.68896,155.68896,154.33267,46.022003,0.6616674,0.6616674,0.64283514,0.027038982,14.131502,14.131502,14.025273,0.1527314,0.11345804,0.11345804,0.09990231,0.00082661863,94.26033,94.26033,94.27946,0.20743223,1.8619915,1.8619915,1.8812755,0.0027357852
2019-04-03,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,12.094073,12.094073,12.240297,0.5773362,158.93236,158.93236,157.72537,23.35461,0.73458326,0.73458326,0.6163603,0.081200354,9.10491,9.10491,9.237572,0.34936568,0.09517397,0.09517397,0.08225132,0.0010098327,85.47494,85.47494,85.28314,5.909035,1.1508262,1.1508262,1.1347793,0.008876888
2019-04-04,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,14.02796,14.02796,14.180038,0.148718,161.24582,161.24582,159.04723,50.273163,0.6851707,0.6851707,0.5632259,0.09135725,9.484061,9.484061,9.468936,0.5169071,0.07173781,0.07173781,0.049233507,0.001958932,84.18166,84.18166,83.688225,1.1297594,0.79295146,0.79295146,0.7735821,0.012644084
2019-04-05,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,16.039318,16.039318,15.15132,4.951131,174.21619,174.21619,171.83916,64.48293,1.1426741,1.1426741,0.9179123,0.234498,13.473129,13.473129,13.12523,0.56903267,0.111864984,0.111864984,0.08043163,0.002490051,83.2624,83.2624,83.86375,17.59346,0.634779,0.634779,0.54569685,0.03538599
2019-04-06,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,11.93321,11.93321,11.820978,0.91636455,165.12056,165.12056,162.51575,45.292168,1.2606434,1.2606434,1.0070648,0.46021062,9.256163,9.256163,9.348659,0.24343559,0.085611865,0.085611865,0.08071765,0.0002714068,90.73062,90.73062,91.643684,6.253241,1.107955,1.107955,1.1390284,0.038774244
2019-04-07,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,7.9963026,7.9963026,4.816982,27.360052,141.71492,141.71492,137.69911,79.18498,0.4282299,0.4282299,0.28429526,0.06071911,6.4654055,6.4654055,4.67276,11.881174,0.058220454,0.058220454,0.03326406,0.0020419639,81.33161,81.33161,81.27453,1.4985002,0.6862422,0.6862422,0.5154277,0.10113873
2019-04-08,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,2.631333,2.631333,2.6357725,0.013649094,123.43899,123.43899,121.65771,14.938705,0.35758367,0.35758367,0.26846597,0.03508346,2.3231692,2.3231692,2.3710244,0.005281506,0.053445704,0.053445704,0.039651938,0.0014614193,84.26717,84.26717,83.92318,0.3313622,0.13749853,0.13749853,0.16147934,0.0018260938
2019-04-09,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,2.5442352,2.5442352,2.4056935,0.067287825,158.80116,158.80116,158.78642,0.22354813,0.9178251,0.9178251,0.88308245,0.013313766,2.37613,2.37613,2.2726893,0.064464495,0.15122208,0.15122208,0.1316594,0.00128041,80.23366,80.23366,81.12461,15.392157,0.16063401,0.16063401,0.19166057,0.0018437728
2019-04-10,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,7.6483765,7.6483765,7.2176313,1.2255911,160.46077,160.46077,159.2274,6.250456,0.47303757,0.47303757,0.4526777,0.010298416,6.904357,6.904357,6.999007,0.58003163,0.07624472,0.07624472,0.07734251,0.00012223197,79.99104,79.99104,79.60546,4.0760355,0.19899175,0.19899175,0.22171776,0.006377445
