Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,18.368366,18.368366,18.33737,1.3557016,171.99582,171.99582,172.77452,8.490867,0.9699207,0.9699207,1.0399396,0.023552446,13.068633,13.068633,13.241437,1.9637747,0.170445,0.170445,0.1720757,0.000344072,97.77238,97.77238,97.63853,6.21624,1.9587146,1.9587146,1.9000765,0.13295242
2019-04-02,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,18.99874,18.99874,19.072105,2.8174303,159.9126,159.9126,158.35088,49.57477,0.74532276,0.74532276,0.8040644,0.03128854,14.450658,14.450658,14.42545,0.14557947,0.13057415,0.13057415,0.12960832,0.0007662559,94.2064,94.2064,94.25095,0.18165743,1.8525563,1.8525563,1.8514754,0.0015420514
2019-04-03,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,12.991376,12.991376,13.148442,0.2635198,165.05241,165.05241,165.30692,39.87309,0.92163575,0.92163575,0.9452137,0.089380346,8.698794,8.698794,8.67539,0.30639258,0.11966647,0.11966647,0.12264922,0.0010912246,87.5847,87.5847,88.19257,5.0802116,1.3115278,1.3115278,1.2984458,0.015400007
2019-04-04,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,13.777034,13.777034,13.626668,0.1250841,168.7421,168.7421,166.47308,77.33259,0.924877,0.924877,0.9036043,0.12957464,9.262513,9.262513,8.978036,0.5165268,0.10610763,0.10610763,0.10562395,0.00197938,84.27049,84.27049,83.91954,1.6916615,0.8562182,0.8562182,0.787054,0.021282787
2019-04-05,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,17.755463,17.755463,17.515326,5.6597548,179.98203,179.98203,175.40541,207.46878,1.480174,1.480174,1.4739404,0.28878608,14.380028,14.380028,14.486118,0.97357893,0.148324,0.148324,0.15591614,0.0032566728,83.01597,83.01597,84.04452,13.283681,0.686364,0.686364,0.80001426,0.038536303
2019-04-06,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,12.295409,12.295409,12.3507595,0.54158056,170.02968,170.02968,167.91718,85.742485,1.4659388,1.4659388,1.1539838,0.4058928,9.716569,9.716569,9.547255,0.38062787,0.10037025,0.10037025,0.09049472,0.0011100378,89.849106,89.849106,92.55763,21.166653,0.9132413,0.9132413,0.900414,0.042397942
2019-04-07,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,11.370002,11.370002,10.870067,32.727863,147.82626,147.82626,145.14424,95.551384,0.61761796,0.61761796,0.51596063,0.08889179,9.661092,9.661092,8.323188,21.844168,0.08667201,0.08667201,0.07261747,0.0021326852,83.312645,83.312645,82.79644,7.8423533,0.91312045,0.91312045,0.7616876,0.13936898
2019-04-08,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,2.7174442,2.7174442,2.7146711,0.016794493,127.81303,127.81303,127.43163,28.896408,0.5485091,0.5485091,0.42474982,0.06587077,2.3100505,2.3100505,2.3098607,0.0047956146,0.08808279,0.08808279,0.07810118,0.0021160548,83.587135,83.587135,83.615486,1.427899,0.23406027,0.23406027,0.26122534,0.003327702
2019-04-09,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,2.5097797,2.5097797,2.3529997,0.16437285,159.8373,159.8373,159.65999,1.0470284,1.0022476,1.0022476,1.0085927,0.021921953,2.350325,2.350325,2.1664631,0.16225323,0.17449142,0.17449142,0.17891406,0.0010453514,77.48096,77.48096,76.30666,16.672407,0.21104214,0.21104214,0.20030077,0.0007388456
2019-04-10,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,6.696649,6.696649,6.4095454,0.3199916,161.7358,161.7358,160.44998,9.491546,0.5713109,0.5713109,0.5371754,0.02558295,6.4301443,6.4301443,6.254359,0.32268664,0.08915325,0.08915325,0.08799355,0.0001074587,78.004944,78.004944,77.51585,7.612068,0.32152465,0.32152465,0.3123759,0.008072249
2019-04-11,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,4.8904486,4.8904486,4.8939323,0.02736427,134.70818,134.70818,134.4767,7.2191978,0.44063297,0.44063297,0.39946714,0.03745855,3.9495568,3.9495568,3.906697,0.01532567,0.05078172,0.05078172,0.05271541,0.00034616448,91.62501,91.62501,91.90502,6.233065,0.26846334,0.26846334,0.25283954,0.0041215788
2019-04-12,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,3.5483756,3.5483756,3.346062,0.3778692,125.4649,125.4649,125.08981,21.64292,0.4600427,0.4600427,0.39362574,0.04553563,3.04962,3.04962,2.942647,0.2271534,0.0713635,0.0713635,0.05637714,0.0017198239,80.82973,80.82973,81.53978,7.127784,0.12430917,0.12430917,0.1369081,0.00065902394
2019-04-13,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,4.181996,4.181996,4.2850127,0.1860026,143.66402,143.66402,143.39671,15.390443,0.5130851,0.5130851,0.46226203,0.049730744,3.6671674,3.6671674,3.653618,0.18147357,0.070789345,0.070789345,0.057930548,0.0015034893,82.91328,82.91328,81.96764,8.581709,0.23587583,0.23587583,0.24121505,0.00074479514
2019-04-14,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,3.4946103,3.4946103,3.5079606,0.06951993,156.16028,156.16028,155.70627,57.07978,0.83389074,0.83389074,0.7955448,0.1814603,3.1597059,3.1597059,3.0691237,0.038424898,0.086224265,0.086224265,0.0841779,0.0019408464,85.02521,85.02521,84.235214,4.788324,0.25026938,0.25026938,0.26142287,0.0054034167
2019-04-15,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,7.465758,7.465758,7.4615674,0.3924715,166.75185,166.75185,165.62254,29.461935,1.3660326,1.3660326,1.2965771,0.04848493,6.4858007,6.4858007,6.3475075,0.3945391,0.17425774,0.17425774,0.18860005,0.0011269713,72.79993,72.79993,72.313194,12.821948,0.45440832,0.45440832,0.4076526,0.015446429
2019-04-16,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,8.585238,8.585238,7.4695034,7.7958436,164.81326,164.81326,164.37753,13.646012,0.7802869,0.7802869,0.84943545,0.121897705,7.7726865,7.7726865,7.223837,4.724757,0.11574524,0.11574524,0.08381751,0.0053615044,80.37425,80.37425,78.819885,7.9885178,1.2888038,1.2888038,1.185981,0.09699074
2019-04-17,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,6.677335,6.677335,5.508553,3.9457567,176.36482,176.36482,176.19508,33.011963,0.8312518,0.8312518,0.8360246,0.12843509,6.3955445,6.3955445,5.3029346,3.6245058,0.14191173,0.14191173,0.12351984,0.0051873936,77.402145,77.402145,75.48623,19.394623,1.5082052,1.5082052,1.2858549,0.5244912
2019-04-18,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,7.4885483,7.4885483,7.611338,0.13250211,164.15341,164.15341,165.21872,12.482912,0.98879737,0.98879737,0.97758603,0.113904834,7.2192807,7.2192807,7.261148,0.13654205,0.13274105,0.13274105,0.1509619,0.0010661168,92.48512,92.48512,92.7017,2.6106322,1.0494758,1.0494758,1.0075091,0.0081239175
2019-04-19,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,10.699522,10.699522,10.054334,2.8242908,166.52756,166.52756,166.68446,46.95111,0.8583488,0.8583488,0.73205084,0.11765386,10.085173,10.085173,9.302565,2.0942228,0.15720747,0.15720747,0.14010775,0.004353407,88.62064,88.62064,90.85564,23.705662,3.4512725,3.4512725,3.3189237,0.42174172
2019-04-20,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,8.406818,8.406818,7.8746505,1.0847639,159.95993,159.95993,157.59903,28.297873,0.6968618,0.6968618,0.7422584,0.022076676,8.072633,8.072633,7.5651464,1.0589095,0.10066005,0.10066005,0.098172136,0.00064027123,85.09808,85.09808,85.66684,1.0896472,1.2523257,1.2523257,1.2580869,0.0130327325
2019-04-21,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,11.242814,11.242814,11.377127,0.23843704,163.3945,163.3945,163.54832,48.787926,0.6739682,0.6739682,0.7744937,0.07371386,9.692779,9.692779,9.546098,0.20864162,0.07910829,0.07910829,0.073294014,0.0011152643,78.91573,78.91573,78.12978,5.1152167,0.71092445,0.71092445,0.7256418,0.012276918
2019-04-22,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,13.643809,13.643809,12.980398,4.4057665,161.36708,161.36708,161.56435,52.992275,0.98628336,0.98628336,0.9703338,0.16388571,11.107491,11.107491,11.158077,0.4558191,0.115160465,0.115160465,0.12874147,0.0015009629,82.613174,82.613174,83.322464,16.837498,0.9483442,0.9483442,0.9729746,0.010185766
