Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,16.09058,16.09058,16.749819,2.7132506,159.6278,159.6278,161.54158,122.362625,1.2094965,1.2094965,1.1540279,0.16005555,11.237504,11.237504,11.370009,0.339337,0.1716758,0.1716758,0.16643843,0.001138855,101.92886,101.92886,102.064835,20.901623,2.3681626,2.3681626,2.4082568,0.13281178
2019-04-02,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,20.965618,20.965618,20.38889,8.706154,186.82751,186.82751,179.76526,1369.9248,1.0018235,1.0018235,0.92753893,0.07411714,17.353325,17.353325,16.841068,1.9237695,0.15122059,0.15122059,0.14440005,0.00026515394,95.82162,95.82162,96.72098,3.686236,2.891084,2.891084,2.985452,0.19143447
2019-04-03,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,14.611452,14.611452,14.392404,1.1792372,175.71318,175.71318,167.07321,519.1684,2.2790053,2.2790053,1.6072974,1.7034031,11.29359,11.29359,11.156435,2.9480457,0.23471446,0.23471446,0.16543987,0.019938976,79.67939,79.67939,77.98816,10.53997,2.732368,2.732368,1.401645,5.0652533
2019-04-04,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,17.40208,17.40208,17.374184,4.965439,166.8231,166.8231,170.66779,111.15419,1.7593297,1.7593297,1.4019612,1.0538995,11.101412,11.101412,11.018801,0.41067216,0.26612845,0.26612845,0.21257307,0.026326727,80.584,80.584,80.94452,4.092291,3.0862842,3.0862842,1.4202898,11.216516
2019-04-05,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,14.845894,14.845894,14.861192,4.9875383,184.5274,184.5274,187.92279,156.61362,1.8673892,1.8673892,1.7935746,0.039448157,13.282724,13.282724,13.868216,1.8077357,0.20867816,0.20867816,0.17737365,0.009670708,88.26846,88.26846,89.72197,8.391464,1.3199859,1.3199859,0.76755667,2.059614
2019-04-06,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,19.172852,19.172852,18.99425,5.9271946,161.75017,161.75017,162.73746,119.73229,0.88365024,0.88365024,0.9235779,0.07033796,15.80686,15.80686,14.3876705,11.26691,0.09801759,0.09801759,0.10072654,0.00020386903,95.7903,95.7903,95.40341,2.5865035,1.8697764,1.8697764,1.8640201,0.109396644
2019-04-07,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,32.49198,32.49198,33.727745,24.625423,175.56493,175.56493,180.27881,94.837234,2.0358095,2.0358095,1.518682,1.2156425,28.982998,28.982998,29.997011,16.922096,0.26663736,0.26663736,0.1711804,0.04269274,90.15766,90.15766,91.44472,73.24231,5.415558,5.415558,4.0850806,12.125384
2019-04-08,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,13.390338,13.390338,12.959106,3.1930833,182.37508,182.37508,184.00766,462.50177,4.5555434,4.5555434,3.6147776,7.74477,12.75655,12.75655,12.207799,3.3713994,0.9117788,0.9117788,0.5211406,0.8345777,70.03901,70.03901,71.042786,16.47832,4.001272,4.001272,2.5877233,13.057522
2019-04-09,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,8.8006315,8.8006315,8.9116,0.3987803,162.8187,162.8187,162.44936,59.609406,2.016961,2.016961,1.9974871,0.16128299,8.043652,8.043652,8.048521,0.4909291,0.2786272,0.2786272,0.26918852,0.0023322033,72.33554,72.33554,70.26073,32.310574,7.9998074,7.9998074,8.0333805,4.3083906
2019-04-10,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,12.300644,12.300644,12.249184,1.2212706,164.07098,164.07098,167.03268,162.19138,1.4262509,1.4262509,1.4312158,0.021743849,9.546688,9.546688,9.106456,1.3300953,0.20915285,0.20915285,0.19185002,0.003695638,78.54924,78.54924,79.27232,12.428926,3.3051383,3.3051383,1.8966376,10.4309025
