Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,23.683521,23.683521,23.683521,0.0,249.0805,249.0805,249.0805,0.0,11.138624,11.138624,11.138624,0.0,18.761423,18.761423,18.761423,0.0,1.5017605,1.5017605,1.5017605,0.0,90.35732,90.35732,90.35732,0.0,10.819179,10.819179,10.819179,0.0
2019-04-02,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,24.92159,24.92159,24.92159,0.0,238.8041,238.8041,238.8041,0.0,8.394835,8.394835,8.394835,0.0,20.808285,20.808285,20.808285,0.0,1.0320491,1.0320491,1.0320491,0.0,96.61872,96.61872,96.61872,0.0,7.7294827,7.7294827,7.7294827,0.0
2019-04-03,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,11.351323,11.351323,11.351323,0.0,219.28247,219.28247,219.28247,0.0,6.993737,6.993737,6.993737,0.0,9.5779505,9.5779505,9.5779505,0.0,0.9448076,0.9448076,0.9448076,0.0,89.09366,89.09366,89.09366,0.0,5.5347443,5.5347443,5.5347443,0.0
2019-04-04,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,16.54552,16.54552,16.54552,0.0,214.18983,214.18983,214.18983,0.0,6.063395,6.063395,6.063395,0.0,9.75952,9.75952,9.75952,0.0,0.9499459,0.9499459,0.9499459,0.0,89.04934,89.04934,89.04934,0.0,5.894435,5.894435,5.894435,0.0
2019-04-05,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,15.481694,15.481694,15.481694,0.0,237.8225,237.8225,237.8225,0.0,7.4831567,7.4831567,7.4831567,0.0,11.363823,11.363823,11.363823,0.0,0.84779114,0.84779114,0.84779114,0.0,94.02339,94.02339,94.02339,0.0,8.851316,8.851316,8.851316,0.0
2019-04-06,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,23.472174,23.472174,23.472174,0.0,202.3579,202.3579,202.3579,0.0,7.8858113,7.8858113,7.8858113,0.0,17.95481,17.95481,17.95481,0.0,0.6303864,0.6303864,0.6303864,0.0,95.26347,95.26347,95.26347,0.0,8.519322,8.519322,8.519322,0.0
2019-04-07,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,26.559248,26.559248,26.559248,0.0,222.72841,222.72841,222.72841,0.0,6.6443563,6.6443563,6.6443563,0.0,21.047623,21.047623,21.047623,0.0,0.8521539,0.8521539,0.8521539,0.0,99.04605,99.04605,99.04605,0.0,7.0262446,7.0262446,7.0262446,0.0
2019-04-08,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,17.356228,17.356228,17.356228,0.0,362.15784,362.15784,362.15784,0.0,14.304882,14.304882,14.304882,0.0,16.604225,16.604225,16.604225,0.0,1.6777052,1.6777052,1.6777052,0.0,68.934,68.934,68.934,0.0,10.272985,10.272985,10.272985,0.0
2019-04-09,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,9.445183,9.445183,9.445183,0.0,254.2501,254.2501,254.2501,0.0,8.287215,8.287215,8.287215,0.0,8.484773,8.484773,8.484773,0.0,1.383014,1.383014,1.383014,0.0,59.27332,59.27332,59.27332,0.0,5.99083,5.99083,5.99083,0.0
2019-04-10,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ,17.973728,17.973728,17.973728,0.0,256.0805,256.0805,256.0805,0.0,8.623301,8.623301,8.623301,0.0,17.74576,17.74576,17.74576,0.0,1.3272351,1.3272351,1.3272351,0.0,87.814674,87.814674,87.814674,0.0,8.2409525,8.2409525,8.2409525,0.0
