Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,18.24031,18.24031,18.383783,0.5965301,193.33643,193.33643,195.23546,104.89575,1.0365041,1.0365041,1.0608687,0.057165653,12.789671,12.789671,12.503666,2.6199763,0.1317557,0.1317557,0.13511682,0.00068073237,91.48793,91.48793,92.26799,8.519251,1.5768851,1.5768851,1.4994158,0.08964753
2019-04-02,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,21.438389,21.438389,21.76678,1.0299146,174.90382,174.90382,174.7207,25.81757,1.1564742,1.1564742,1.204171,0.041692223,15.003027,15.003027,15.127624,0.16958241,0.15305091,0.15305091,0.15006663,0.0014068559,91.548965,91.548965,93.77831,13.954903,3.606848,3.606848,3.7297099,0.25676534
2019-04-03,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,10.844047,10.844047,9.795576,4.156913,164.86852,164.86852,163.56638,10.6355505,1.3293544,1.3293544,1.3831425,0.042809486,9.3578205,9.3578205,8.106942,5.4513235,0.17713949,0.17713949,0.1800149,0.0010629608,88.18929,88.18929,87.99719,1.6223867,2.3200622,2.3200622,1.9123405,0.70182544
2019-04-04,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,16.535906,16.535906,16.572805,0.57831043,164.96278,164.96278,164.4801,21.095175,0.8973607,0.8973607,0.89178085,0.042398244,10.68644,10.68644,10.757008,1.0967886,0.15533936,0.15533936,0.15872459,0.0006659898,87.97063,87.97063,88.56392,2.091357,2.0140548,2.0140548,1.9882052,0.039416216
2019-04-05,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,14.697978,14.697978,14.728633,0.15331796,167.2307,167.2307,167.48262,4.3557467,1.0847894,1.0847894,1.1514393,0.030438123,10.538111,10.538111,10.50202,0.1465479,0.13160162,0.13160162,0.14071408,0.00058380683,94.95426,94.95426,94.62237,7.7290673,2.6563702,2.6563702,2.6601014,0.002788793
2019-04-06,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,27.9248,27.9248,27.887032,1.0050293,174.18895,174.18895,173.29903,117.66578,1.147497,1.147497,1.1119196,0.07679437,24.99841,24.99841,24.834084,0.6424956,0.099347316,0.099347316,0.10959766,0.000647043,96.41277,96.41277,96.94363,12.328784,6.171965,6.171965,6.0218925,0.22374359
2019-04-07,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,16.586517,16.586517,16.109694,2.626239,178.9906,178.9906,179.15382,14.830038,1.0812055,1.0812055,0.94087225,0.07097769,15.516169,15.516169,15.690571,4.23304,0.15678938,0.15678938,0.15853274,0.0008534659,78.166275,78.166275,78.12743,10.93957,0.7762557,0.7762557,0.8009522,0.0073506166
2019-04-08,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,9.819916,9.819916,9.182316,2.4541204,159.98015,159.98015,162.73186,34.99683,1.2465636,1.2465636,1.2919388,0.02730664,8.057107,8.057107,8.433538,0.4714494,0.13460532,0.13460532,0.14188127,0.0005426305,79.995544,79.995544,80.166115,0.6393444,0.32991144,0.32991144,0.3454957,0.0015857273
2019-04-09,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,5.2173495,5.2173495,4.8205013,1.384282,160.3911,160.3911,158.73747,36.348457,1.235,1.235,1.1618284,0.044192594,4.514433,4.514433,4.4672256,0.74538994,0.20954049,0.20954049,0.20644225,0.00072167173,76.339485,76.339485,75.891396,2.304855,0.37353566,0.37353566,0.3430097,0.012992302
2019-04-10,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,6.8675017,6.8675017,7.1162796,0.5883142,170.8417,170.8417,169.91487,14.5763,1.0741813,1.0741813,1.0804564,0.029402295,6.569142,6.569142,6.8030753,0.527943,0.14999677,0.14999677,0.14195749,0.00034297165,80.76852,80.76852,81.539154,2.838651,0.58888566,0.58888566,0.6362697,0.010741621
2019-04-11,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,8.826629,8.826629,8.848757,0.21702102,148.82812,148.82812,149.77684,7.825242,0.7850442,0.7850442,0.83485216,0.014136515,6.6967587,6.6967587,6.8410254,0.19652614,0.119752064,0.119752064,0.12840243,0.00038226056,95.989334,95.989334,95.92499,8.249497,2.7291996,2.7291996,2.7139323,0.025667572
2019-04-12,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,4.9215426,4.9215426,5.094622,0.39934257,156.98872,156.98872,157.5117,8.001985,0.8554298,0.8554298,0.8198661,0.04352223,4.345214,4.345214,4.3794637,0.37612608,0.1360442,0.1360442,0.111934476,0.0017296547,79.27021,79.27021,79.882545,2.634373,0.2453978,0.2453978,0.25465924,0.0028061566
2019-04-13,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,5.217708,5.217708,5.2877874,0.3356533,152.37283,152.37283,152.75099,9.711396,0.7026285,0.7026285,0.6867012,0.024385635,4.456828,4.456828,4.472277,0.24097727,0.10079455,0.10079455,0.102073014,0.0003084783,86.848885,86.848885,86.81417,0.19187139,0.3019522,0.3019522,0.3124683,0.0029845904
2019-04-14,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,5.954339,5.954339,6.2152705,0.44809216,160.406,160.406,160.1251,9.227938,0.96256447,0.96256447,0.9500914,0.017920451,5.8352785,5.8352785,6.044067,0.4362598,0.11202661,0.11202661,0.10995284,0.00034671466,76.388306,76.388306,77.1968,14.742908,0.7510579,0.7510579,0.7487984,0.03800214
2019-04-15,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,17.503164,17.503164,17.483118,0.17471203,189.68394,189.68394,192.80313,37.453003,1.2483212,1.2483212,1.3064963,0.019787578,17.088327,17.088327,17.170303,0.07474335,0.16753145,0.16753145,0.16305603,0.00033382204,75.09699,75.09699,76.15434,6.2780414,5.7906647,5.7906647,5.5228357,0.55214065
2019-04-16,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,15.144928,15.144928,15.734906,2.251096,177.60477,177.60477,176.61081,15.742533,0.8312405,0.8312405,0.8185126,0.011121633,14.361907,14.361907,14.988875,1.7682911,0.13053823,0.13053823,0.12859946,0.0004285311,87.41924,87.41924,86.88024,1.9615344,3.3448546,3.3448546,3.216229,0.13172227
2019-04-17,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,11.772929,11.772929,11.899814,0.50282156,167.52194,167.52194,168.6701,11.601651,0.77463776,0.77463776,0.7993535,0.008385829,9.571642,9.571642,9.778438,0.4778123,0.11477915,0.11477915,0.116055585,0.00034012503,105.4538,105.4538,105.10448,2.7894456,2.3197525,2.3197525,2.0600908,0.20194949
2019-04-18,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,11.1155,11.1155,10.878386,1.6376671,172.96083,172.96083,173.77599,15.12589,0.8413211,0.8413211,0.86689055,0.018401116,10.254282,10.254282,10.002209,1.029253,0.124856055,0.124856055,0.12949641,0.0003358083,93.088745,93.088745,93.35562,5.592228,2.221122,2.221122,2.1923816,0.19257036
2019-04-19,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,10.522268,10.522268,10.906189,0.8342906,169.5678,169.5678,170.80925,20.171183,0.8818587,0.8818587,0.85886854,0.027662678,9.294915,9.294915,9.507883,0.7339348,0.14208762,0.14208762,0.13732953,0.0004495183,89.38832,89.38832,89.1097,0.92326677,1.6459397,1.6459397,1.6183463,0.11790163
