Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,15.080358,15.080358,15.229143,1.442698,155.2549,155.2549,153.89204,16.555878,1.0029595,1.0029595,0.8584209,0.22535634,11.042086,11.042086,10.885717,0.3719477,0.13556734,0.13556734,0.09923796,0.006973327,91.38407,91.38407,91.67035,2.125229,3.8225806,3.8225806,3.9536302,0.3403459
2019-04-02,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,18.215912,18.215912,17.980896,0.49847254,170.44293,170.44293,170.87097,2.6253178,0.7401865,0.7401865,0.6336833,0.045709416,13.779684,13.779684,13.041356,3.5090253,0.14022303,0.14022303,0.12886935,0.0023828319,96.5918,96.5918,96.506096,0.25333485,1.5440197,1.5440197,1.554504,0.018595599
2019-04-03,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,7.7725735,7.7725735,7.7655554,0.10522196,156.55705,156.55705,156.3609,1.6593348,0.5951008,0.5951008,0.5630056,0.016643815,5.1369777,5.1369777,4.9844623,0.13603829,0.0941464,0.0941464,0.083320685,0.0018433923,94.577896,94.577896,94.66697,2.969792,1.1550786,1.1550786,1.1681038,0.008491295
2019-04-04,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,14.736688,14.736688,14.755635,0.027920114,160.86726,160.86726,161.14476,2.1527524,0.577661,0.577661,0.5154348,0.037419572,8.918107,8.918107,8.906328,0.22047451,0.114101514,0.114101514,0.09263701,0.0039509777,92.69342,92.69342,92.70308,4.425405,1.6375468,1.6375468,1.6281519,0.0022532716
2019-04-05,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,13.632148,13.632148,12.949206,2.7444837,164.06374,164.06374,161.4981,32.176147,0.6675905,0.6675905,0.5873323,0.056727093,10.099221,10.099221,10.178183,0.87236756,0.09008909,0.09008909,0.06707698,0.0017284392,99.611946,99.611946,100.4924,3.746424,1.5208173,1.5208173,1.4118626,0.1350557
2019-04-06,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,26.52651,26.52651,26.57952,1.9822943,178.0409,178.0409,177.17526,10.939724,1.0853374,1.0853374,1.0221319,0.023382153,22.091984,22.091984,22.564938,2.5965655,0.079724476,0.079724476,0.08671109,0.0005285285,106.749725,106.749725,106.57311,2.0933108,4.3632984,4.3632984,4.3285837,0.01450025
2019-04-07,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,20.645134,20.645134,19.990822,3.0372252,163.59393,163.59393,163.91809,4.62855,0.5767965,0.5767965,0.45125148,0.04340274,18.089943,18.089943,17.432623,2.5602465,0.09673052,0.09673052,0.07733902,0.0018210829,95.625175,95.625175,95.94766,2.7164145,1.43496,1.43496,1.4155148,0.048009913
2019-04-08,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,11.57729,11.57729,11.965824,0.7596778,185.8392,185.8392,185.1838,65.93763,1.5889622,1.5889622,1.4887165,0.15445065,8.886281,8.886281,8.726921,0.2863972,0.22984964,0.22984964,0.17826106,0.012564093,83.62911,83.62911,83.06675,2.4570842,1.0078384,1.0078384,0.9592625,0.05306713
2019-04-09,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,5.5570817,5.5570817,5.29476,0.63470095,165.013,165.013,164.8768,9.557727,1.9783933,1.9783933,1.9781141,0.53882295,4.7332377,4.7332377,4.685195,0.10242557,0.2614444,0.2614444,0.19751428,0.020153742,81.40905,81.40905,80.1069,10.610432,0.9552149,0.9552149,0.9694526,0.054155033
2019-04-10,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,7.8036933,7.8036933,7.6768837,0.5867238,163.51764,163.51764,163.48201,4.232514,1.2356768,1.2356768,1.2194102,0.069756664,7.559225,7.559225,7.5464735,0.49802712,0.19437501,0.19437501,0.18462203,0.0036623096,87.49062,87.49062,87.70109,4.348922,1.3782681,1.3782681,1.3933458,0.05456744
