Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,15.747472,15.747472,15.401493,2.0419207,166.4371,166.4371,164.74585,128.98332,1.2206749,1.2206749,1.1117897,0.23780532,11.786165,11.786165,11.618252,2.0801492,0.1550482,0.1550482,0.13756198,0.0034517774,107.84086,107.84086,106.64142,20.717075,3.240287,3.240287,3.1564474,0.13402936
2019-04-02,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,26.174435,26.174435,26.585186,5.085601,209.83156,209.83156,206.54282,402.0272,1.4786488,1.4786488,1.5018067,0.27167618,19.19065,19.19065,19.510437,1.8353802,0.19982061,0.19982061,0.21765433,0.0029104608,99.593445,99.593445,99.76996,5.7643557,4.481453,4.481453,4.3628745,0.3951317
2019-04-03,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,14.465569,14.465569,14.1071205,5.109541,176.90656,176.90656,168.5437,199.0761,1.3153776,1.3153776,1.2458088,0.06357755,10.786946,10.786946,10.506012,3.5452075,0.15035263,0.15035263,0.15142089,0.0008203046,88.72803,88.72803,88.75374,0.93029106,1.7700703,1.7700703,1.7540529,0.08433506
2019-04-04,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,15.514956,15.514956,15.552267,1.4960566,163.35443,163.35443,163.49823,46.262936,0.96641624,0.96641624,0.9195631,0.042542093,10.123314,10.123314,10.122494,0.8417556,0.15440382,0.15440382,0.1476721,0.00055691967,87.04642,87.04642,86.75955,3.5603452,1.6047341,1.6047341,1.5344739,0.11656378
2019-04-05,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,15.341867,15.341867,15.567187,1.3870285,172.48938,172.48938,173.99211,33.138138,1.1682956,1.1682956,1.1821845,0.053631112,11.66724,11.66724,11.228464,1.0705048,0.12946008,0.12946008,0.13151433,0.00067548064,97.19263,97.19263,97.94998,4.550909,2.234497,2.234497,2.2716193,0.398036
2019-04-06,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,16.434711,16.434711,16.325052,2.447514,157.3296,157.3296,154.42923,95.525795,0.63372415,0.63372415,0.6032812,0.035748687,13.27715,13.27715,13.245586,3.7746592,0.06875556,0.06875556,0.06523226,0.0003891423,98.66136,98.66136,98.78183,15.262755,2.3337758,2.3337758,2.274355,0.28718027
2019-04-07,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,28.84267,28.84267,29.330791,10.250853,181.69269,181.69269,180.83463,189.96323,1.1453625,1.1453625,1.0397584,0.23666507,26.041851,26.041851,26.81443,3.3793602,0.12609047,0.12609047,0.11849189,0.002744547,104.43051,104.43051,104.61412,19.293472,3.6632545,3.6632545,3.5008726,1.7232785
2019-04-08,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,9.572523,9.572523,9.436974,4.562883,182.06656,182.06656,181.30919,151.96106,1.4815955,1.4815955,1.4275353,0.20956236,7.441391,7.441391,7.340255,2.0460386,0.18159318,0.18159318,0.1960264,0.0033220933,75.17817,75.17817,74.924995,10.482885,0.7577668,0.7577668,0.7885972,0.03564461
2019-04-09,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,5.2406106,5.2406106,5.5633097,1.5259526,167.19946,167.19946,166.67383,37.860207,1.5610933,1.5610933,1.6834378,0.083038,4.9799433,4.9799433,5.2559032,1.2963123,0.2518064,0.2518064,0.27386123,0.0028915696,70.255005,70.255005,70.06351,7.6166434,1.5354568,1.5354568,1.3787537,0.1903652
2019-04-10,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,14.028984,14.028984,14.16934,0.4226231,166.0014,166.0014,164.44318,27.827799,0.8870001,0.8870001,0.79719853,0.08664262,11.67873,11.67873,11.659969,0.6904705,0.10347394,0.10347394,0.09665328,0.0011430124,84.397095,84.397095,85.33895,6.3121862,1.0872862,1.0872862,1.154362,0.04043228
2019-04-11,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,7.9138956,7.9138956,8.384787,1.3549502,151.81024,151.81024,156.0075,44.788338,1.0994534,1.0994534,0.963869,0.25105557,6.225349,6.225349,6.870023,1.3029995,0.13199022,0.13199022,0.123366445,0.002318161,98.22562,98.22562,98.303055,15.982138,2.8983803,2.8983803,3.0146909,0.21829462
2019-04-12,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,7.2171555,7.2171555,7.108712,0.8514676,153.12115,153.12115,154.87906,42.92456,1.3248346,1.3248346,1.2940805,0.059147637,6.668294,6.668294,6.8146076,0.62281823,0.17491592,0.17491592,0.17716452,0.0004884332,84.39433,84.39433,84.64167,26.539833,1.0554836,1.0554836,0.8752899,0.21076703
2019-04-13,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,10.516369,10.516369,10.44917,0.19917339,172.83713,172.83713,173.81537,48.07926,0.8260479,0.8260479,0.80310225,0.038381428,8.795549,8.795549,8.64501,0.22881636,0.0981264,0.0981264,0.10451018,0.00074337824,79.050995,79.050995,79.32132,6.201144,1.2527971,1.2527971,1.1837074,0.07798005
2019-04-14,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,8.441933,8.441933,8.082222,2.039348,171.42708,171.42708,169.05675,137.8121,1.2795743,1.2795743,1.004796,0.47809565,8.094694,8.094694,7.897091,1.7190197,0.13691926,0.13691926,0.12415659,0.0034602985,75.95801,75.95801,74.125046,34.085308,1.522321,1.522321,1.6235262,0.0821196
2019-04-15,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,7.594945,7.594945,8.061237,3.1336098,179.0195,179.0195,178.1547,104.04251,0.83688486,0.83688486,0.8991847,0.05237982,7.255094,7.255094,7.5588446,2.4782786,0.14533466,0.14533466,0.13898641,0.0019953393,73.49242,73.49242,71.39147,40.329865,2.0810065,2.0810065,1.99557,0.17583147
2019-04-16,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,11.242977,11.242977,11.101528,0.76015687,182.73553,182.73553,184.15366,22.312153,0.99045706,0.99045706,0.9826267,0.08978907,10.584545,10.584545,10.210596,0.5445958,0.15173729,0.15173729,0.14954004,0.0016280822,85.728424,85.728424,85.53911,4.0196676,1.4005566,1.4005566,1.4066687,0.055836063
2019-04-17,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,6.5668344,6.5668344,6.2177925,0.4711347,154.52107,154.52107,155.72299,11.532738,0.694397,0.694397,0.70271254,0.008248954,6.113877,6.113877,6.022359,0.20085773,0.10690224,0.10690224,0.10458743,0.00020656546,101.52661,101.52661,101.81046,4.2770357,1.4261867,1.4261867,1.4465371,0.025573757
2019-04-18,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,11.469653,11.469653,11.057641,3.479951,169.94153,169.94153,169.71126,31.995106,0.9885217,0.9885217,0.9066383,0.10570711,10.532924,10.532924,10.343397,4.332841,0.1357905,0.1357905,0.13505286,0.0013852026,90.07234,90.07234,88.516556,34.938446,2.2589216,2.2589216,2.3289692,0.46179527
2019-04-19,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,7.6007795,7.6007795,7.441128,0.49083874,161.09631,161.09631,160.46826,20.296276,0.58109516,0.58109516,0.6238743,0.023503553,7.034709,7.034709,7.0404377,0.2250835,0.09804451,0.09804451,0.10484885,0.00071331486,85.59651,85.59651,85.3603,2.0626144,0.8284404,0.8284404,0.8221619,0.0036509656
2019-04-20,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,9.896252,9.896252,9.916665,0.1712836,160.54553,160.54553,161.0653,15.428879,0.9162601,0.9162601,0.9508667,0.051152095,8.11685,8.11685,8.199121,0.3405713,0.10814749,0.10814749,0.10482459,0.00055804185,87.67579,87.67579,87.33261,3.6568537,1.4072219,1.4072219,1.441066,0.084672496
2019-04-21,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,8.771942,8.771942,8.781372,0.173885,155.81836,155.81836,155.41888,17.00093,0.6456763,0.6456763,0.59641397,0.03957935,7.2762213,7.2762213,7.19747,0.21572798,0.09012455,0.09012455,0.08648524,0.0005864431,94.61338,94.61338,93.93669,7.0915585,1.5383166,1.5383166,1.564704,0.07709506
2019-04-22,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,10.634832,10.634832,10.532351,1.9640689,154.41327,154.41327,154.46733,2.4246838,1.1860629,1.1860629,1.1458697,0.05010526,8.918988,8.918988,8.438077,2.724967,0.13827962,0.13827962,0.1368452,0.00046249817,98.27689,98.27689,98.24987,0.7624961,1.5764967,1.5764967,1.5457218,0.104711086
2019-04-23,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,15.214601,15.214601,15.0664425,0.4992413,163.40572,163.40572,164.10074,9.810249,1.2909273,1.2909273,1.2314247,0.1404044,13.955576,13.955576,13.826088,0.39883962,0.14008951,0.14008951,0.12892923,0.0011240834,99.666534,99.666534,100.139435,4.1000853,2.3235254,2.3235254,2.2793002,0.0626977
2019-04-24,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,36.473473,36.473473,36.356483,8.321369,154.01273,154.01273,154.85193,18.027958,1.0225674,1.0225674,1.0336443,0.13790134,22.750751,22.750751,22.26587,3.291685,0.112992115,0.112992115,0.117344186,0.001024542,97.90053,97.90053,97.92772,6.83672,2.5231733,2.5231733,2.3690348,0.3284832
2019-04-25,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,93.90582,93.90582,89.69296,81.85573,159.98468,159.98468,157.75046,46.51319,1.6604638,1.6604638,1.6524665,0.3061878,56.68068,56.68068,59.444134,55.588573,0.15041432,0.15041432,0.15448107,0.00058308145,93.03329,93.03329,94.38527,11.113106,1.8804283,1.8804283,1.8364798,0.100193545
2019-04-26,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,75.58482,75.58482,74.78764,12.687746,175.9766,175.9766,176.28891,83.01351,1.5469265,1.5469265,1.3923271,0.5939634,49.28286,49.28286,48.884937,3.9475229,0.16605003,0.16605003,0.1512019,0.0046358174,103.996155,103.996155,103.8015,17.993523,3.907427,3.907427,3.7425778,0.22392082
2019-04-27,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,67.155,67.155,71.02044,124.77139,156.12712,156.12712,156.72702,26.235062,1.1789742,1.1789742,1.1645156,0.19587764,36.104134,36.104134,35.289967,9.459708,0.13215187,0.13215187,0.12247272,0.00079530186,82.81856,82.81856,82.66806,11.397803,1.4607698,1.4607698,1.4563072,0.030730598
2019-04-28,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,7.4749117,7.4749117,7.412272,0.12844686,138.50922,138.50922,138.45746,3.9234443,0.5632727,0.5632727,0.58531976,0.0093198735,5.195972,5.195972,5.2113667,0.07948226,0.092838064,0.092838064,0.09346018,0.00033068284,99.17051,99.17051,99.27193,12.51315,1.205514,1.205514,1.0679315,0.26085454
2019-04-29,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,13.531852,13.531852,13.976597,2.4287415,147.64706,147.64706,146.98975,10.721899,1.2439965,1.2439965,1.190223,0.15694807,10.754086,10.754086,10.69363,2.3108282,0.13790882,0.13790882,0.12781245,0.0006758612,106.32885,106.32885,106.71111,24.951626,4.445133,4.445133,4.3837643,0.5322927
2019-04-30,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,6.4267635,6.4267635,6.84911,2.666976,134.39972,134.39972,135.66956,29.66606,0.8606386,0.8606386,0.79795146,0.12089464,4.6160474,4.6160474,4.9369984,1.6271045,0.10585669,0.10585669,0.1081996,0.0011157885,106.15318,106.15318,106.55167,7.1250567,2.0504842,2.0504842,2.053639,0.2587406
2019-05-01,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,5.522935,5.522935,5.3192787,2.8736796,155.68573,155.68573,153.28522,90.32709,1.3191967,1.3191967,1.3223937,0.3044418,4.5428314,4.5428314,4.3562818,1.621457,0.12709571,0.12709571,0.11799833,0.0014280803,91.260994,91.260994,89.76437,28.108719,3.055571,3.055571,2.7076652,2.2782729
2019-05-02,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,10.807954,10.807954,10.785108,0.5157887,143.34908,143.34908,141.73044,24.793653,0.699659,0.699659,0.7069509,0.01533591,9.415663,9.415663,9.437594,0.448815,0.09900294,0.09900294,0.101067066,0.00029389665,98.22299,98.22299,99.130585,4.374709,2.39212,2.39212,2.4014673,0.21930538
2019-05-03,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,15.52193,15.52193,15.87092,0.42147687,163.5126,163.5126,162.50911,11.800478,1.65799,1.65799,1.6179378,0.20120507,13.411339,13.411339,13.562084,0.37357873,0.15466604,0.15466604,0.15564802,0.00017301171,105.1759,105.1759,104.052795,14.064844,5.802574,5.802574,6.021722,2.5325413
2019-05-04,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,10.141284,10.141284,10.205175,0.86591125,156.21597,156.21597,155.66438,13.669921,0.92392206,0.92392206,0.90101546,0.04441805,8.817743,8.817743,9.018311,0.679173,0.13052994,0.13052994,0.12555914,0.0010171916,98.901306,98.901306,98.71318,42.01615,1.3495271,1.3495271,1.3864644,0.04965116
2019-05-05,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,29.07048,29.07048,27.962671,34.27418,134.31119,134.31119,134.36255,14.997904,0.71153593,0.71153593,0.68964386,0.06337743,13.154814,13.154814,12.526468,4.474365,0.10479717,0.10479717,0.1059961,0.0009736738,81.43216,81.43216,81.64137,6.968194,0.63091886,0.63091886,0.6011618,0.043962315
2019-05-06,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,5.788574,5.788574,5.648672,0.28318948,140.61728,140.61728,140.75262,14.701089,0.794171,0.794171,0.737784,0.080789536,4.534796,4.534796,4.5879745,0.16006882,0.1213357,0.1213357,0.11876187,0.0014885507,98.344574,98.344574,99.185524,14.3436365,2.6574368,2.6574368,2.52392,0.37486938
2019-05-07,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,4.028011,4.028011,3.9635897,0.024802756,151.01079,151.01079,151.31444,6.3077726,0.7100041,0.7100041,0.698679,0.0036514918,3.8696203,3.8696203,3.8152065,0.019749273,0.16233931,0.16233931,0.16215764,0.00021172593,77.829834,77.829834,77.56055,12.314507,1.8194275,1.8194275,1.7462296,0.19566272
2019-05-08,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,10.68692,10.68692,10.678446,0.5993848,149.90265,149.90265,149.73828,40.269424,0.76886594,0.76886594,0.7595863,0.020910239,8.708019,8.708019,8.725708,0.1801207,0.12340663,0.12340663,0.12449065,0.00038573061,96.21311,96.21311,97.180695,8.352789,2.8778384,2.8778384,2.8982682,0.06614351
