Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΑΛΑΜΑ,15.849621,15.849621,15.663881,0.2889244,176.15483,176.15483,176.11385,0.61592853,0.9555051,0.9555051,0.96354216,0.012769018,11.016409,11.016409,11.3333025,0.41747338,0.13794369,0.13794369,0.13165025,0.00046293743,99.85418,99.85418,100.1358,0.71210253,1.5816137,1.5816137,1.706212,0.11989731
2019-04-02,ΔΗΜΟΣ ΠΑΛΑΜΑ,21.707819,21.707819,21.996927,0.28775296,168.27835,168.27835,168.312,0.22095391,0.8385407,0.8385407,0.8313421,0.0029010826,15.188012,15.188012,15.189426,0.008783414,0.122753754,0.122753754,0.11497825,0.0002779488,95.73118,95.73118,95.676285,0.42242792,1.8369645,1.8369645,1.879414,0.004188942
2019-04-03,ΔΗΜΟΣ ΠΑΛΑΜΑ,12.20914,12.20914,12.08358,0.7476499,163.39929,163.39929,161.32811,15.939835,1.0448871,1.0448871,1.0061924,0.015470011,6.8564725,6.8564725,6.8015614,0.2312448,0.12857614,0.12857614,0.12460499,0.00028240183,89.18932,89.18932,89.11205,0.11588237,1.2400725,1.2400725,1.224862,0.0018886444
2019-04-04,ΔΗΜΟΣ ΠΑΛΑΜΑ,14.294926,14.294926,14.263712,0.35014045,168.71579,168.71579,165.04149,54.57673,1.1782212,1.1782212,1.1682104,0.05108395,8.42597,8.42597,8.506065,0.12167028,0.13817924,0.13817924,0.12683187,0.00050460757,85.07135,85.07135,85.33066,2.055249,1.186701,1.186701,1.1790462,0.0030705582
2019-04-05,ΔΗΜΟΣ ΠΑΛΑΜΑ,19.563507,19.563507,19.548954,0.77555794,207.12267,207.12267,207.5573,79.39895,1.8461906,1.8461906,1.8673395,0.11727679,14.336819,14.336819,14.173536,1.0709232,0.20527518,0.20527518,0.19608845,0.0027380048,89.015,89.015,87.53828,21.640953,1.4926672,1.4926672,1.5133992,0.06864734
2019-04-06,ΔΗΜΟΣ ΠΑΛΑΜΑ,15.812144,15.812144,16.042114,5.5569615,173.76227,173.76227,172.74251,25.091839,1.3655688,1.3655688,1.2323744,0.10624974,13.905529,13.905529,13.530018,5.465166,0.11516122,0.11516122,0.10226841,0.00089818955,95.600204,95.600204,99.7429,39.577072,2.1870356,2.1870356,2.435918,0.58061373
2019-04-07,ΔΗΜΟΣ ΠΑΛΑΜΑ,21.524488,21.524488,21.609467,1.9012476,159.71571,159.71571,160.01431,3.443078,0.87880635,0.87880635,0.8594938,0.015600335,18.969429,18.969429,19.641693,5.5844445,0.10304133,0.10304133,0.09586287,0.00032129165,93.38489,93.38489,94.413765,8.087727,1.3140082,1.3140082,1.3119745,0.0077234614
2019-04-08,ΔΗΜΟΣ ΠΑΛΑΜΑ,5.0134034,5.0134034,5.428376,0.6216727,148.77881,148.77881,148.75053,31.876717,1.0547588,1.0547588,1.0014122,0.026086085,3.8718405,3.8718405,4.1239405,0.33705807,0.13695858,0.13695858,0.13221967,0.00043055348,81.786285,81.786285,82.36647,1.9782401,0.28811777,0.28811777,0.28858835,0.0013202475
2019-04-09,ΔΗΜΟΣ ΠΑΛΑΜΑ,2.4610937,2.4610937,2.313735,0.081102714,162.84442,162.84442,161.6892,7.909924,1.2379923,1.2379923,1.1841252,0.017600806,2.2422743,2.2422743,2.159617,0.057716496,0.1756426,0.1756426,0.16963437,0.00045612932,79.701836,79.701836,80.47074,11.077493,0.33503306,0.33503306,0.32195988,0.010622058
2019-04-10,ΔΗΜΟΣ ΠΑΛΑΜΑ,5.905052,5.905052,5.978857,0.19606687,162.68773,162.68773,162.09207,5.3526144,0.86163527,0.86163527,0.8581489,0.0068527837,5.3194194,5.3194194,5.30901,0.14008346,0.11876399,0.11876399,0.11584682,0.00014589111,73.987785,73.987785,73.85016,0.6012426,0.30777872,0.30777872,0.32694912,0.0032281273
