Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΕΛΛΑΣ,17.3681,17.3681,17.052681,1.5069002,177.881,177.881,177.6224,92.15184,1.6397909,1.6397909,1.5717205,0.3363619,12.816427,12.816427,12.198509,1.9131423,0.19464897,0.19464897,0.15552449,0.010316651,111.93055,111.93055,111.37807,14.520458,2.861843,2.861843,2.8885553,0.03997854
2019-04-02,ΔΗΜΟΣ ΠΕΛΛΑΣ,26.485573,26.485573,26.432035,4.3440504,238.88443,238.88443,245.21399,345.54977,1.7043815,1.7043815,1.6952484,0.24999245,20.433256,20.433256,20.717335,1.5172431,0.22682792,0.22682792,0.21876189,0.0038278115,97.43818,97.43818,97.36087,2.7666829,4.1957245,4.1957245,4.300517,0.13455847
2019-04-03,ΔΗΜΟΣ ΠΕΛΛΑΣ,14.236213,14.236213,14.382186,3.7969458,180.90665,180.90665,175.17363,164.7211,1.6755713,1.6755713,1.6788278,0.13315028,10.404093,10.404093,9.941749,2.2846727,0.17518963,0.17518963,0.17658475,0.0012875877,87.80753,87.80753,87.517746,2.868507,1.4516367,1.4516367,1.4150885,0.080502935
2019-04-04,ΔΗΜΟΣ ΠΕΛΛΑΣ,17.259836,17.259836,17.425116,1.7556955,173.72063,173.72063,173.19562,78.59836,1.264225,1.264225,1.2587193,0.048382126,10.896592,10.896592,11.492703,1.3237303,0.20490003,0.20490003,0.19123903,0.0018985196,84.77092,84.77092,84.84518,3.6108992,1.56855,1.56855,1.4454144,0.08886358
2019-04-05,ΔΗΜΟΣ ΠΕΛΛΑΣ,17.097364,17.097364,17.266123,3.6620226,181.70575,181.70575,184.94958,41.75817,1.5565438,1.5565438,1.6032947,0.052598197,13.351427,13.351427,13.931497,2.2069309,0.15222338,0.15222338,0.15666044,0.0007006737,94.39982,94.39982,94.35881,8.311445,1.863194,1.863194,1.4955788,0.72706795
2019-04-06,ΔΗΜΟΣ ΠΕΛΛΑΣ,20.734844,20.734844,20.93639,4.799993,174.46805,174.46805,179.75644,123.06697,1.1063737,1.1063737,1.0224872,0.111872844,16.945774,16.945774,16.089207,3.025171,0.10602501,0.10602501,0.10493473,0.0010151417,98.4784,98.4784,97.604515,10.900305,2.6989374,2.6989374,2.5444393,0.36528307
2019-04-07,ΔΗΜΟΣ ΠΕΛΛΑΣ,31.557987,31.557987,30.044205,8.271246,180.12299,180.12299,181.32889,54.625362,1.3048581,1.3048581,1.2766606,0.166394,27.83128,27.83128,27.280247,6.075349,0.13725935,0.13725935,0.13286439,0.002463091,104.77612,104.77612,104.02747,12.101679,3.4568453,3.4568453,3.0596538,0.83179885
2019-04-08,ΔΗΜΟΣ ΠΕΛΛΑΣ,11.657978,11.657978,11.78256,3.6500714,206.14844,206.14844,204.35925,345.9961,2.3535876,2.3535876,2.291985,0.61107886,9.649236,9.649236,10.328101,1.8279146,0.25460297,0.25460297,0.24192569,0.008893242,75.84209,75.84209,73.97811,14.045582,0.8932181,0.8932181,0.88653135,0.037780855
2019-04-09,ΔΗΜΟΣ ΠΕΛΛΑΣ,5.496709,5.496709,5.100853,3.4925945,172.47763,172.47763,173.19185,64.19223,1.6141117,1.6141117,1.6816188,0.1932542,5.180328,5.180328,4.804271,3.44121,0.24050198,0.24050198,0.25694585,0.0016921028,68.27269,68.27269,68.3161,6.856509,2.0434597,2.0434597,1.3197396,1.419506
2019-04-10,ΔΗΜΟΣ ΠΕΛΛΑΣ,13.778376,13.778376,13.915534,0.58350986,175.48434,175.48434,178.28825,83.77055,1.4082801,1.4082801,1.4809467,0.18528357,11.2097645,11.2097645,11.159491,0.6648495,0.1557714,0.1557714,0.14404649,0.0042800154,84.48593,84.48593,85.02603,2.8404658,1.0623838,1.0623838,1.0803376,0.05262836
2019-04-11,ΔΗΜΟΣ ΠΕΛΛΑΣ,7.6022177,7.6022177,8.082962,1.2806942,152.74976,152.74976,154.57323,32.737206,1.7955064,1.7955064,1.9153106,0.544994,6.178643,6.178643,6.800581,1.46198,0.21103965,0.21103965,0.20612514,0.0061305533,97.541016,97.541016,96.617714,9.906791,3.4628592,3.4628592,3.5902872,0.7987823
2019-04-12,ΔΗΜΟΣ ΠΕΛΛΑΣ,7.5691257,7.5691257,7.226705,0.781505,158.65845,158.65845,159.47008,38.24621,1.7876943,1.7876943,1.7776742,0.06278574,6.8608346,6.8608346,6.888248,0.33085206,0.24852946,0.24852946,0.25111204,0.0019124524,84.338066,84.338066,84.5619,34.523636,1.1057146,1.1057146,0.9771959,0.3116372
2019-04-13,ΔΗΜΟΣ ΠΕΛΛΑΣ,11.916456,11.916456,11.639698,1.5863284,163.25969,163.25969,160.90045,49.962906,0.9512313,0.9512313,0.9317887,0.08098472,10.2808895,10.2808895,10.059899,1.1541111,0.11728246,0.11728246,0.1172431,0.0013036925,82.88175,82.88175,84.76549,13.240164,2.6089435,2.6089435,2.2955647,1.9369622
2019-04-14,ΔΗΜΟΣ ΠΕΛΛΑΣ,10.492759,10.492759,10.1428385,1.2295243,185.00534,185.00534,185.81885,101.058624,1.9534479,1.9534479,2.125972,0.55916935,9.928015,9.928015,9.732636,0.80927753,0.17193006,0.17193006,0.16921565,0.0037500854,80.39123,80.39123,80.32562,53.01686,1.4745401,1.4745401,1.2134365,0.20902315
2019-04-15,ΔΗΜΟΣ ΠΕΛΛΑΣ,8.70437,8.70437,9.153796,3.9387918,186.7296,186.7296,186.515,225.62106,1.4403269,1.4403269,1.2755023,0.4335274,8.372516,8.372516,8.828894,3.3294413,0.21363862,0.21363862,0.22458726,0.0068660686,76.191986,76.191986,76.71119,22.074648,1.8612335,1.8612335,1.7676456,0.19600107
2019-04-16,ΔΗΜΟΣ ΠΕΛΛΑΣ,13.450411,13.450411,13.182323,3.2473044,192.24379,192.24379,191.8321,89.45385,1.2625204,1.2625204,1.2847104,0.114820726,12.464196,12.464196,13.033945,2.7149825,0.18528546,0.18528546,0.18500057,0.0026077854,85.39671,85.39671,85.56707,3.1223454,1.8063613,1.8063613,1.7493563,0.37167722
2019-04-17,ΔΗΜΟΣ ΠΕΛΛΑΣ,8.741181,8.741181,8.381419,2.7718892,155.11761,155.11761,155.11977,15.899226,0.887275,0.887275,0.8474785,0.05185695,7.1688395,7.1688395,6.84953,1.0813043,0.13582096,0.13582096,0.1401643,0.0008038174,101.47644,101.47644,101.58169,2.199008,1.5710634,1.5710634,1.4975682,0.044697963
2019-04-18,ΔΗΜΟΣ ΠΕΛΛΑΣ,13.017158,13.017158,14.025151,5.0234985,176.75223,176.75223,176.98665,67.67778,1.31881,1.31881,1.2806752,0.16745727,12.068005,12.068005,12.909302,4.31724,0.16110465,0.16110465,0.17083934,0.0030819199,93.45848,93.45848,94.27041,45.26609,2.3243725,2.3243725,2.4121668,0.43610853
2019-04-19,ΔΗΜΟΣ ΠΕΛΛΑΣ,8.080555,8.080555,8.153262,0.61886936,161.22556,161.22556,161.9522,20.515665,0.70518136,0.70518136,0.7435972,0.035813563,7.300329,7.300329,7.451061,0.3568586,0.11848538,0.11848538,0.1261527,0.0009679017,87.33076,87.33076,86.222374,5.18263,0.7775737,0.7775737,0.77852744,0.00033831678
2019-04-20,ΔΗΜΟΣ ΠΕΛΛΑΣ,10.147666,10.147666,9.963078,0.111379266,164.19113,164.19113,165.49066,13.42153,0.9445413,0.9445413,0.95057535,0.045078598,7.806514,7.806514,7.6913104,0.26801875,0.14363813,0.14363813,0.14208724,0.00068765215,88.57677,88.57677,89.17526,2.5978427,1.3022761,1.3022761,1.3224764,0.06973515
