Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,16.266071,16.266071,15.68389,4.0688734,172.1055,172.1055,170.88641,101.69926,0.91168946,0.91168946,0.9411138,0.058842547,14.612731,14.612731,14.602936,4.7537055,0.13009287,0.13009287,0.13255976,0.0008199853,94.00594,94.00594,93.77389,11.060434,2.592184,2.592184,2.6084309,0.22469151
2019-04-02,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,19.772564,19.772564,19.89767,5.574194,179.66298,179.66298,178.40848,135.5555,0.7963266,0.7963266,0.7654393,0.034131616,14.497764,14.497764,14.316809,1.3992128,0.1136232,0.1136232,0.110755846,0.00058025843,93.76548,93.76548,93.85386,1.3603052,1.8452694,1.8452694,1.7903119,0.039763853
2019-04-03,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,8.837495,8.837495,8.564561,1.0815086,159.72632,159.72632,159.79607,0.073109925,0.75297254,0.75297254,0.78833294,0.019137522,7.3166637,7.3166637,7.018888,0.7490472,0.10112344,0.10112344,0.11119527,0.00049650995,89.67004,89.67004,89.37194,15.1612,1.8879112,1.8879112,1.872337,0.11740944
2019-04-04,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,13.648212,13.648212,13.5215645,0.17002428,161.239,161.239,161.34041,3.8762598,0.56185496,0.56185496,0.5608527,0.007662895,8.53634,8.53634,8.518031,0.14041296,0.10688673,0.10688673,0.11007018,0.0002649939,88.570496,88.570496,89.66936,10.344777,1.7315248,1.7315248,1.7129765,0.021269912
2019-04-05,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,15.950122,15.950122,15.587765,0.52759576,168.76735,168.76735,167.6374,25.76652,0.6454079,0.6454079,0.6218576,0.007829831,11.8726425,11.8726425,11.777075,0.6141478,0.07597664,0.07597664,0.080859736,0.00021784166,98.168,98.168,98.69271,7.434142,2.3609219,2.3609219,2.3059528,0.03515633
2019-04-06,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,30.864546,30.864546,31.400068,3.8133788,170.94972,170.94972,169.65408,14.2411995,0.81339455,0.81339455,0.83411163,0.0047163325,28.744896,28.744896,29.571102,7.9106803,0.07698845,0.07698845,0.07472778,5.6044268e-05,106.58745,106.58745,106.3943,3.729082,6.5445724,6.5445724,6.604452,0.32959092
2019-04-07,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,13.407782,13.407782,13.126125,1.6866386,161.7051,161.7051,160.73668,16.577093,0.70995045,0.70995045,0.71117514,0.0055705793,11.57143,11.57143,11.258617,1.5205302,0.097091265,0.097091265,0.09524825,0.0002622509,89.99167,89.99167,90.17671,4.564129,0.86446136,0.86446136,0.82724226,0.04248176
2019-04-08,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,7.431625,7.431625,7.1880207,1.4635278,165.08273,165.08273,161.69554,75.23774,1.0147552,1.0147552,1.0514272,0.06704599,6.408306,6.408306,6.1535773,1.6220566,0.116713114,0.116713114,0.11759492,0.0010607248,79.20286,79.20286,78.47015,14.9414215,0.46942815,0.46942815,0.47386235,0.039578255
2019-04-09,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,6.404741,6.404741,5.9327564,1.0826981,172.2555,172.2555,175.26884,55.58215,1.9264643,1.9264643,1.7043562,0.2763703,6.0734086,6.0734086,5.60781,1.1139086,0.25821126,0.25821126,0.24987063,0.0027582287,76.366486,76.366486,76.91965,2.7721672,1.5902528,1.5902528,1.4706374,0.7880403
2019-04-10,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,16.096344,16.096344,16.222324,1.9816902,185.24255,185.24255,183.95293,75.950745,1.276167,1.276167,1.2637978,0.034044363,13.891327,13.891327,14.012008,1.6014104,0.16373396,0.16373396,0.16362372,0.00105885,90.08197,90.08197,90.87289,8.325504,2.5591662,2.5591662,2.559247,0.51866806
2019-04-11,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,6.5690765,6.5690765,6.490124,0.07097331,143.81871,143.81871,143.83084,1.7452726,0.67211324,0.67211324,0.62926376,0.017085431,4.7300105,4.7300105,4.869212,0.24058174,0.09368404,0.09368404,0.08822123,0.00023317877,94.80112,94.80112,94.55921,1.4334549,0.3701635,0.3701635,0.3471996,0.011498359
2019-04-12,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,11.98932,11.98932,10.750571,16.928762,166.25087,166.25087,166.30124,35.9986,0.7058877,0.7058877,0.6742688,0.015575044,8.044032,8.044032,8.594617,1.4950023,0.09426155,0.09426155,0.084663846,0.00063231366,89.142944,89.142944,88.74879,0.9939214,0.45666233,0.45666233,0.49476585,0.013138325
2019-04-13,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ,8.83395,8.83395,9.169284,3.4716032,159.33698,159.33698,157.46768,87.341484,0.7971542,0.7971542,0.70000964,0.041584197,7.630826,7.630826,7.335707,4.174116,0.10308157,0.10308157,0.093066886,0.0009704868,94.502785,94.502785,96.3807,70.77091,1.6696584,1.6696584,1.7025741,0.37395844
