Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,27.119486,27.119486,27.641644,6.430568,326.9094,326.9094,334.45984,819.1481,6.6719184,6.6719184,5.8187695,6.383454,24.291212,24.291212,24.46858,8.202116,0.8430828,0.8430828,0.8335377,0.14425734,112.29539,112.29539,112.96059,12.465725,3.5626745,3.5626745,3.6209755,0.061476547
2019-04-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,29.299263,29.299263,29.699509,3.9171686,253.71379,253.71379,267.5311,655.3923,2.3982546,2.3982546,2.4704149,0.42470938,23.351233,23.351233,23.91202,3.1336424,0.36308062,0.36308062,0.34992808,0.013304765,97.76871,97.76871,98.28127,5.3581038,3.838562,3.838562,3.978613,0.3544375
2019-04-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,13.307245,13.307245,13.303525,0.3717573,162.90904,162.90904,163.30238,3.9917188,1.797955,1.797955,1.7733157,0.13350704,9.042606,9.042606,9.132298,0.36270326,0.22493522,0.22493522,0.2326892,0.0013550057,88.64102,88.64102,88.27157,8.783229,1.4374042,1.4374042,1.4627659,0.003518283
2019-04-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,17.008144,17.008144,17.01931,0.10697109,178.3495,178.3495,178.40622,81.4871,1.4500012,1.4500012,1.5093278,0.03359004,10.542957,10.542957,10.92373,1.4508917,0.25899398,0.25899398,0.27627677,0.0037476989,87.86443,87.86443,87.708305,8.255406,1.3397883,1.3397883,1.3674964,0.008071149
2019-04-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,21.15463,21.15463,21.919155,2.66828,181.98384,181.98384,182.34178,8.357669,1.7612144,1.7612144,1.7865366,0.054605257,15.292561,15.292561,14.962296,1.7679332,0.21379577,0.21379577,0.20519051,0.0010470883,97.0558,97.0558,96.64278,4.6343994,2.0632296,2.0632296,2.1348968,0.16241229
2019-04-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,23.06417,23.06417,23.976545,2.7885559,180.17924,180.17924,178.44586,36.5618,2.113701,2.113701,2.232083,0.3691516,19.428234,19.428234,19.634546,0.38989317,0.31757942,0.31757942,0.28194335,0.01860169,99.03302,99.03302,98.75938,2.5572052,3.5567763,3.5567763,3.8519516,0.43350288
2019-04-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,27.1954,27.1954,28.528362,3.6409597,182.94351,182.94351,184.61359,47.87861,1.3281883,1.3281883,1.3468764,0.061422747,21.635252,21.635252,21.760504,2.7428713,0.20327838,0.20327838,0.1931788,0.0035073198,102.95999,102.95999,102.94395,6.9746394,2.8270884,2.8270884,2.9362042,0.23575939
2019-04-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,9.33472,9.33472,10.515492,5.383124,194.63113,194.63113,190.99605,168.02832,4.187995,4.187995,4.2637625,1.5389781,8.737721,8.737721,9.655814,4.6295295,0.5339331,0.5339331,0.5675248,0.011550733,76.155975,76.155975,76.8175,15.843979,0.7826342,0.7826342,0.8092812,0.17126542
2019-04-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,6.495405,6.495405,6.1829243,0.73605675,164.81,164.81,164.88583,11.750413,3.1416776,3.1416776,3.1595478,0.42554045,5.811462,5.811462,5.5877156,0.5351175,0.52092713,0.52092713,0.5398271,0.0076569375,80.45829,80.45829,80.61494,3.1034732,4.072995,4.072995,3.1984713,6.106592
2019-04-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,15.124865,15.124865,14.764178,1.9667454,174.80214,174.80214,173.24431,30.780888,3.2040603,3.2040603,3.1393251,0.32642037,13.316773,13.316773,12.634918,4.3996806,0.5708415,0.5708415,0.5521396,0.028000308,81.51973,81.51973,81.59528,5.0784755,3.2494636,3.2494636,3.1851215,1.1657438
