Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,22.811756,22.811756,22.892063,0.30549332,221.94577,221.94577,221.2,123.76469,3.5257955,3.5257955,3.4955754,1.4230951,19.93185,19.93185,19.99165,0.43164644,0.39767748,0.39767748,0.3644809,0.02787489,101.055786,101.055786,103.712074,27.4336,6.263632,6.263632,6.057974,1.9789946
2019-04-02,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,24.655739,24.655739,25.367188,2.2679753,198.51053,198.51053,199.71397,165.93047,3.0190833,3.0190833,2.5061836,1.411896,19.609669,19.609669,19.547726,0.62003386,0.39388475,0.39388475,0.45654503,0.034742437,96.215,96.215,96.10213,1.1723101,4.2461863,4.2461863,3.8284895,1.0289395
2019-04-03,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,9.911275,9.911275,9.2090225,1.8369875,183.57803,183.57803,184.05757,101.48061,1.7718248,1.7718248,1.5926176,0.41500837,7.3810263,7.3810263,7.27511,0.422369,0.32620198,0.32620198,0.34782377,0.02791872,87.52165,87.52165,86.51972,2.575062,2.3744576,2.3744576,2.1772451,0.3783359
2019-04-04,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,14.965284,14.965284,15.457424,0.86051387,175.89024,175.89024,172.97119,82.0397,2.0021787,2.0021787,1.8220519,0.5966253,9.018054,9.018054,9.105393,0.08190842,0.35835227,0.35835227,0.3411671,0.03136895,89.24211,89.24211,89.07825,2.839769,2.604635,2.604635,2.3921273,0.51126134
2019-04-05,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,14.85087,14.85087,14.670425,0.36888996,187.59128,187.59128,183.82796,295.72787,2.1698108,2.1698108,1.951823,1.435456,10.707872,10.707872,10.6292925,0.1598528,0.2950429,0.2950429,0.3498872,0.024346078,96.10679,96.10679,96.123184,0.3344735,3.0925264,3.0925264,2.8303475,0.43554386
2019-04-06,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,24.364002,24.364002,24.649857,3.7419815,183.02748,183.02748,180.67409,384.69638,1.8704469,1.8704469,1.7265888,1.0266376,20.419348,20.419348,18.968227,8.84225,0.26895535,0.26895535,0.24318503,0.045174453,101.99599,101.99599,102.724945,43.853996,6.725461,6.725461,6.395567,0.39975265
2019-04-07,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,18.1192,18.1192,18.058315,8.327178,180.58829,180.58829,181.05115,116.10359,1.7028954,1.7028954,1.735053,0.6396199,15.396135,15.396135,15.819734,4.139894,0.2579192,0.2579192,0.26342306,0.015337309,95.858986,95.858986,95.426155,7.593573,2.1102154,2.1102154,1.9723814,0.7996689
2019-04-08,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,13.461271,13.461271,13.430338,5.3952575,239.68936,239.68936,241.26376,885.53674,5.9125924,5.9125924,5.4247255,12.932178,11.144269,11.144269,11.419161,3.5282319,0.72633713,0.72633713,0.92621034,0.1247501,71.8302,71.8302,72.06612,2.5561957,4.3679647,4.3679647,2.9984136,9.479403
2019-04-09,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,6.529101,6.529101,6.268417,0.44516167,208.21866,208.21866,215.78166,312.9273,4.8940887,4.8940887,5.3589334,3.5385718,5.852734,5.852734,5.4658504,0.3628768,0.6797663,0.6797663,0.73814136,0.08328805,73.76462,73.76462,75.44671,14.508365,3.810267,3.810267,3.7905452,2.4745996
2019-04-10,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,18.140171,18.140171,18.75949,3.0294693,198.68918,198.68918,194.06195,373.276,3.5180714,3.5180714,3.070445,1.5855942,15.718079,15.718079,14.35797,4.966424,0.4385089,0.4385089,0.4188986,0.03328109,91.20961,91.20961,90.94515,0.30200166,4.0754385,4.0754385,3.1438887,2.4727263
