Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΠΥΛΗΣ,19.25395,19.25395,19.350973,1.0354059,166.5947,166.5947,166.57637,52.623196,0.8778029,0.8778029,0.8112977,0.07484103,14.297907,14.297907,14.419716,0.41253626,0.15854567,0.15854567,0.1632552,0.0011997828,97.4523,97.4523,99.005295,36.053684,4.571597,4.571597,4.9403753,3.027577
2019-04-02,ΔΗΜΟΣ ΠΥΛΗΣ,18.173252,18.173252,18.36972,0.5847947,151.4704,151.4704,149.50183,102.94036,0.62009394,0.62009394,0.5145324,0.066910274,14.224339,14.224339,14.156282,0.14428693,0.10021427,0.10021427,0.08696688,0.0014308481,94.45002,94.45002,94.4537,0.24124406,1.7987423,1.7987423,1.8235227,0.04074965
2019-04-03,ΔΗΜΟΣ ΠΥΛΗΣ,13.478583,13.478583,13.179379,0.51394933,161.00119,161.00119,156.4892,71.962204,0.66892517,0.66892517,0.5583658,0.12724723,9.730261,9.730261,10.038894,0.565009,0.09370704,0.09370704,0.07713008,0.0015929092,85.23671,85.23671,83.07562,11.407546,1.4298711,1.4298711,1.469786,0.01860551
2019-04-04,ΔΗΜΟΣ ΠΥΛΗΣ,14.10564,14.10564,13.923617,0.4681659,164.21957,164.21957,161.51526,91.09352,0.6169129,0.6169129,0.33157477,0.18794928,10.4625435,10.4625435,10.837271,1.5688285,0.07676609,0.07676609,0.051592506,0.0019891083,83.85098,83.85098,83.48503,3.6522238,0.7698714,0.7698714,0.75678486,0.018796576
2019-04-05,ΔΗΜΟΣ ΠΥΛΗΣ,14.927004,14.927004,14.316064,6.2116566,169.45605,169.45605,162.82437,277.6003,1.0224998,1.0224998,0.75525486,0.53434414,13.370551,13.370551,13.786205,2.8636038,0.103663094,0.103663094,0.074878745,0.002989804,82.867676,82.867676,82.60756,4.279589,0.49535102,0.49535102,0.4147296,0.08514444
2019-04-06,ΔΗΜΟΣ ΠΥΛΗΣ,8.989821,8.989821,9.868691,5.9855266,158.25917,158.25917,155.85643,127.782036,0.94366366,0.94366366,0.6688039,0.4634996,7.815854,7.815854,8.618447,2.6773775,0.07187755,0.07187755,0.054315664,0.0013526763,94.69689,94.69689,95.2211,8.375229,0.8823799,0.8823799,0.8563177,0.041842524
2019-04-07,ΔΗΜΟΣ ΠΥΛΗΣ,8.531884,8.531884,5.6349874,26.454937,142.91089,142.91089,141.23325,99.7794,0.45036602,0.45036602,0.30731684,0.09830029,7.9193873,7.9193873,5.191655,24.639345,0.067357264,0.067357264,0.051009864,0.0017853299,84.0094,84.0094,83.86374,4.3956223,0.68922204,0.68922204,0.56449777,0.13982405
2019-04-08,ΔΗΜΟΣ ΠΥΛΗΣ,2.2909799,2.2909799,2.2560585,0.13578072,125.45643,125.45643,122.572205,68.34133,0.4039648,0.4039648,0.26573747,0.07372386,1.9915026,1.9915026,1.9893847,0.08146299,0.06608985,0.06608985,0.053241067,0.0011993608,84.71586,84.71586,85.57235,9.204279,0.25857723,0.25857723,0.25565466,0.038740925
2019-04-09,ΔΗΜΟΣ ΠΥΛΗΣ,2.922537,2.922537,2.9856954,0.48531958,159.13364,159.13364,160.10484,8.616962,0.8702719,0.8702719,0.7839475,0.05708093,2.583467,2.583467,2.596402,0.35403714,0.14447145,0.14447145,0.12880303,0.0014948063,81.439865,81.439865,83.44735,30.317186,0.22049849,0.22049849,0.15372114,0.03525182
2019-04-10,ΔΗΜΟΣ ΠΥΛΗΣ,6.086886,6.086886,6.2639694,0.9214858,157.4352,157.4352,154.75427,25.567293,0.5185587,0.5185587,0.46784067,0.022117058,5.9063234,5.9063234,6.0737386,0.918728,0.086876206,0.086876206,0.083318174,0.00018342248,77.90591,77.90591,79.05553,10.203451,0.2900605,0.2900605,0.24959235,0.023702241
2019-04-11,ΔΗΜΟΣ ΠΥΛΗΣ,4.9097958,4.9097958,4.8850646,0.041551564,133.76117,133.76117,132.71637,4.630631,0.36320543,0.36320543,0.25939074,0.04573581,3.8524313,3.8524313,3.8519852,0.05173111,0.04922883,0.04922883,0.041847657,0.00034141555,92.3676,92.3676,92.36704,1.9385213,0.28150666,0.28150666,0.29132253,0.009220453
2019-04-12,ΔΗΜΟΣ ΠΥΛΗΣ,4.8234835,4.8234835,5.0157237,0.679226,122.65219,122.65219,120.612595,32.722218,0.33820915,0.33820915,0.24733919,0.04154161,3.7753754,3.7753754,3.8630555,0.15662454,0.06340003,0.06340003,0.048228104,0.0010320925,85.03655,85.03655,85.68218,6.529094,0.14552425,0.14552425,0.14395668,0.0037927676
2019-04-13,ΔΗΜΟΣ ΠΥΛΗΣ,4.7013083,4.7013083,4.6899652,0.47160965,149.82486,149.82486,151.6742,20.028978,0.36449084,0.36449084,0.29099992,0.044496305,3.9244986,3.9244986,3.8129218,0.2071051,0.0532437,0.0532437,0.03902656,0.00071831705,89.22686,89.22686,91.01629,11.0706215,0.25737607,0.25737607,0.2556533,0.005571855
