Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,15.217957,15.217957,14.8880825,2.8833718,167.3561,167.3561,168.8605,58.571365,1.1815492,1.1815492,1.1821442,0.3365005,10.300614,10.300614,10.426814,0.30217195,0.22528768,0.22528768,0.17075853,0.028642578,91.83053,91.83053,91.58786,10.274004,2.605842,2.605842,2.9092178,0.21133561
2019-04-02,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,21.68689,21.68689,22.381302,3.9485543,169.64478,169.64478,168.54318,8.979598,0.74065876,0.74065876,0.6713563,0.08886245,16.369062,16.369062,16.542755,0.5293351,0.13206552,0.13206552,0.13415048,0.0036180457,95.45368,95.45368,95.3975,1.4582785,1.8332906,1.8332906,1.8047856,0.012410936
2019-04-03,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,8.761252,8.761252,8.303208,1.1966695,159.86826,159.86826,160.3829,10.631736,0.8782515,0.8782515,1.0145129,0.08881206,6.5034714,6.5034714,6.298071,0.4860674,0.12776965,0.12776965,0.13199997,0.0034915297,91.861145,91.861145,91.49684,1.8204514,1.3893809,1.3893809,1.3714043,0.016596012
2019-04-04,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,14.667392,14.667392,14.748359,0.07751045,163.64833,163.64833,163.92725,7.9787097,0.9707047,0.9707047,1.0109247,0.1248607,7.7465076,7.7465076,7.7760253,0.1504942,0.18519796,0.18519796,0.1740652,0.0048948415,88.32093,88.32093,88.225204,1.5415486,1.5854714,1.5854714,1.5898535,0.005070687
2019-04-05,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,16.624323,16.624323,16.634933,2.2176676,182.68689,182.68689,181.76181,34.760914,0.9290808,0.9290808,1.0569868,0.10492888,12.653655,12.653655,12.887767,1.2942277,0.12126717,0.12126717,0.13953458,0.0019934059,97.58335,97.58335,97.648926,3.5252416,2.0425336,2.0425336,2.1254323,0.04007671
2019-04-06,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,22.54267,22.54267,21.463043,3.3937087,171.9374,171.9374,171.67668,2.1354094,0.87677,0.87677,0.82090265,0.011535013,19.3589,19.3589,19.35651,3.726609,0.06417266,0.06417266,0.06557243,0.00031946387,102.75298,102.75298,103.70541,8.396565,3.8062391,3.8062391,3.8498201,0.10332415
2019-04-07,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,20.698689,20.698689,20.28112,1.8346779,165.63667,165.63667,165.8992,20.678705,0.8517805,0.8517805,0.87590027,0.10772362,18.747969,18.747969,18.93739,1.6462765,0.14568613,0.14568613,0.14104983,0.0033955625,94.12208,94.12208,93.96179,1.4728458,1.6143906,1.6143906,1.5049864,0.050361957
2019-04-08,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,6.0788193,6.0788193,5.582393,1.1953553,164.42061,164.42061,164.20477,70.071846,1.5233043,1.5233043,1.3374419,0.3764288,5.4474726,5.4474726,5.0147123,0.7773141,0.17186618,0.17186618,0.12914835,0.008490023,78.886185,78.886185,78.94657,2.6667838,0.43775126,0.43775126,0.38650113,0.018734735
2019-04-09,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,4.499235,4.499235,4.60299,0.7874251,160.69595,160.69595,162.63307,17.693848,1.4824046,1.4824046,1.3538667,0.14638953,3.9599266,3.9599266,4.17246,0.4570847,0.20178609,0.20178609,0.20601416,0.0008030627,81.20684,81.20684,82.60834,10.28178,0.9430372,0.9430372,0.90525866,0.16408266
2019-04-10,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,8.843372,8.843372,9.622974,4.4789395,170.98827,170.98827,173.03717,43.672867,1.7900025,1.7900025,1.368681,0.39359447,8.250525,8.250525,9.02436,4.9641223,0.2520989,0.2520989,0.19379869,0.014243328,81.9335,81.9335,81.962715,6.783475,1.3067676,1.3067676,1.640565,0.29608163
2019-04-11,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,4.2228546,4.2228546,4.1403594,0.12114341,140.99745,140.99745,141.1408,5.3189754,0.7434719,0.7434719,0.65401196,0.038307417,3.542983,3.542983,3.422661,0.055565037,0.08954639,0.08954639,0.078095995,0.0009352269,89.023476,89.023476,89.67443,4.003438,0.19942611,0.19942611,0.1673186,0.0071628047
2019-04-12,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,6.5471373,6.5471373,6.1696734,3.4128127,149.36876,149.36876,151.74113,42.598927,1.3743497,1.3743497,1.2872256,0.16129419,5.736982,5.736982,5.437647,2.264613,0.18968982,0.18968982,0.17893244,0.0036854448,77.63516,77.63516,76.01768,13.515899,0.44324246,0.44324246,0.48717725,0.034702554
2019-04-13,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,6.6674757,6.6674757,6.636909,0.6088679,145.08379,145.08379,145.10265,6.084781,1.046752,1.046752,0.9849089,0.10632426,6.105319,6.105319,5.9639053,0.67629313,0.15417823,0.15417823,0.14340883,0.0027773462,85.41906,85.41906,86.15948,8.87213,0.6961613,0.6961613,0.6854464,0.015966382
2019-04-14,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,7.0293455,7.0293455,7.1558304,0.07789171,147.862,147.862,147.58153,15.971699,0.9724683,0.9724683,0.9164117,0.15981573,6.7620115,6.7620115,6.8096905,0.067514725,0.1404687,0.1404687,0.124375075,0.0048876507,82.75504,82.75504,82.8006,20.009111,0.43120515,0.43120515,0.43166894,0.008846633
2019-04-15,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,8.688699,8.688699,8.44638,0.73850733,175.20973,175.20973,178.92737,45.05456,0.89044565,0.89044565,0.7537295,0.17422122,7.5683775,7.5683775,7.607129,0.65474415,0.102516174,0.102516174,0.09520986,0.0014196101,80.27778,80.27778,79.30296,5.6331983,0.9230261,0.9230261,0.80652285,0.050806142
2019-04-16,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,14.53898,14.53898,14.608639,0.27140036,174.09027,174.09027,175.20644,28.753893,1.2996598,1.2996598,1.2150524,0.19857974,13.961322,13.961322,14.156574,0.22197555,0.23344503,0.23344503,0.2091608,0.0105972,84.24279,84.24279,83.95029,4.015062,2.4676,2.4676,2.6411726,0.1506174
2019-04-17,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,16.643671,16.643671,16.752878,1.4547558,178.7484,178.7484,179.70296,85.94107,1.214176,1.214176,1.1510935,0.22165059,14.8581705,14.8581705,14.897436,0.6343013,0.14600238,0.14600238,0.14538324,0.004535487,97.16519,97.16519,97.70787,10.648864,3.520172,3.520172,3.443347,0.1269084
2019-04-18,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,11.020578,11.020578,11.084073,0.6989505,167.80078,167.80078,167.46637,10.9113,0.72168666,0.72168666,0.8685106,0.10759327,10.735057,10.735057,10.863202,0.57130957,0.1112416,0.1112416,0.12354562,0.002587883,94.23205,94.23205,93.71013,1.6374456,2.135439,2.135439,2.5033863,0.44480422
2019-04-19,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,10.221917,10.221917,8.982493,4.2489643,174.29749,174.29749,173.46509,81.811745,0.7903845,0.7903845,0.52541083,0.19990562,9.376159,9.376159,8.717703,3.4751115,0.1237165,0.1237165,0.117267355,0.0034332322,91.289505,91.289505,91.73603,4.686797,1.5096855,1.5096855,1.476856,0.053266224
2019-04-20,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,9.505018,9.505018,9.48906,0.1922028,158.55475,158.55475,158.316,7.5792775,0.58432806,0.58432806,0.6278895,0.043098647,8.3194475,8.3194475,8.313319,0.029091515,0.0961965,0.0961965,0.097223565,0.0020355773,89.57923,89.57923,88.809326,3.8912437,1.1997765,1.1997765,1.2367991,0.0065401103
2019-04-21,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,12.199692,12.199692,12.261156,0.38181943,159.15611,159.15611,159.53421,14.6893,0.9221806,0.9221806,0.8409792,0.16901717,9.719388,9.719388,9.6175785,0.2656923,0.13374119,0.13374119,0.1445579,0.003845796,91.58395,91.58395,90.43338,10.379232,1.8958553,1.8958553,1.8633415,0.041520398
2019-04-22,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,8.842052,8.842052,8.803885,0.082626134,163.9038,163.9038,164.51503,27.441195,1.1225082,1.1225082,1.0998657,0.09806943,8.317666,8.317666,8.304054,0.10498584,0.14499351,0.14499351,0.1486189,0.0021843123,98.1917,98.1917,97.49942,1.2482659,1.4900308,1.4900308,1.5215633,0.035408046
2019-04-23,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,20.25602,20.25602,21.18845,4.930483,160.75331,160.75331,158.15245,17.688059,1.0491894,1.0491894,0.99496675,0.11931159,17.597105,17.597105,17.956615,3.9604948,0.11082137,0.11082137,0.11191882,0.0011718064,103.3668,103.3668,103.14353,13.030679,2.2085142,2.2085142,2.2001529,0.06136543
2019-04-24,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,27.068096,27.068096,26.857834,0.98646986,154.89143,154.89143,154.76582,23.089556,0.88182616,0.88182616,1.0212702,0.12833828,20.081043,20.081043,20.598255,4.9797893,0.15407012,0.15407012,0.1649834,0.0038107252,90.43731,90.43731,90.5121,4.1181984,1.312273,1.312273,1.2988721,0.018900156
2019-04-25,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,53.04495,53.04495,56.404408,48.701035,161.23903,161.23903,161.64241,31.182287,2.4338436,2.4338436,2.3116796,0.84751874,32.64961,32.64961,35.302322,23.830076,0.2718913,0.2718913,0.22749288,0.018876348,74.66614,74.66614,73.83716,12.078996,0.9131676,0.9131676,0.83633405,0.028873986
2019-04-26,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,79.394165,79.394165,78.01538,181.52278,162.17068,162.17068,163.7799,77.70448,1.2871836,1.2871836,1.3632445,0.4012085,40.41484,40.41484,38.143906,29.657393,0.23437433,0.23437433,0.2246063,0.013902556,80.51708,80.51708,79.73756,8.731177,0.92196536,0.92196536,0.8591598,0.05246514
