Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΕΡΡΩΝ,16.245802,16.245802,16.559307,4.049565,177.44312,177.44312,180.61453,138.37762,0.78839815,0.78839815,0.80862606,0.0534624,10.613912,10.613912,10.737861,0.49641016,0.14066067,0.14066067,0.15072745,0.0018200125,92.28343,92.28343,92.60349,8.818827,1.824889,1.824889,1.7607818,0.19101615
2019-04-02,ΔΗΜΟΣ ΣΕΡΡΩΝ,21.417662,21.417662,21.656448,0.93617463,173.45103,173.45103,174.51236,40.123417,1.0753741,1.0753741,1.1566215,0.07699531,17.427725,17.427725,17.665455,3.440236,0.13711134,0.13711134,0.13596946,0.0018382375,93.22573,93.22573,94.23495,14.550175,4.4546785,4.4546785,4.344514,0.06441391
2019-04-03,ΔΗΜΟΣ ΣΕΡΡΩΝ,12.048776,12.048776,11.239043,3.9267523,163.898,163.898,163.76851,17.038366,1.2892203,1.2892203,1.4137527,0.14207822,10.846126,10.846126,10.282126,3.8878303,0.15659203,0.15659203,0.1658822,0.0014450587,88.63033,88.63033,89.80014,6.1857023,2.5432718,2.5432718,2.5611372,0.017794924
2019-04-04,ΔΗΜΟΣ ΣΕΡΡΩΝ,15.713085,15.713085,15.892504,0.48585403,165.45169,165.45169,165.76663,42.09501,0.9541233,0.9541233,1.0130066,0.09142372,9.784836,9.784836,9.421869,1.3104749,0.14029393,0.14029393,0.14060397,0.0012113536,86.48243,86.48243,86.19684,1.8510823,1.5139321,1.5139321,1.5225439,0.013371834
2019-04-05,ΔΗΜΟΣ ΣΕΡΡΩΝ,14.513837,14.513837,14.468517,0.14015068,166.13963,166.13963,167.89587,39.44846,0.9528561,0.9528561,1.0702243,0.063829936,9.918247,9.918247,9.8001175,0.47268412,0.13470466,0.13470466,0.14218669,0.0010668722,93.90378,93.90378,93.72661,3.1495275,2.6339974,2.6339974,2.6921043,0.036044117
2019-04-06,ΔΗΜΟΣ ΣΕΡΡΩΝ,24.198805,24.198805,24.919975,6.432303,167.85762,167.85762,166.85387,235.91331,1.0347424,1.0347424,1.038485,0.1270074,21.923931,21.923931,22.425814,4.7884154,0.10837941,0.10837941,0.092583716,0.0028201414,95.45085,95.45085,95.48664,7.767158,4.594378,4.594378,4.363173,0.18340784
2019-04-07,ΔΗΜΟΣ ΣΕΡΡΩΝ,17.262978,17.262978,16.76382,4.887448,178.92075,178.92075,178.96033,64.559906,1.0284705,1.0284705,1.1352626,0.10795972,15.795581,15.795581,15.303141,5.3381386,0.15558527,0.15558527,0.15597834,0.0021477917,84.11071,84.11071,84.58782,9.093018,1.0322223,1.0322223,1.0677468,0.026859887
2019-04-08,ΔΗΜΟΣ ΣΕΡΡΩΝ,5.8807464,5.8807464,5.5734406,2.3928967,189.99632,189.99632,191.92805,443.69794,2.1482706,2.1482706,1.8299546,1.1286776,5.580473,5.580473,5.346827,2.1187253,0.26346758,0.26346758,0.22723521,0.033025328,75.37556,75.37556,75.47597,4.0682564,0.26138875,0.26138875,0.2698229,0.0057503907
2019-04-09,ΔΗΜΟΣ ΣΕΡΡΩΝ,6.4741282,6.4741282,7.27068,1.6126469,173.77216,173.77216,173.21402,108.93386,1.6425636,1.6425636,1.6843473,0.22481133,5.99005,5.99005,6.6572886,1.3275911,0.27921313,0.27921313,0.25942034,0.009811274,70.62754,70.62754,70.4527,25.359926,0.81087625,0.81087625,0.78324425,0.07516221
2019-04-10,ΔΗΜΟΣ ΣΕΡΡΩΝ,9.575385,9.575385,9.859273,0.38646927,180.02455,180.02455,179.51515,61.71006,1.0312526,1.0312526,1.105027,0.086824454,9.390725,9.390725,9.737134,0.46572334,0.14210847,0.14210847,0.14345673,0.0022085984,83.17327,83.17327,84.17183,9.460089,1.0142041,1.0142041,0.88755316,0.15074784
2019-04-11,ΔΗΜΟΣ ΣΕΡΡΩΝ,8.621673,8.621673,9.199367,1.0961801,147.74632,147.74632,148.901,26.57129,0.9150221,0.9150221,0.9831922,0.09257543,6.29764,6.29764,6.6154704,0.5760588,0.13311236,0.13311236,0.13404413,0.0015665919,92.627815,92.627815,90.56926,20.811892,2.8526921,2.8526921,3.055561,0.2297468
2019-04-12,ΔΗΜΟΣ ΣΕΡΡΩΝ,4.5825562,4.5825562,4.235605,1.4698757,155.20166,155.20166,156.90155,30.41325,1.0367671,1.0367671,1.1305296,0.130234,3.8614058,3.8614058,3.6901946,0.3478576,0.13012631,0.13012631,0.14772184,0.0015450792,75.18675,75.18675,74.68505,4.61191,0.19663763,0.19663763,0.20926976,0.004090547
2019-04-13,ΔΗΜΟΣ ΣΕΡΡΩΝ,6.6114593,6.6114593,7.2477484,1.3226746,155.89163,155.89163,157.30931,12.717993,0.78700596,0.78700596,0.84091735,0.065076545,5.9692335,5.9692335,5.792011,1.0217172,0.10709236,0.10709236,0.11050893,0.0010093731,84.83027,84.83027,84.13196,5.8774824,0.61447346,0.61447346,0.56923,0.03384493
