Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,14.434529,14.434529,14.460165,0.19701132,157.67264,157.67264,157.6406,25.073603,0.526357,0.526357,0.51813483,0.0069983704,11.104411,11.104411,11.151827,0.14344119,0.07403377,0.07403377,0.073101535,5.3396576e-05,91.3875,91.3875,92.54061,5.848546,2.3160796,2.3160796,2.2822418,0.110097826
2019-04-02,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,17.573898,17.573898,17.381363,0.2827331,167.37563,167.37563,167.3985,1.2000723,0.6015945,0.6015945,0.6032934,8.9748115e-05,12.174452,12.174452,12.020746,0.124610506,0.074986055,0.074986055,0.072540194,5.9743168e-05,93.35925,93.35925,93.17836,2.9533105,1.6388944,1.6388944,1.6464199,0.013870987
2019-04-03,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,6.92212,6.92212,6.779599,0.25659472,159.52834,159.52834,159.6773,0.09284602,0.41746306,0.41746306,0.41745096,0.0005357409,5.368594,5.368594,4.9617105,0.58755344,0.043365087,0.043365087,0.041546103,4.1764866e-05,97.858,97.858,98.920975,6.1081805,1.2991961,1.2991961,1.2881074,0.017390687
2019-04-04,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,12.520655,12.520655,12.501111,0.16517702,164.32661,164.32661,164.3617,1.0755956,0.40673953,0.40673953,0.40470737,0.0004549114,7.732375,7.732375,7.774789,0.45489445,0.06126051,0.06126051,0.059872996,0.000107011096,95.25705,95.25705,94.638565,6.5191483,2.0556328,2.0556328,2.0348594,0.01769884
2019-04-05,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,19.339527,19.339527,19.650166,5.189858,178.73505,178.73505,179.12125,7.3019648,0.52328753,0.52328753,0.5126258,0.0023483082,17.435905,17.435905,18.427952,8.194412,0.04459399,0.04459399,0.045301512,2.2800014e-05,103.645996,103.645996,103.56409,3.9407623,2.6287863,2.6287863,2.6576715,0.018025598
2019-04-06,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,33.92907,33.92907,34.447586,1.3877525,180.66245,180.66245,179.86526,7.6424766,0.92537177,0.92537177,0.948843,0.005754244,28.529608,28.529608,28.860304,3.159036,0.064521015,0.064521015,0.06118128,7.786695e-05,107.29014,107.29014,107.75963,6.601416,6.7987113,6.7987113,6.5967035,0.3625349
2019-04-07,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,14.108937,14.108937,14.217803,0.22351603,160.73955,160.73955,160.93018,0.65489596,0.5782901,0.5782901,0.5713403,0.0012000616,10.109337,10.109337,10.212698,0.1788529,0.0734758,0.0734758,0.07602097,5.1166186e-05,91.139915,91.139915,91.258255,1.7048591,1.021995,1.021995,1.0199628,0.052120198
2019-04-08,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,9.630682,9.630682,10.302671,2.4345253,159.10573,159.10573,158.00731,9.10094,0.60128564,0.60128564,0.5678247,0.008222288,8.431425,8.431425,9.020987,2.2273002,0.05952386,0.05952386,0.056855954,0.00010092221,88.364975,88.364975,88.85242,5.423005,0.5977241,0.5977241,0.57308257,0.014909419
2019-04-09,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,5.710578,5.710578,5.699073,0.5246523,160.99905,160.99905,158.08691,99.44129,1.0563135,1.0563135,0.89499474,0.17219388,5.1650686,5.1650686,5.0523324,0.7879063,0.159928,0.159928,0.16791396,0.0015272795,81.07335,81.07335,82.526596,16.679186,0.7947635,0.7947635,0.7414768,0.08922591
2019-04-10,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,14.019839,14.019839,13.551643,2.157246,168.68091,168.68091,165.69965,43.634644,0.87867576,0.87867576,0.81277007,0.02323359,11.998749,11.998749,11.678649,2.9430728,0.11679397,0.11679397,0.11563188,0.00011870595,85.83357,85.83357,85.81884,8.577363,2.0433412,2.0433412,1.6895924,0.5736399
