Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,14.304509,14.304509,14.376038,1.9964664,164.84291,164.84291,164.35837,85.65032,0.6789723,0.6789723,0.6761418,0.023436401,11.400005,11.400005,11.156229,1.1619437,0.10518156,0.10518156,0.095845565,0.0012620833,99.11864,99.11864,97.6324,43.428993,3.057738,3.057738,2.7288215,1.037503
2019-04-02,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,21.948145,21.948145,21.358746,4.814647,169.33014,169.33014,169.90305,25.118214,0.9222776,0.9222776,0.9160743,0.042938836,20.034685,20.034685,19.84407,1.9398171,0.10352741,0.10352741,0.10132162,0.0003177026,94.383514,94.383514,93.722885,7.596302,5.3472605,5.3472605,5.2473755,0.5785925
2019-04-03,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,16.509274,16.509274,16.1599,2.8488204,165.19904,165.19904,165.10193,32.52346,1.0927294,1.0927294,1.0444729,0.10943675,12.591974,12.591974,12.668897,3.9734943,0.13665259,0.13665259,0.1358138,0.0012130869,90.94455,90.94455,90.60319,7.355905,2.236611,2.236611,1.9128379,0.40196595
2019-04-04,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,14.737485,14.737485,14.132745,2.4367332,166.34277,166.34277,168.65497,53.44386,0.7415281,0.7415281,0.7069403,0.048900045,10.514249,10.514249,10.386189,0.7941447,0.11212516,0.11212516,0.11654677,0.0005532242,89.77865,89.77865,89.55214,4.5543957,1.7268622,1.7268622,1.5574208,0.1242316
2019-04-05,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,13.92928,13.92928,14.053788,0.07946709,163.65733,163.65733,164.3602,25.869226,0.74910015,0.74910015,0.7538942,0.03623622,9.954228,9.954228,10.140125,0.31599492,0.10668405,0.10668405,0.102317244,0.0004911091,93.28276,93.28276,93.06856,2.786019,2.0632644,2.0632644,2.0699816,0.046017013
2019-04-06,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,18.04335,18.04335,17.16443,4.1646476,151.54527,151.54527,149.3547,39.569405,0.57908,0.57908,0.5279263,0.038858388,16.038572,16.038572,14.963623,5.7236633,0.05692477,0.05692477,0.055739414,0.00023965014,95.81389,95.81389,95.443306,3.9299512,3.3297925,3.3297925,3.412449,0.47560588
2019-04-07,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,19.154688,19.154688,19.542213,2.947741,172.18216,172.18216,168.33835,93.05271,0.69242775,0.69242775,0.6337153,0.04899962,17.600964,17.600964,17.837273,2.863896,0.08668532,0.08668532,0.08174084,0.0009404776,90.6804,90.6804,93.17911,25.845364,1.1891296,1.1891296,1.2147936,0.041813508
2019-04-08,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,4.3235373,4.3235373,4.0567446,0.9166169,176.98201,176.98201,173.24597,225.99773,0.9825411,0.9825411,0.95691437,0.104930714,4.0983453,4.0983453,3.8924952,0.74711555,0.12864555,0.12864555,0.11668809,0.0013310993,75.17549,75.17549,75.69878,9.854465,0.23733723,0.23733723,0.23209664,0.00441073
2019-04-09,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,6.849923,6.849923,7.0714083,1.5167477,182.47688,182.47688,188.20288,156.34285,1.455161,1.455161,1.5415566,0.09325184,6.558934,6.558934,6.7247562,1.5359783,0.24267176,0.24267176,0.2688812,0.0044880854,57.92447,57.92447,55.933304,39.605392,1.0024122,1.0024122,0.9810522,0.10006239
2019-04-10,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,10.2490835,10.2490835,10.044697,4.778058,172.82822,172.82822,169.6976,94.10392,0.7810799,0.7810799,0.71240234,0.053734113,9.787716,9.787716,9.801743,5.1871114,0.0970114,0.0970114,0.09157823,0.00070765463,85.8133,85.8133,85.43581,8.873391,1.9123309,1.9123309,2.0289335,0.39138234
2019-04-11,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,7.3759217,7.3759217,6.9322233,0.9053221,141.45871,141.45871,141.46103,10.172546,0.5927571,0.5927571,0.5996732,0.014390118,5.7755346,5.7755346,5.4267755,0.6498701,0.09142046,0.09142046,0.095646404,0.0003060982,92.50766,92.50766,91.64214,9.734119,2.5976021,2.5976021,2.8420148,0.54397523
2019-04-12,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,5.0318875,5.0318875,4.9901443,0.5111323,156.79875,156.79875,156.52783,49.69285,0.78239954,0.78239954,0.78594124,0.061403632,4.1833587,4.1833587,4.087139,0.18107386,0.12307694,0.12307694,0.12731683,0.0011078555,74.71545,74.71545,74.17421,9.755016,0.37517157,0.37517157,0.27343178,0.07461433
2019-04-13,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,6.92967,6.92967,7.053543,0.39779824,155.95804,155.95804,156.22633,23.03683,0.52406824,0.52406824,0.48497456,0.01732185,6.4137,6.4137,6.522534,0.5596194,0.072930545,0.072930545,0.07031708,0.00032806405,81.25437,81.25437,80.142715,15.29588,0.9845934,0.9845934,0.9804424,0.034213703
2019-04-14,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,5.469046,5.469046,5.7539577,0.97307885,166.58192,166.58192,165.90454,26.95139,0.7416132,0.7416132,0.74117404,0.018012535,5.3238077,5.3238077,5.6732416,1.034589,0.103226565,0.103226565,0.10314229,0.00034461272,72.44605,72.44605,71.66831,5.0219,0.6656905,0.6656905,0.6901075,0.036289223
2019-04-15,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,8.221219,8.221219,8.389252,2.698358,179.8139,179.8139,178.26141,51.617516,0.8309172,0.8309172,0.82713926,0.03731189,7.658944,7.658944,7.6056194,2.3249607,0.15899253,0.15899253,0.15450466,0.0022765913,64.30448,64.30448,63.971825,2.5979404,2.0430849,2.0430849,2.072607,0.30239218
2019-04-16,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,10.451533,10.451533,10.418995,1.4542013,188.63371,188.63371,184.24812,121.25935,0.74292666,0.74292666,0.70300674,0.034850236,9.993077,9.993077,9.984572,1.0985821,0.11563251,0.11563251,0.10506718,0.000520104,85.438286,85.438286,85.9648,3.6450095,2.2949479,2.2949479,2.2484202,1.0562642
2019-04-17,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,7.338979,7.338979,7.392458,0.1600086,153.19032,153.19032,152.96312,20.02005,0.6896368,0.6896368,0.7206502,0.028746134,7.063864,7.063864,6.9802985,0.19824412,0.103014454,0.103014454,0.09779464,0.00058744045,104.364586,104.364586,105.943146,19.85393,3.790416,3.790416,4.25311,1.2913504
2019-04-18,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,11.643235,11.643235,11.531147,2.1898882,170.52124,170.52124,171.79282,30.852932,0.66951245,0.66951245,0.6436807,0.03191719,10.2657585,10.2657585,10.221592,1.2458985,0.10459758,0.10459758,0.10063949,0.0009119023,94.83343,94.83343,94.358284,6.476438,2.4714808,2.4714808,2.1724865,0.5608805
2019-04-19,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,7.9362235,7.9362235,7.938053,0.2754213,156.79309,156.79309,158.04121,8.506793,0.59113634,0.59113634,0.5334613,0.026142057,6.6823487,6.6823487,6.599717,0.28650206,0.088735685,0.088735685,0.085488334,0.0006662997,89.7872,89.7872,91.09472,26.120169,3.1686723,3.1686723,3.2997036,2.5065696
2019-04-20,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,7.8060584,7.8060584,7.58617,1.9661644,163.25533,163.25533,164.53934,35.313507,0.57777846,0.57777846,0.59263587,0.028305655,6.8026085,6.8026085,7.04628,0.784062,0.08857216,0.08857216,0.08333956,0.0006731608,85.72157,85.72157,85.49556,3.306141,1.3183229,1.3183229,1.3340938,0.12374835
2019-04-21,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,8.271151,8.271151,8.325602,0.14887397,160.78934,160.78934,157.47145,118.94547,0.47274932,0.47274932,0.421592,0.02275727,6.985241,6.985241,7.01641,0.16006266,0.07045486,0.07045486,0.06807686,0.0003239808,97.91882,97.91882,97.01174,14.203962,2.0508935,2.0508935,2.0465302,0.13849868
2019-04-22,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,10.153399,10.153399,9.784605,1.468978,159.4164,159.4164,159.87384,21.782894,0.80553263,0.80553263,0.7928295,0.036490053,9.000332,9.000332,8.806835,1.4097037,0.109684184,0.109684184,0.10987123,0.00037927687,95.49983,95.49983,94.911545,6.114874,1.7626871,1.7626871,1.4417694,0.6921878
2019-04-23,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,16.183403,16.183403,16.218317,2.403415,155.0663,155.0663,155.64568,17.864496,0.67577773,0.67577773,0.6604823,0.0285828,13.586392,13.586392,13.409739,1.2267205,0.08878471,0.08878471,0.08766179,0.00031413042,96.67359,96.67359,96.60333,1.3252681,1.3174528,1.3174528,1.3364599,0.011204598
2019-04-24,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,39.536816,39.536816,36.373905,50.6606,155.74307,155.74307,154.51805,23.466673,0.7367685,0.7367685,0.74459195,0.039019488,17.630255,17.630255,17.152819,1.6783984,0.10393687,0.10393687,0.102441445,0.000563549,94.02123,94.02123,93.47811,5.2035456,1.8557876,1.8557876,1.8391333,0.09230632
2019-04-25,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,73.51675,73.51675,74.29627,38.939926,164.50574,164.50574,161.09848,113.71145,0.94657886,0.94657886,0.91357315,0.089883365,38.642525,38.642525,38.95839,47.26118,0.123715624,0.123715624,0.11835797,0.00095841364,91.17326,91.17326,90.93291,27.718739,1.7418429,1.7418429,1.0871983,1.282246
2019-04-26,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,62.9117,62.9117,63.33784,11.307098,157.58873,157.58873,157.91019,10.845538,0.79977214,0.79977214,0.7333271,0.068108656,39.7599,39.7599,39.717884,10.376172,0.1054467,0.1054467,0.09702125,0.00061462284,89.76399,89.76399,90.333176,17.861986,1.3633788,1.3633788,1.2758292,0.14870323
2019-04-27,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,45.74137,45.74137,43.72029,132.36653,167.27853,167.27853,170.03036,146.96135,0.71400344,0.71400344,0.7374297,0.028866734,24.88189,24.88189,21.853512,31.827084,0.07334162,0.07334162,0.074076764,0.00035962457,84.98509,84.98509,84.31122,12.631857,1.1332471,1.1332471,1.0220127,0.08739206
2019-04-28,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,6.51958,6.51958,6.4846296,0.035070885,133.4648,133.4648,135.6722,15.671112,0.42155474,0.42155474,0.44195354,0.0055809035,5.0984316,5.0984316,5.0430107,0.32585347,0.063881755,0.063881755,0.06456463,0.00018529856,100.14702,100.14702,99.41305,4.1866083,1.0589929,1.0589929,1.0683153,0.05518802
2019-04-29,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,13.87971,13.87971,12.835394,17.104427,142.564,142.564,141.88995,22.443233,0.61690277,0.61690277,0.5527028,0.03175146,11.019741,11.019741,9.663635,11.473386,0.09118076,0.09118076,0.09188207,0.000381287,94.17658,94.17658,93.76684,13.08994,1.8112777,1.8112777,1.5406556,0.28010637
2019-04-30,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,8.091506,8.091506,7.6317377,1.3742098,131.9543,131.9543,131.04715,8.604278,0.61470425,0.61470425,0.61301494,0.022236584,5.928545,5.928545,5.812543,0.46321043,0.09067325,0.09067325,0.087223485,0.00027319248,102.73057,102.73057,103.80791,12.025727,2.5567183,2.5567183,2.5991297,0.13581748
2019-05-01,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,3.7189019,3.7189019,3.6574473,0.13029711,150.95705,150.95705,151.69713,4.508571,0.660813,0.660813,0.67675364,0.01270923,3.352742,3.352742,3.3440354,0.14522062,0.083783306,0.083783306,0.08632146,0.00027868105,85.76825,85.76825,86.33505,6.035279,0.8805598,0.8805598,0.84632033,0.061920512
2019-05-02,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,10.651487,10.651487,11.057331,0.9268554,147.31017,147.31017,147.11862,30.431927,0.53307533,0.53307533,0.5002754,0.009285771,9.236369,9.236369,9.538975,0.8207118,0.08418538,0.08418538,0.08138059,0.0003758479,98.89903,98.89903,98.14522,15.806493,3.1608205,3.1608205,2.988216,1.6820991
2019-05-03,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,13.03291,13.03291,12.459007,4.480264,151.41315,151.41315,153.0679,42.14125,0.86448985,0.86448985,0.84461325,0.09703387,11.867392,11.867392,11.294132,3.9516253,0.08894952,0.08894952,0.08934284,0.00072259054,99.89201,99.89201,97.46051,52.052082,4.9641795,4.9641795,4.879158,6.9988213
