Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,15.1775675,15.1775675,15.0854435,0.037632152,149.71877,149.71877,149.54779,0.25788704,0.42525864,0.42525864,0.4196643,0.0001802608,12.630726,12.630726,12.38124,0.39511135,0.052443396,0.052443396,0.052296847,4.7530687e-08,94.27288,94.27288,93.14612,4.4608464,4.0097017,4.0097017,3.9804888,0.026482085
2019-04-02,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,18.541048,18.541048,18.427116,0.12417915,169.19135,169.19135,169.14919,0.11310343,0.5407941,0.5407941,0.5426131,2.8675591e-05,12.085362,12.085362,12.051144,0.24193735,0.0650194,0.0650194,0.06514256,3.7877097e-08,96.986145,96.986145,97.17627,0.15564467,1.3237222,1.3237222,1.2945378,0.007809291
2019-04-03,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,9.768244,9.768244,9.688284,0.02001276,157.71593,157.71593,157.72571,0.0021934763,0.43031654,0.43031654,0.4299707,1.4196029e-06,5.0277915,5.0277915,5.0275636,8.6622145e-05,0.0337775,0.0337775,0.033929083,3.216816e-07,101.49277,101.49277,101.446655,0.12234801,1.0706458,1.0706458,1.0997496,0.0016940618
2019-04-04,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,13.430976,13.430976,13.525316,0.019548833,161.0269,161.0269,160.85509,0.059904158,0.3490304,0.3490304,0.33602986,0.0004124636,7.872204,7.872204,8.025369,0.22534643,0.054264743,0.054264743,0.055079497,9.795384e-06,101.98227,101.98227,101.79448,0.2802728,1.6384215,1.6384215,1.6456454,0.0002935643
2019-04-05,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,14.962127,14.962127,14.928779,0.003997646,157.77736,157.77736,157.8791,0.56889886,0.6111521,0.6111521,0.6108513,0.001348475,10.953186,10.953186,11.270429,0.3398546,0.051784325,0.051784325,0.052843034,5.5105957e-06,110.49349,110.49349,110.42872,1.345314,1.8272365,1.8272365,1.8299034,0.001995516
2019-04-06,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,29.252182,29.252182,29.225353,0.014301188,176.75171,176.75171,178.55338,14.542132,1.0723543,1.0723543,1.0904968,0.0007843103,25.65714,25.65714,25.613323,0.068651915,0.060808245,0.060808245,0.055933923,6.205831e-05,106.39303,106.39303,106.29593,0.8327055,3.4437923,3.4437923,3.5911825,0.12556437
2019-04-07,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,14.934125,14.934125,14.858372,0.022333933,164.36913,164.36913,164.3301,0.069331355,0.34514377,0.34514377,0.3457501,1.397009e-05,12.132686,12.132686,12.004432,0.3978443,0.043430742,0.043430742,0.043733906,1.8381847e-07,96.279236,96.279236,96.078705,0.0956355,0.9386885,0.9386885,0.93871224,0.004823365
2019-04-08,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,12.571794,12.571794,12.930997,1.3173857,190.58012,190.58012,189.61214,8.04818,1.4947776,1.4947776,1.4916227,0.00019981661,11.709117,11.709117,12.24118,1.6951901,0.09726866,0.09726866,0.09822553,0.0002572232,92.7918,92.7918,93.10848,0.40975294,0.8875877,0.8875877,0.85157263,0.0045562643
2019-04-09,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,4.765292,4.765292,4.7558846,0.02064859,157.56691,157.56691,158.09123,1.9920535,0.9608466,0.9608466,0.9913123,0.002811646,4.5907073,4.5907073,4.585165,0.020420277,0.089363165,0.089363165,0.09146045,4.3129417e-05,84.589,84.589,85.97317,10.525231,0.6573029,0.6573029,0.706129,0.0051349737
2019-04-10,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,7.1853013,7.1853013,7.232638,0.039211765,158.0017,158.0017,157.87503,0.07173539,0.6288118,0.6288118,0.6129051,0.00076633744,7.0223866,7.0223866,7.0651803,0.04387504,0.079089254,0.079089254,0.082508154,2.8989582e-05,92.02313,92.02313,92.18285,0.6781195,0.83224916,0.83224916,0.86571103,0.014028463
2019-04-11,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,7.988479,7.988479,7.9835143,0.0043010074,147.5073,147.5073,147.66869,0.44616413,0.67365843,0.67365843,0.66864914,5.2206142e-05,6.403042,6.403042,6.213829,0.10736468,0.06415515,0.06415515,0.06587466,1.613982e-05,94.18006,94.18006,93.46356,3.7823908,0.58143234,0.58143234,0.56158453,0.0008280209
2019-04-12,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,9.488381,9.488381,9.464858,0.18459797,134.91396,134.91396,136.19775,15.719966,0.9654954,0.9654954,1.0246125,0.0070977607,6.435865,6.435865,6.492746,0.020766424,0.082258366,0.082258366,0.08131453,1.112345e-05,83.89863,83.89863,83.84968,1.6135393,0.7664016,0.7664016,0.7639763,0.0019881732
2019-04-13,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,9.825616,9.825616,10.071616,0.2572156,151.28055,151.28055,152.27367,17.208372,0.4216403,0.4216403,0.405646,0.0029178911,6.819351,6.819351,6.6675982,0.38381144,0.052365813,0.052365813,0.051759485,1.3970159e-05,93.21542,93.21542,92.59011,1.3917112,0.5197004,0.5197004,0.513154,0.012597729
2019-04-14,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,11.806199,11.806199,11.799568,0.007562805,149.48936,149.48936,149.63829,1.0045251,0.44926298,0.44926298,0.4507788,0.0003884074,10.218818,10.218818,10.149754,0.020884046,0.060507942,0.060507942,0.06043689,4.771551e-07,89.96041,89.96041,89.94341,0.5638802,2.2104607,2.2104607,2.219565,0.0059558884
2019-04-15,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,16.934523,16.934523,16.750578,0.115472384,177.21214,177.21214,177.0023,0.46501064,0.75221133,0.75221133,0.75170445,1.8759316e-05,10.039762,10.039762,9.98813,0.0071408316,0.06832293,0.06832293,0.06900149,1.6275144e-06,84.64395,84.64395,85.511665,2.8651235,1.4554354,1.4554354,1.4169643,0.010070228
2019-04-16,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,11.981772,11.981772,11.935691,0.011261459,158.26744,158.26744,158.26596,0.016374238,0.3484294,0.3484294,0.34129435,0.0006986501,9.634387,9.634387,9.588893,0.013901699,0.05063043,0.05063043,0.051567752,2.827519e-06,97.89799,97.89799,97.96073,0.115926,2.0801897,2.0801897,2.0880718,0.00018722983
2019-04-17,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,13.93146,13.93146,13.473226,0.5992771,164.00372,164.00372,166.36378,12.6028185,0.8536887,0.8536887,0.88917315,0.0025998445,12.028724,12.028724,11.683424,0.27497917,0.08040647,0.08040647,0.07560083,6.7297275e-05,111.36886,111.36886,110.87323,0.49984193,2.2522972,2.2522972,2.251845,4.7725825e-05
2019-04-18,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,15.231444,15.231444,15.606024,0.3453842,158.67174,158.67174,159.75858,2.4616055,0.3601812,0.3601812,0.33904257,0.001692901,10.440983,10.440983,10.182885,0.14211057,0.056971315,0.056971315,0.05624301,1.1954944e-06,97.36819,97.36819,97.46179,0.06682329,1.5981216,1.5981216,1.5519412,0.0062190746
2019-04-19,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,10.918544,10.918544,10.895502,0.010881734,160.43048,160.43048,161.03468,3.2763984,0.3840365,0.3840365,0.3610694,0.0019207733,9.080647,9.080647,9.005614,0.013221963,0.06396363,0.06396363,0.06456995,2.3896334e-06,90.414246,90.414246,89.96261,1.5725421,1.640186,1.640186,1.6039294,0.0033969188
2019-04-20,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,9.488399,9.488399,9.375999,0.2074125,165.65416,165.65416,165.93643,0.8287365,0.28035593,0.28035593,0.27838063,3.534027e-05,8.4429035,8.4429035,8.413876,0.0021700382,0.03931433,0.03931433,0.03931433,0.0,102.529816,102.529816,102.24423,0.21176608,2.4426754,2.4426754,2.3852494,0.02926459
2019-04-21,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,10.721153,10.721153,10.706602,0.002091109,154.15102,154.15102,154.10419,0.017080287,0.34541357,0.34541357,0.33621675,0.00040605525,10.034175,10.034175,10.061071,0.0015088533,0.03864203,0.03864203,0.036896463,6.396523e-06,98.97999,98.97999,98.95739,0.39343008,1.6488003,1.6488003,1.66294,0.0013904466
2019-04-22,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,12.5460205,12.5460205,12.584029,0.0030209806,151.95067,151.95067,151.96394,0.005558466,0.595198,0.595198,0.5969294,0.00024225289,8.951851,8.951851,8.950449,7.3916126e-05,0.06277113,0.06277113,0.061819002,6.1111946e-06,101.012215,101.012215,100.80929,0.34678364,1.6427298,1.6427298,1.6454749,0.006027129
