Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,17.86504,17.86504,18.034935,0.2695467,167.42093,167.42093,170.28984,56.774117,0.99730146,0.99730146,0.9291057,0.020982658,12.125765,12.125765,12.001398,0.07198103,0.11118662,0.11118662,0.10845815,0.00029410416,107.289696,107.289696,107.03432,6.415436,2.773919,2.773919,2.8210535,0.012024114
2019-04-02,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,23.722366,23.722366,23.848516,1.1825123,232.45097,232.45097,232.92654,217.7933,1.0741516,1.0741516,1.1672868,0.05719174,18.424526,18.424526,18.265095,2.8215919,0.17680825,0.17680825,0.18423484,0.00043665012,96.05803,96.05803,95.66538,1.7474123,3.694606,3.694606,3.611291,0.12528764
2019-04-03,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,16.83432,16.83432,16.703558,5.229764,206.85495,206.85495,206.20241,253.231,1.3550079,1.3550079,1.3922374,0.011239044,12.864217,12.864217,11.949913,4.7926497,0.13997154,0.13997154,0.14097235,5.067846e-05,85.424515,85.424515,85.63256,0.71589506,1.369898,1.369898,1.3970407,0.007260707
2019-04-04,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,19.581266,19.581266,19.314648,0.37642103,174.4451,174.4451,173.19562,20.828863,1.0416826,1.0416826,1.1590657,0.031175192,11.405393,11.405393,11.529083,0.035085686,0.14910491,0.14910491,0.1578151,0.00071951124,82.33848,82.33848,82.75578,0.9601305,1.3443525,1.3443525,1.3820909,0.0060546175
2019-04-05,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,14.756952,14.756952,15.393871,1.9389998,189.16599,189.16599,188.93448,19.85851,1.6279647,1.6279647,1.6879275,0.10833037,13.36466,13.36466,12.818389,1.3972465,0.14126119,0.14126119,0.13747577,0.0010432939,89.79606,89.79606,90.32598,2.268767,0.6333722,0.6333722,0.4838654,0.08487726
2019-04-06,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,21.597195,21.597195,21.4336,2.4442284,171.52664,171.52664,169.81367,62.728462,0.9732302,0.9732302,1.0224872,0.033055507,17.924221,17.924221,18.157341,0.71275693,0.08460006,0.08460006,0.08637002,0.0002593622,96.62918,96.62918,96.05781,0.6318983,2.1339831,2.1339831,2.1236417,0.068737455
2019-04-07,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,32.53593,32.53593,34.245617,19.141296,176.91086,176.91086,179.16815,75.166855,0.9613558,0.9613558,0.98262376,0.036022037,29.577362,29.577362,31.519033,7.651767,0.09304841,0.09304841,0.09200463,0.00024303193,98.27852,98.27852,100.658516,14.694647,2.931483,2.931483,2.47627,0.50584763
2019-04-08,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,11.142685,11.142685,11.161831,0.1614012,198.5214,198.5214,195.13329,110.032104,1.7076619,1.7076619,1.6189519,0.31896156,10.131525,10.131525,10.209831,0.28239387,0.17797685,0.17797685,0.17826106,0.0028048377,73.65813,73.65813,73.20446,1.4549614,0.9253086,0.9253086,0.9704322,0.0063244393
2019-04-09,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,4.8059835,4.8059835,3.7891343,2.4656558,167.3359,167.3359,165.6796,32.913166,1.3546824,1.3546824,1.2410468,0.095170915,4.4401,4.4401,3.23502,2.6902628,0.21347201,0.21347201,0.21647334,0.00048601828,67.974976,67.974976,67.33623,5.25838,2.897116,2.897116,2.0377216,2.1857553
2019-04-10,ΔΗΜΟΣ ΣΚΥΔΡΑΣ,14.750605,14.750605,14.992745,0.18575637,170.31244,170.31244,165.70732,55.072803,1.1858256,1.1858256,1.2198862,0.08637685,11.503278,11.503278,11.64168,0.13530704,0.12135708,0.12135708,0.12195216,0.00050146045,83.31872,83.31872,83.00848,0.26099467,0.88456887,0.88456887,0.90557253,0.0027802761
