Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,15.367876,15.367876,15.665701,0.9930953,173.39398,173.39398,176.30699,34.24018,0.8991159,0.8991159,0.92898136,0.026356211,10.567341,10.567341,10.981698,0.7354448,0.14257717,0.14257717,0.14362912,0.0011682652,96.04855,96.04855,97.81122,10.49311,1.4968884,1.4968884,1.371518,0.07134545
2019-04-02,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,20.519894,20.519894,20.324366,1.1684254,163.60349,163.60349,166.44458,35.125355,0.82198423,0.82198423,0.8260201,0.038191233,14.7906475,14.7906475,14.883836,0.16693336,0.1268036,0.1268036,0.12551028,0.0010622314,94.263054,94.263054,94.15322,2.2230256,1.7914662,1.7914662,1.846324,0.01231268
2019-04-03,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,11.770318,11.770318,11.603197,0.313561,158.01852,158.01852,159.46024,15.226549,1.05211,1.05211,1.0792931,0.08717172,6.3969064,6.3969064,6.4407477,0.059805445,0.120145924,0.120145924,0.124878556,0.0010706874,87.136345,87.136345,87.443886,3.3020124,0.9959951,0.9959951,0.9959962,0.022615172
2019-04-04,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,14.058595,14.058595,14.100799,0.28831148,165.97865,165.97865,166.31717,6.1473074,1.0980492,1.0980492,1.1594565,0.0820595,8.068541,8.068541,8.009538,0.2103083,0.13762611,0.13762611,0.13816504,0.0018494048,83.05724,83.05724,83.2156,1.4621857,1.1097143,1.1097143,1.1438317,0.018099261
2019-04-05,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,20.53529,20.53529,20.669453,1.3577363,205.2033,205.2033,204.11076,110.77687,1.6752541,1.6752541,1.755358,0.21176204,15.140268,15.140268,15.2639065,1.1529802,0.18233016,0.18233016,0.19608845,0.0013485365,88.12609,88.12609,86.90357,9.07765,1.2800876,1.2800876,1.3278623,0.0874437
2019-04-06,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,14.640763,14.640763,14.115634,7.073533,170.43752,170.43752,172.55415,14.727611,1.2124938,1.2124938,1.1809027,0.043050442,12.334433,12.334433,12.385873,8.22911,0.091041565,0.091041565,0.099817045,0.00039714514,96.05948,96.05948,96.12042,6.7062244,1.9293761,1.9293761,1.855085,0.33472508
2019-04-07,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,17.229387,17.229387,21.221708,43.14797,154.46085,154.46085,158.20851,55.482277,0.7581748,0.7581748,0.79158014,0.07036848,15.674911,15.674911,17.870338,35.50902,0.093823604,0.093823604,0.103195675,0.0012470526,88.64472,88.64472,89.89926,36.876682,1.0253394,1.0253394,1.1473844,0.08751886
2019-04-08,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,3.3438315,3.3438315,3.0368028,1.6804662,140.81071,140.81071,145.70378,131.41006,0.8907845,0.8907845,0.96783894,0.26678044,2.8394284,2.8394284,2.9857218,0.9240107,0.1049381,0.1049381,0.11823441,0.0029750552,83.6857,83.6857,83.17028,3.601812,0.1795091,0.1795091,0.17666364,0.0052487305
2019-04-09,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,2.3513324,2.3513324,2.2721398,0.107723355,161.76587,161.76587,162.5308,10.450014,0.9441607,0.9441607,1.085715,0.07166932,2.1358447,2.1358447,2.0453901,0.10010827,0.14229542,0.14229542,0.1537182,0.0013411405,80.852745,80.852745,80.47074,8.553459,0.18361998,0.18361998,0.16678447,0.005324876
2019-04-10,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,6.868404,6.868404,6.6661367,0.5451995,163.44171,163.44171,162.86714,5.693172,0.672319,0.672319,0.7134611,0.067160234,6.1825786,6.1825786,5.761384,0.93517214,0.10018428,0.10018428,0.10601291,0.0010034393,74.104965,74.104965,73.0455,13.92754,0.29084864,0.29084864,0.28876457,0.0029554318
