Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΤΕΜΠΩΝ,16.5611,16.5611,15.96265,1.50504,174.81233,174.81233,175.55923,8.833882,1.9466202,1.9466202,1.719913,1.497444,11.595478,11.595478,11.64884,0.26631004,0.33040762,0.33040762,0.3022156,0.039592516,95.21832,95.21832,96.03177,16.679466,2.8222911,2.8222911,2.8811975,0.039415024
2019-04-02,ΔΗΜΟΣ ΤΕΜΠΩΝ,20.996881,20.996881,21.74693,2.8714843,165.86958,165.86958,166.4942,32.81946,0.90752155,0.90752155,0.8811227,0.039063115,16.46746,16.46746,16.178955,0.44923693,0.15989557,0.15989557,0.1542162,0.0031158219,96.46183,96.46183,96.67328,2.217031,1.9997613,1.9997613,1.8722658,0.07106728
2019-04-03,ΔΗΜΟΣ ΤΕΜΠΩΝ,13.556752,13.556752,13.6817045,0.32938772,156.05075,156.05075,153.8902,25.737606,1.0309209,1.0309209,1.0030555,0.063686535,6.897349,6.897349,6.820959,0.071920395,0.14000157,0.14000157,0.13158607,0.002841741,87.86186,87.86186,88.14704,3.0056655,1.4363607,1.4363607,1.3933318,0.04913856
2019-04-04,ΔΗΜΟΣ ΤΕΜΠΩΝ,14.877554,14.877554,14.932987,0.107714675,163.30132,163.30132,162.8739,9.137685,1.0363209,1.0363209,1.122018,0.09487531,9.027268,9.027268,8.877125,0.61465484,0.16451071,0.16451071,0.17399949,0.002039674,84.22327,84.22327,86.045616,10.639459,1.192226,1.192226,1.1569731,0.017253336
2019-04-05,ΔΗΜΟΣ ΤΕΜΠΩΝ,18.16874,18.16874,17.851042,1.6922348,174.89946,174.89946,174.66121,35.401863,1.1062231,1.1062231,1.1625024,0.06831787,13.768442,13.768442,13.75872,0.45856184,0.17765164,0.17765164,0.16723597,0.004966182,91.3512,91.3512,91.050934,29.438074,1.8421772,1.8421772,1.8999416,0.07985015
2019-04-06,ΔΗΜΟΣ ΤΕΜΠΩΝ,18.47041,18.47041,18.984272,4.661555,167.87238,167.87238,171.07681,62.3144,0.9318927,0.9318927,0.9258001,0.019561525,16.11135,16.11135,16.903908,3.380973,0.11349481,0.11349481,0.11467537,0.0007624247,99.690285,99.690285,100.06643,4.4181385,3.1769946,3.1769946,3.1466312,0.071232386
2019-04-07,ΔΗΜΟΣ ΤΕΜΠΩΝ,22.003462,22.003462,21.465254,3.0352588,163.83417,163.83417,163.13863,9.936277,0.73561347,0.73561347,0.73298526,0.035407834,18.122305,18.122305,18.274914,1.1898112,0.118690476,0.118690476,0.11827339,0.0010991876,94.68133,94.68133,94.82525,1.2043587,1.6689541,1.6689541,1.6690223,0.022425756
2019-04-08,ΔΗΜΟΣ ΤΕΜΠΩΝ,7.305337,7.305337,6.690755,5.871998,167.92647,167.92647,162.41739,162.74405,1.9497502,1.9497502,1.8364775,0.35435292,6.2943096,6.2943096,5.765262,3.03373,0.24364023,0.24364023,0.21864387,0.0071201078,77.21776,77.21776,76.10265,25.896418,0.30475673,0.30475673,0.25027585,0.032679886
2019-04-09,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.310811,6.310811,5.9737406,1.6087087,157.59146,157.59146,156.08374,22.096256,3.3747654,3.3747654,3.3320427,0.2507708,5.5680275,5.5680275,5.19664,1.4290174,0.55177844,0.55177844,0.5578536,0.011159884,75.26608,75.26608,77.11823,32.49174,4.4674115,4.4674115,3.9067369,2.9367385
2019-04-10,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.580477,10.580477,11.0244,4.9045267,164.5593,164.5593,165.37405,12.48501,2.0161567,2.0161567,2.0292015,0.21042438,9.490242,9.490242,9.958973,4.971024,0.33112615,0.33112615,0.28061455,0.018493388,78.5776,78.5776,76.68936,21.0719,2.9845464,2.9845464,3.018272,0.99775714
2019-04-11,ΔΗΜΟΣ ΤΕΜΠΩΝ,4.4525943,4.4525943,4.33681,0.12600389,142.53825,142.53825,142.71478,17.343313,0.928771,0.928771,0.90681595,0.04322935,3.721133,3.721133,3.732202,0.032520957,0.09585317,0.09585317,0.09989011,0.0005664888,89.9583,89.9583,90.15424,0.90557444,0.24178562,0.24178562,0.24294522,0.00073398737
2019-04-12,ΔΗΜΟΣ ΤΕΜΠΩΝ,4.020353,4.020353,3.8901103,0.15206537,133.79323,133.79323,134.32983,23.388111,1.146601,1.146601,1.124785,0.09976143,3.4120057,3.4120057,3.356872,0.113674745,0.17655532,0.17655532,0.16734615,0.0027159583,77.24754,77.24754,77.3969,1.976008,0.11825208,0.11825208,0.10383944,0.0009474115
2019-04-13,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.5474205,6.5474205,6.5773373,0.3282475,137.40434,137.40434,136.2411,10.306365,1.0031407,1.0031407,1.0876143,0.05930575,5.9332294,5.9332294,5.856471,0.48576346,0.14400215,0.14400215,0.15168133,0.0023420583,88.53587,88.53587,90.82384,53.51123,0.6204999,0.6204999,0.42886937,0.17142376
2019-04-14,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.659266,6.659266,6.5835733,1.7090642,151.95926,151.95926,152.33557,35.702274,1.1800807,1.1800807,1.1718749,0.15641433,6.4070206,6.4070206,6.3190327,1.4604595,0.12623742,0.12623742,0.12348868,0.0017908165,84.207504,84.207504,86.704445,23.343039,0.3543619,0.3543619,0.36375523,0.0042477613
2019-04-15,ΔΗΜΟΣ ΤΕΜΠΩΝ,9.345452,9.345452,9.370213,1.2561554,167.02039,167.02039,165.2997,28.810663,1.1039697,1.1039697,1.1378099,0.040519692,8.626989,8.626989,8.574064,0.7719252,0.19279757,0.19279757,0.19538218,0.004853775,71.06432,71.06432,71.16795,3.771153,0.6068205,0.6068205,0.56446934,0.009151651
2019-04-16,ΔΗΜΟΣ ΤΕΜΠΩΝ,15.412592,15.412592,15.655951,2.1821525,173.03127,173.03127,173.66394,14.965929,1.1821556,1.1821556,1.2292916,0.0981156,12.857193,12.857193,13.14555,0.6095065,0.20733452,0.20733452,0.19444102,0.004359763,83.10052,83.10052,81.88666,11.008255,1.9475594,1.9475594,1.9426806,0.012856243
2019-04-17,ΔΗΜΟΣ ΤΕΜΠΩΝ,16.073004,16.073004,16.13624,2.9919455,175.34192,175.34192,172.42947,67.195694,1.460242,1.460242,1.4651142,0.15996423,14.706014,14.706014,14.84424,2.3988502,0.19080646,0.19080646,0.17663291,0.0043836357,97.53007,97.53007,97.791595,2.6329455,4.201802,4.201802,4.0842175,0.5745478
2019-04-18,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.201529,10.201529,10.139321,0.08281436,158.87967,158.87967,157.96167,9.282669,0.9020731,0.9020731,0.89153934,0.056977898,9.7428875,9.7428875,9.681598,0.08490449,0.14892301,0.14892301,0.15453772,0.0031635321,93.25009,93.25009,93.70944,2.0484998,1.984347,1.984347,1.9852087,0.040385693
2019-04-19,ΔΗΜΟΣ ΤΕΜΠΩΝ,8.609533,8.609533,8.601131,0.33539137,169.85774,169.85774,169.34627,27.26652,0.81351316,0.81351316,0.80852306,0.023759212,7.7380714,7.7380714,7.5836763,0.21928768,0.17318742,0.17318742,0.18587735,0.0033624135,87.72055,87.72055,87.86885,2.4768777,0.8197304,0.8197304,0.81158197,0.029501524
2019-04-20,ΔΗΜΟΣ ΤΕΜΠΩΝ,8.282684,8.282684,8.235378,0.28135958,155.99503,155.99503,154.31714,11.295282,0.6298186,0.6298186,0.6737231,0.028754402,7.595305,7.595305,7.7140193,0.151014,0.09735395,0.09735395,0.099589676,0.00080151984,86.97049,86.97049,87.18783,1.4904096,0.9709716,0.9709716,0.9735644,0.024035081
2019-04-21,ΔΗΜΟΣ ΤΕΜΠΩΝ,11.7743025,11.7743025,11.647474,0.32910657,157.10043,157.10043,156.39873,10.148781,0.83941746,0.83941746,0.904619,0.03585046,9.270947,9.270947,9.30234,0.07361784,0.11030761,0.11030761,0.11952193,0.0011384131,90.36433,90.36433,90.374176,3.4351268,1.349776,1.349776,1.2863702,0.060678743
2019-04-22,ΔΗΜΟΣ ΤΕΜΠΩΝ,9.50822,9.50822,9.560585,0.93718404,159.96089,159.96089,157.4212,52.62507,1.0685622,1.0685622,1.0745952,0.04509505,8.574072,8.574072,8.745301,0.4720106,0.12993766,0.12993766,0.13795543,0.0009351311,97.55164,97.55164,98.43591,8.40268,1.3467045,1.3467045,1.3360051,0.031347223
2019-04-23,ΔΗΜΟΣ ΤΕΜΠΩΝ,18.95786,18.95786,18.685293,1.3571188,162.0748,162.0748,163.13571,24.281384,1.1529887,1.1529887,1.2050812,0.033430677,15.956736,15.956736,15.754558,0.40558672,0.12569873,0.12569873,0.11468905,0.00073727523,98.81465,98.81465,98.56094,4.5520105,1.9451377,1.9451377,1.9630733,0.03438077
2019-04-24,ΔΗΜΟΣ ΤΕΜΠΩΝ,33.51908,33.51908,30.652813,52.052166,154.1752,154.1752,153.52542,13.023941,1.0217029,1.0217029,1.0862529,0.069511965,22.970322,22.970322,21.793232,7.3701715,0.1655316,0.1655316,0.16816664,0.0036083204,91.0138,91.0138,90.29183,5.5967584,1.3134283,1.3134283,1.3014586,0.02038629
2019-04-25,ΔΗΜΟΣ ΤΕΜΠΩΝ,95.688034,95.688034,97.83007,164.92155,164.78859,164.78859,162.28473,28.217255,1.9054995,1.9054995,1.8461428,0.24145952,47.57728,47.57728,46.31272,36.177708,0.1688216,0.1688216,0.1713307,0.0022788385,77.88287,77.88287,78.2162,10.986864,0.7666866,0.7666866,0.7685269,0.0071340143
2019-04-26,ΔΗΜΟΣ ΤΕΜΠΩΝ,94.329056,94.329056,92.57822,123.636475,157.04745,157.04745,156.05704,19.422247,1.3160957,1.3160957,1.3604734,0.11688666,56.33893,56.33893,54.836117,109.87221,0.1817652,0.1817652,0.19019116,0.0030524838,85.45918,85.45918,87.548615,34.05236,1.6691118,1.6691118,1.6864731,0.09998457
2019-04-27,ΔΗΜΟΣ ΤΕΜΠΩΝ,104.877,104.877,107.05429,156.9643,152.46663,152.46663,150.53853,34.085857,0.9228606,0.9228606,0.99544907,0.0655883,73.13853,73.13853,76.22513,111.565895,0.107516326,0.107516326,0.11010572,0.0007358036,70.98744,70.98744,71.18323,1.1748208,0.4760573,0.4760573,0.45636737,0.012818404
2019-04-28,ΔΗΜΟΣ ΤΕΜΠΩΝ,8.41352,8.41352,8.106927,4.7939434,136.92819,136.92819,137.71219,4.711541,0.8550216,0.8550216,0.876017,0.033736624,7.315052,7.315052,7.039934,3.6621785,0.12649669,0.12649669,0.12931328,0.0011109873,99.25954,99.25954,99.636345,5.442893,0.9117834,0.9117834,0.916998,0.06788076
2019-04-29,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.839021,6.839021,6.7843122,0.14780724,141.37242,141.37242,141.21187,11.760206,0.8508984,0.8508984,0.9203234,0.049753744,3.3627152,3.3627152,3.0501873,0.3586951,0.15684628,0.15684628,0.1633822,0.0015990961,84.18916,84.18916,83.32887,18.820807,0.27901873,0.27901873,0.24159163,0.012435078
2019-04-30,ΔΗΜΟΣ ΤΕΜΠΩΝ,5.9873285,5.9873285,6.09715,0.6834322,135.40378,135.40378,135.29266,3.2444854,0.742873,0.742873,0.7981539,0.025265506,3.6431084,3.6431084,3.5868142,0.02917934,0.11928247,0.11928247,0.124954194,0.00069819833,104.144455,104.144455,104.572266,4.628621,0.30644003,0.30644003,0.31923977,0.006563796
2019-05-01,ΔΗΜΟΣ ΤΕΜΠΩΝ,3.2932713,3.2932713,3.2748768,0.0951478,158.56535,158.56535,157.2708,52.324287,1.283956,1.283956,1.3694367,0.1267246,2.9982343,2.9982343,2.9933329,0.03631516,0.17238949,0.17238949,0.17188767,0.001544491,86.09428,86.09428,85.59732,20.002396,0.18430449,0.18430449,0.18420109,0.0020736603
2019-05-02,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.833385,10.833385,10.974282,3.4008358,165.99008,165.99008,164.96593,36.631207,1.4852306,1.4852306,1.4450877,0.10964088,9.805971,9.805971,9.738694,2.4128318,0.20676944,0.20676944,0.21807702,0.0028532294,102.91316,102.91316,102.02381,42.89971,4.7597194,4.7597194,4.619487,2.4527032
2019-05-03,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.6119804,6.6119804,6.3885283,0.5896569,152.97925,152.97925,155.37213,34.527103,1.2431558,1.2431558,1.2077112,0.07331649,5.791015,5.791015,5.683004,0.46382087,0.14051676,0.14051676,0.13290177,0.0019739387,91.893364,91.893364,90.52787,10.664899,0.35288322,0.35288322,0.34668803,0.007646435
2019-05-04,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.1225195,10.1225195,10.089727,0.6063374,141.56369,141.56369,141.24158,6.9283648,0.90997535,0.90997535,0.92614555,0.024026183,6.1289473,6.1289473,6.201023,0.6283728,0.11858906,0.11858906,0.10729995,0.0011832879,82.157166,82.157166,81.708786,2.2679534,0.17815153,0.17815153,0.17709567,0.00017828049
2019-05-05,ΔΗΜΟΣ ΤΕΜΠΩΝ,24.131655,24.131655,23.810785,11.763388,142.52931,142.52931,141.4945,15.188681,0.8083788,0.8083788,0.803519,0.035195246,17.446836,17.446836,17.856712,2.3573413,0.14200339,0.14200339,0.13648638,0.0012673152,80.297066,80.297066,80.81227,5.6121078,0.30925378,0.30925378,0.30200195,0.0051007224
2019-05-06,ΔΗΜΟΣ ΤΕΜΠΩΝ,4.7512736,4.7512736,4.631132,0.1525735,145.94351,145.94351,146.07043,0.5280263,0.7137812,0.7137812,0.68808866,0.030897463,3.066926,3.066926,3.0779366,0.07565803,0.12595753,0.12595753,0.13837373,0.0015965605,90.27022,90.27022,90.24428,2.1769097,0.36908132,0.36908132,0.3995785,0.0060297633
2019-05-07,ΔΗΜΟΣ ΤΕΜΠΩΝ,6.0321627,6.0321627,5.920879,0.15112929,149.83534,149.83534,148.90973,12.11261,1.4346868,1.4346868,1.3881328,0.12000148,5.6339655,5.6339655,5.581811,0.08014469,0.27471578,0.27471578,0.3064773,0.0044901366,84.03291,84.03291,84.80811,8.366698,3.2037613,3.2037613,2.3910685,1.5109636
2019-05-08,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.330666,10.330666,10.304224,0.04449144,156.10641,156.10641,155.13116,11.988077,1.1560948,1.1560948,1.1766713,0.035457432,9.486083,9.486083,9.538136,0.067323625,0.20040861,0.20040861,0.209468,0.0019105343,95.40773,95.40773,94.35947,12.312632,3.1923308,3.1923308,3.1969166,0.024854701
2019-05-09,ΔΗΜΟΣ ΤΕΜΠΩΝ,9.157643,9.157643,8.316772,3.6695695,162.64566,162.64566,162.31253,63.490124,1.3483139,1.3483139,1.3091683,0.09273963,7.8755407,7.8755407,7.4648495,1.9529651,0.18813604,0.18813604,0.15970394,0.005481251,83.023575,83.023575,84.347244,24.655008,0.63452387,0.63452387,0.6440075,0.010398179
2019-05-10,ΔΗΜΟΣ ΤΕΜΠΩΝ,8.145597,8.145597,7.866518,1.720863,139.57333,139.57333,139.92133,5.3131576,1.0939637,1.0939637,1.1310141,0.06851756,7.0573645,7.0573645,6.9355583,1.6871389,0.13051979,0.13051979,0.11082995,0.0024435525,87.4967,87.4967,87.706276,5.4633594,0.9810413,0.9810413,1.0228581,0.17452419
2019-05-11,ΔΗΜΟΣ ΤΕΜΠΩΝ,5.332666,5.332666,5.3688707,0.13843973,135.09438,135.09438,136.47437,21.063179,0.6835536,0.6835536,0.69446003,0.03366564,4.553804,4.553804,4.495273,0.11188586,0.10995437,0.10995437,0.11602453,0.00089078146,88.08761,88.08761,87.88617,5.9033613,0.97605056,0.97605056,0.9765096,0.019576382
2019-05-12,ΔΗΜΟΣ ΤΕΜΠΩΝ,11.571891,11.571891,11.27611,1.5246928,171.469,171.469,169.67789,91.72634,0.87552327,0.87552327,0.95953214,0.030906752,9.324665,9.324665,9.257534,0.44393367,0.10078205,0.10078205,0.0983289,0.00062743924,90.82774,90.82774,90.33358,8.288591,0.87104356,0.87104356,0.8865668,0.006030597
2019-05-13,ΔΗΜΟΣ ΤΕΜΠΩΝ,10.920038,10.920038,10.773203,3.1195095,142.50813,142.50813,141.42633,22.144623,0.7306974,0.7306974,0.66807663,0.03940368,8.393787,8.393787,8.221309,1.8054771,0.13068637,0.13068637,0.12888801,0.0019876636,89.8662,89.8662,89.73407,1.0343027,1.2167647,1.2167647,1.1679262,0.04688332
2019-05-14,ΔΗΜΟΣ ΤΕΜΠΩΝ,9.660166,9.660166,8.61845,5.7899437,134.89923,134.89923,135.01663,5.291902,1.4380357,1.4380357,1.5958399,0.16652985,7.239225,7.239225,6.885676,1.9699447,0.18913355,0.18913355,0.19739094,0.0028871389,85.2554,85.2554,85.58125,9.418172,0.5499217,0.5499217,0.55208457,0.005422351
2019-05-15,ΔΗΜΟΣ ΤΕΜΠΩΝ,5.4891114,5.4891114,5.3472366,0.82647246,132.64804,132.64804,132.5389,6.919735,1.1007714,1.1007714,1.148397,0.053608812,4.838866,4.838866,4.6568365,0.7388113,0.17300528,0.17300528,0.1775856,0.0021125535,85.19591,85.19591,85.26199,4.2342234,0.40369123,0.40369123,0.3171443,0.05075155
2019-05-16,ΔΗΜΟΣ ΤΕΜΠΩΝ,5.0808663,5.0808663,4.9906883,0.54397875,137.86203,137.86203,137.87085,4.39398,1.2007549,1.2007549,1.2418759,0.062464975,4.1567926,4.1567926,4.090579,0.140886,0.19907475,0.19907475,0.18261573,0.0038025517,94.30288,94.30288,93.63924,6.120872,0.25235584,0.25235584,0.24422793,0.0024503407
2019-05-17,ΔΗΜΟΣ ΤΕΜΠΩΝ,5.5469613,5.5469613,5.649083,0.26277027,137.93283,137.93283,137.2027,18.514704,1.158464,1.158464,1.2113426,0.08876788,4.757468,4.757468,4.7717133,0.22180715,0.16871424,0.16871424,0.17508711,0.0047805323,89.04715,89.04715,90.54962,16.666931,0.33925438,0.33925438,0.32075042,0.0018156476
