Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,15.132649,15.132649,15.110014,0.73691934,173.33456,173.33456,171.87473,35.007534,1.4577496,1.4577496,1.4632846,0.13840654,10.55913,10.55913,10.4704685,0.1356202,0.21370098,0.21370098,0.19785419,0.005627654,99.483696,99.483696,99.00528,3.685718,2.0614533,2.0614533,2.0940652,0.21999371
2019-04-02,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,21.95138,21.95138,21.84068,0.22865781,169.64993,169.64993,168.57333,18.851496,1.0100621,1.0100621,0.9712693,0.09766539,15.589968,15.589968,15.585056,0.042528138,0.14755237,0.14755237,0.14594547,0.0015229449,96.572464,96.572464,96.53408,0.25454444,1.9918239,1.9918239,2.015625,0.007508581
2019-04-03,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,13.277516,13.277516,13.266577,0.1912551,160.28404,160.28404,159.30472,53.101147,1.1705945,1.1705945,1.0989788,0.07830636,7.064532,7.064532,7.117938,0.020548923,0.13238686,0.13238686,0.1225613,0.001530317,87.944756,87.944756,88.404724,1.416862,1.6262077,1.6262077,1.6502924,0.046850085
2019-04-04,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,15.2220125,15.2220125,15.248183,0.012243541,162.40976,162.40976,161.51862,16.662613,1.1589884,1.1589884,1.159087,0.088205434,8.599751,8.599751,8.568536,0.107508436,0.15786271,0.15786271,0.14773959,0.0020277607,86.889465,86.889465,86.94223,0.5377026,1.2446811,1.2446811,1.2342838,0.0069278004
2019-04-05,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,16.74371,16.74371,16.792276,0.15417418,176.60074,176.60074,173.94157,62.7855,1.2727566,1.2727566,1.2796211,0.0661576,12.285326,12.285326,12.2307415,0.20946832,0.14583746,0.14583746,0.13528731,0.0027190754,95.01678,95.01678,96.59703,17.206886,1.4435272,1.4435272,1.4648691,0.02657861
2019-04-06,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,15.600436,15.600436,16.054848,4.026095,165.09618,165.09618,164.28088,51.364735,0.9240433,0.9240433,0.8871999,0.09687019,13.503935,13.503935,13.70464,1.9399351,0.10157102,0.10157102,0.09286882,0.0015934292,100.7983,100.7983,100.59552,2.40833,2.695356,2.695356,2.8037233,0.14060505
2019-04-07,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,18.51589,18.51589,18.619743,6.3829126,157.69644,157.69644,156.39583,20.010998,0.86382025,0.86382025,0.8405223,0.07874303,16.396505,16.396505,16.430405,1.9138167,0.10658248,0.10658248,0.100685686,0.0015229478,95.41384,95.41384,95.07384,3.9975178,1.1597435,1.1597435,1.0925163,0.06737922
2019-04-08,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,8.487059,8.487059,7.266692,9.96402,167.64803,167.64803,160.85712,258.55103,1.510425,1.510425,1.2988098,0.5166813,6.8502135,6.8502135,6.09856,5.1432543,0.15888067,0.15888067,0.11914124,0.0050144615,79.687645,79.687645,80.238525,8.269735,0.4205802,0.4205802,0.29787868,0.050852
2019-04-09,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,4.678322,4.678322,4.8096447,0.9380051,156.42696,156.42696,154.8721,21.00154,2.9227958,2.9227958,3.1366506,0.65501654,4.045581,4.045581,4.105506,0.8330881,0.48602074,0.48602074,0.5598076,0.040073857,74.39131,74.39131,74.62544,30.572063,4.002721,4.002721,3.3107655,6.268752
2019-04-10,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,6.7406793,6.7406793,6.377457,2.2942355,159.41156,159.41156,159.54785,12.07255,1.1859215,1.1859215,1.1229824,0.21015945,5.908833,5.908833,5.496505,1.7232336,0.15038382,0.15038382,0.12848738,0.0054210215,78.77497,78.77497,77.79972,7.894969,1.598341,1.598341,1.3344631,1.4280955
