Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,15.184127,15.184127,15.153669,0.67192006,173.78946,173.78946,173.66122,13.407782,0.9171384,0.9171384,0.90163076,0.03140528,11.216768,11.216768,11.271784,0.15166676,0.11883885,0.11883885,0.11709835,0.00047450067,98.164055,98.164055,99.29216,8.805927,1.4130297,1.4130297,1.2660166,0.11221266
2019-04-02,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,21.931713,21.931713,22.08144,0.33544582,166.52179,166.52179,167.7862,9.384164,0.79552454,0.79552454,0.7915375,0.008393631,15.192837,15.192837,15.196703,0.0017093238,0.11177059,0.11177059,0.11168577,0.00028097018,95.57358,95.57358,95.641945,0.05063423,1.9631531,1.9631531,1.943377,0.0051795216
2019-04-03,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,12.660216,12.660216,12.6882515,0.3929682,160.77841,160.77841,158.98116,18.449558,0.9306218,0.9306218,0.902471,0.019165557,7.1309514,7.1309514,7.1264644,0.150159,0.1121554,0.1121554,0.11203727,0.0008833476,88.952255,88.952255,88.946655,0.8066149,1.3688322,1.3688322,1.3380656,0.013438677
2019-04-04,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,14.21187,14.21187,14.30373,0.30176443,167.80103,167.80103,164.89545,83.31384,0.9798126,0.9798126,0.87871397,0.08984777,8.288132,8.288132,8.291922,0.07201305,0.10904477,0.10904477,0.100259356,0.0010191917,86.51077,86.51077,86.4701,0.62776184,1.1139941,1.1139941,1.1177619,0.0027530277
2019-04-05,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,18.63764,18.63764,18.516678,0.9843309,193.6179,193.6179,191.75551,227.63971,1.6875012,1.6875012,1.3703007,0.5951077,13.074703,13.074703,12.9605255,1.0650694,0.1883149,0.1883149,0.14691179,0.009204488,91.54136,91.54136,92.61699,20.69535,1.3807089,1.3807089,1.4142714,0.020571062
2019-04-06,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,13.690246,13.690246,13.465515,3.3218446,167.38599,167.38599,167.99203,42.109276,1.0632887,1.0632887,0.9316106,0.24219242,12.221863,12.221863,12.056637,3.0793953,0.08995027,0.08995027,0.081039175,0.0015727719,97.89557,97.89557,99.92282,24.048082,2.2991414,2.2991414,2.290008,0.3935034
2019-04-07,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,20.103569,20.103569,20.281704,2.1299212,157.02002,157.02002,157.45976,4.695716,0.7525962,0.7525962,0.6896137,0.087883875,16.87371,16.87371,16.279564,2.4500127,0.07824452,0.07824452,0.071885616,0.0007994251,95.39229,95.39229,95.62562,1.4743614,1.2056205,1.2056205,1.287404,0.051761247
2019-04-08,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,4.902194,4.902194,4.9856796,0.3723431,150.0039,150.0039,149.93445,2.2058492,0.90038174,0.90038174,0.86868626,0.08196905,3.9598057,3.9598057,4.0631037,0.06454394,0.1315169,0.1315169,0.1160637,0.0023409408,79.866066,79.866066,79.756485,1.8638008,0.2785741,0.2785741,0.273571,0.0031127012
2019-04-09,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,2.8470025,2.8470025,2.8946462,0.037608918,157.82397,157.82397,158.91309,17.74467,1.2882891,1.2882891,1.220782,0.0498837,2.3901095,2.3901095,2.3857563,0.012711071,0.15797436,0.15797436,0.14644226,0.00069535594,77.47486,77.47486,76.75531,8.022596,0.53151315,0.53151315,0.45835388,0.06304721
2019-04-10,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,5.0387273,5.0387273,4.9344015,0.16897087,160.21591,160.21591,159.93297,5.9867105,0.7773628,0.7773628,0.7169108,0.06448443,4.606974,4.606974,4.570941,0.07123795,0.10025751,0.10025751,0.09578287,0.0006265077,74.99356,74.99356,74.705795,3.239426,0.2646203,0.2646203,0.23265657,0.0057013477
