Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,17.29605,17.29605,17.188194,0.68913406,176.18306,176.18306,176.66486,5.0832114,0.99775386,0.99775386,0.9826415,0.0067780945,10.617738,10.617738,10.609661,0.20500784,0.17880727,0.17880727,0.17735237,0.0003141888,92.98641,92.98641,92.44061,6.9878864,2.352766,2.352766,2.3464963,0.10048503
2019-04-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,21.463387,21.463387,21.189579,1.7954806,167.68639,167.68639,168.5678,9.205049,0.9577465,0.9577465,0.95726454,0.022842377,15.642657,15.642657,15.616888,0.09358875,0.15336606,0.15336606,0.15620571,0.0006677038,93.6594,93.6594,93.27486,1.3163222,1.7245842,1.7245842,1.710088,0.008289361
2019-04-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,9.993428,9.993428,10.060467,1.3056328,158.9388,158.9388,160.19351,10.784936,1.1592256,1.1592256,1.1885958,0.055247158,6.514878,6.514878,6.480425,0.031084882,0.14746077,0.14746077,0.15204972,0.00072893704,89.21723,89.21723,89.26254,1.6785434,1.1631963,1.1631963,1.1864288,0.00936142
2019-04-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,14.578472,14.578472,14.580614,0.096989274,161.87985,161.87985,162.08212,10.173688,1.1381029,1.1381029,1.0982113,0.060086187,7.4142475,7.4142475,7.359988,0.06806148,0.1757092,0.1757092,0.18407676,0.001082061,84.31686,84.31686,84.25902,1.6520113,1.4052095,1.4052095,1.3987318,0.012109636
2019-04-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,17.09817,17.09817,16.672222,2.6692884,187.67828,187.67828,185.75017,49.262623,1.2587935,1.2587935,1.1942034,0.089644216,11.674889,11.674889,11.414584,1.4164447,0.15860523,0.15860523,0.16598275,0.00089552626,98.59103,98.59103,99.54306,7.212671,1.752055,1.752055,1.7822188,0.018157123
2019-04-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,20.42431,20.42431,20.900606,1.5045558,171.21944,171.21944,171.22888,3.7327669,1.039905,1.039905,1.011218,0.013552853,17.429512,17.429512,17.621265,5.8870316,0.097340345,0.097340345,0.1004965,0.00016518694,99.660515,99.660515,100.029495,1.6231875,3.375985,3.375985,3.3061128,0.111590296
2019-04-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,19.540138,19.540138,18.994213,1.530293,164.30443,164.30443,164.3664,15.356032,0.8910479,0.8910479,0.89365315,0.019369947,18.811632,18.811632,18.565224,2.2041216,0.1256361,0.1256361,0.12994051,0.00042097937,93.08437,93.08437,93.50932,2.0550616,1.4323713,1.4323713,1.4876918,0.014921781
2019-04-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,5.4220567,5.4220567,5.3964586,1.0914634,152.47319,152.47319,155.14555,52.544598,1.43587,1.43587,1.4720187,0.1500548,4.7910895,4.7910895,4.986159,0.6688523,0.16669136,0.16669136,0.16461864,0.0015757306,77.108604,77.108604,77.6266,13.884094,0.21245724,0.21245724,0.20746568,0.001064333
2019-04-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,2.6745536,2.6745536,2.490653,0.34008554,162.96875,162.96875,164.194,10.802154,1.2684216,1.2684216,1.2722218,0.036037028,2.4669638,2.4669638,2.2075324,0.38238785,0.20570196,0.20570196,0.20283093,0.0017091143,80.214554,80.214554,82.391594,14.270181,0.2860177,0.2860177,0.24968705,0.020915812
2019-04-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,6.0923233,6.0923233,6.2161922,0.11062252,158.54305,158.54305,159.35764,6.849819,1.0056328,1.0056328,1.0445101,0.033044286,5.3649745,5.3649745,5.307333,0.22717802,0.18003088,0.18003088,0.18881956,0.0007698874,76.9239,76.9239,77.64595,3.2765026,0.28845254,0.28845254,0.27425528,0.002635867
2019-04-11,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,4.4200783,4.4200783,4.200656,0.34595492,136.6245,136.6245,137.00589,3.7194111,0.63105077,0.63105077,0.6572982,0.01109989,3.4367037,3.4367037,3.33768,0.048235234,0.09736887,0.09736887,0.108009845,0.0009375298,89.50074,89.50074,89.38208,1.1031879,0.12651035,0.12651035,0.12111201,0.000596092
2019-04-12,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,3.607397,3.607397,3.5242944,0.12755941,131.67987,131.67987,130.4349,6.847283,0.851855,0.851855,0.8722811,0.0281829,3.1078765,3.1078765,2.9763052,0.13545649,0.13735406,0.13735406,0.14091307,0.0009092979,79.07261,79.07261,78.95238,7.412585,0.09143099,0.09143099,0.08672957,0.00030773433
2019-04-13,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,5.087703,5.087703,5.084828,0.03890234,141.49736,141.49736,141.45657,3.775798,0.85127586,0.85127586,0.8741636,0.010385486,3.4960718,3.4960718,3.2854857,0.313256,0.12305549,0.12305549,0.123609565,0.0004750387,84.75352,84.75352,82.50746,28.789392,0.2959896,0.2959896,0.26227555,0.00800538
2019-04-14,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,5.7793,5.7793,5.5939436,0.53027934,152.95284,152.95284,152.15024,12.580601,1.0386114,1.0386114,1.0324006,0.034171067,5.5433106,5.5433106,5.3930674,0.54490525,0.133752,0.133752,0.14511403,0.0007966118,85.15612,85.15612,85.53635,1.5862559,0.32675257,0.32675257,0.32209614,0.007822533
2019-04-15,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,9.37082,9.37082,9.427468,0.27630588,170.47246,170.47246,168.58047,25.156174,1.2042001,1.2042001,1.1292903,0.06128415,7.9109282,7.9109282,8.119282,0.5949519,0.17202605,0.17202605,0.1768903,0.00046557296,79.43867,79.43867,79.5612,20.186516,1.029021,1.029021,0.99574745,0.022694519
2019-04-16,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,15.2907915,15.2907915,15.245811,0.3650011,168.61473,168.61473,168.03874,8.011319,1.0300785,1.0300785,1.0214987,0.019536944,14.678295,14.678295,14.732313,0.28749207,0.18208455,0.18208455,0.18723524,0.00082153414,82.73769,82.73769,82.75467,7.6769314,1.7353183,1.7353183,1.6698322,0.083984375
2019-04-17,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,16.329454,16.329454,16.497833,2.0981698,183.96466,183.96466,182.92328,14.09877,1.2818137,1.2818137,1.3119035,0.05429433,15.542298,15.542298,15.595249,1.9954818,0.17367499,0.17367499,0.17955145,0.0009988934,92.36898,92.36898,92.47193,11.653915,5.1928916,5.1928916,5.1185865,1.0499581
2019-04-18,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,9.13536,9.13536,9.060419,0.12848437,162.43524,162.43524,163.82791,14.373651,0.8824821,0.8824821,0.89132255,0.025471931,8.956524,8.956524,8.869432,0.15177135,0.12966636,0.12966636,0.13741897,0.00083746575,90.4497,90.4497,90.09285,1.5013185,1.0359746,1.0359746,1.0179398,0.016008556
