Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,22.002636,22.002636,22.273636,7.0075665,250.58337,250.58337,222.07202,4854.3745,4.8820305,4.8820305,4.8280897,5.6565275,18.57676,18.57676,18.979517,10.002526,0.7133355,0.7133355,0.51898795,0.16261272,110.36426,110.36426,111.851074,37.133904,4.023362,4.023362,3.6769166,1.6083058
2019-04-02,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,30.13267,30.13267,30.289558,0.4686833,208.10724,208.10724,205.7177,196.62186,3.1644173,3.1644173,2.7291164,0.93684953,21.132065,21.132065,21.261211,0.15448411,0.5007745,0.5007745,0.39102587,0.06456796,99.39534,99.39534,99.68553,1.0780125,4.8834915,4.8834915,4.5507064,0.4552002
2019-04-03,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,11.076185,11.076185,10.508591,1.3818934,174.15471,174.15471,168.7265,135.15576,2.3436942,2.3436942,2.1808617,0.25147927,8.178015,8.178015,8.038694,0.3642186,0.28669554,0.28669554,0.2647196,0.006218588,90.73114,90.73114,90.34073,0.52606255,2.3298411,2.3298411,2.1600215,1.1430161
2019-04-04,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,15.869425,15.869425,16.024494,0.5049336,173.60648,173.60648,170.47134,51.174446,2.0081396,2.0081396,1.8254268,0.45245272,9.190741,9.190741,9.245001,0.11001978,0.29324764,0.29324764,0.28977352,0.006306302,88.84239,88.84239,88.08145,3.598,2.4709158,2.4709158,2.401407,0.43371683
2019-04-05,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,17.783852,17.783852,17.788174,0.51981187,182.37192,182.37192,181.50127,28.076687,2.2186105,2.2186105,2.0735888,0.60264266,11.788376,11.788376,11.674473,0.4717534,0.25493938,0.25493938,0.2365512,0.0060998937,98.09756,98.09756,98.23389,1.0873708,3.2479763,3.2479763,3.3792844,0.14086568
2019-04-06,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,19.982834,19.982834,20.100193,1.1803097,186.69745,186.69745,186.55946,99.5457,2.0906544,2.0906544,1.8841286,1.0678033,16.313217,16.313217,16.438766,0.24558574,0.20601787,0.20601787,0.17303848,0.011256603,101.61467,101.61467,101.93588,7.6273746,4.928529,4.928529,4.767728,1.6672133
2019-04-07,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,30.345001,30.345001,30.167328,2.101252,188.02638,188.02638,186.31192,59.617817,2.217991,2.217991,2.1084895,0.28854716,24.695805,24.695805,24.804195,3.71403,0.2606466,0.2606466,0.2395506,0.006515937,105.9657,105.9657,105.58936,2.4662135,4.124608,4.124608,4.072263,1.7296875
2019-04-08,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,14.749773,14.749773,14.596196,3.755855,225.04382,225.04382,222.90027,251.5484,4.393759,4.393759,4.494774,3.1621103,12.061686,12.061686,11.680925,3.1729913,0.46270755,0.46270755,0.4075319,0.04325789,79.94498,79.94498,79.67451,4.1884704,1.5256433,1.5256433,1.3202679,0.3174264
2019-04-09,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,6.875861,6.875861,7.097798,0.8892764,181.1246,181.1246,181.58922,13.330629,2.3198814,2.3198814,2.081935,0.48621517,6.465889,6.465889,6.673617,0.8384156,0.3648662,0.3648662,0.33675402,0.009509929,71.3386,71.3386,71.43089,5.5920773,1.618652,1.618652,1.6067437,0.14642909
2019-04-10,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,14.40508,14.40508,14.078299,0.5628677,185.62721,185.62721,186.20267,44.343983,2.8003075,2.8003075,3.0453806,0.9241583,13.098328,13.098328,13.047748,0.9391664,0.363147,0.363147,0.32426056,0.026935712,88.22471,88.22471,88.713875,3.5555573,2.1145813,2.1145813,2.025658,0.56244123
2019-04-11,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,8.961093,8.961093,9.020196,0.04679191,162.1934,162.1934,161.24892,45.736397,2.9347014,2.9347014,2.8052511,0.45609415,7.047736,7.047736,7.1111736,0.08842161,0.3424472,0.3424472,0.30043015,0.013117614,100.57857,100.57857,100.841515,5.286961,2.1602666,2.1602666,1.944791,0.24684183
2019-04-12,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,9.15828,9.15828,9.063885,0.2386015,159.3309,159.3309,157.27017,23.327873,2.6701674,2.6701674,2.5110147,0.63257915,7.1298113,7.1298113,7.282962,0.24779573,0.30535898,0.30535898,0.29046988,0.009990754,94.09599,94.09599,93.96673,3.26923,0.8453334,0.8453334,0.7411394,0.07066518
2019-04-13,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,11.179764,11.179764,11.0839405,0.2265411,173.20206,173.20206,173.73465,46.223373,1.6833466,1.6833466,1.3549168,0.41523477,9.556999,9.556999,9.46637,0.25572085,0.18625101,0.18625101,0.17111112,0.004058092,88.08493,88.08493,90.10214,19.84763,2.0274591,2.0274591,2.1503863,0.1409385
2019-04-14,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,10.294386,10.294386,10.077241,0.40353262,207.42326,207.42326,200.54428,343.40027,3.316824,3.316824,3.1998525,0.36822152,9.920486,9.920486,9.7897215,0.2778652,0.30732054,0.30732054,0.2800692,0.008129032,92.93785,92.93785,93.396164,19.59426,2.5130405,2.5130405,2.4293385,0.3194151
2019-04-15,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,11.475167,11.475167,11.405449,1.2421192,203.29538,203.29538,202.31218,80.96413,2.3303375,2.3303375,2.2216434,0.7522746,10.837187,10.837187,10.832503,0.8382787,0.37854546,0.37854546,0.34466368,0.057616055,70.681305,70.681305,70.04001,8.476435,2.882256,2.882256,2.5684628,0.45263913
2019-04-16,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,13.805076,13.805076,14.376518,1.9957774,182.53766,182.53766,182.93811,19.271769,2.2214499,2.2214499,2.1031792,0.4821431,11.547342,11.547342,11.7666855,1.1329204,0.32041448,0.32041448,0.31298,0.0056109317,88.595856,88.595856,88.42769,1.7340031,2.9246497,2.9246497,2.707786,1.1037742
2019-04-17,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,7.8428526,7.8428526,7.9313335,0.6892592,157.9632,157.9632,157.13544,15.404829,1.3723875,1.3723875,1.1934844,0.3016804,6.620121,6.620121,6.485654,0.14928892,0.2676472,0.2676472,0.19797762,0.04243022,102.7506,102.7506,102.01309,4.5336857,1.6371028,1.6371028,1.6624142,0.02150349
2019-04-18,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,14.269639,14.269639,14.373318,0.20733227,182.38815,182.38815,182.52628,24.272781,2.4373996,2.4373996,2.2865336,0.50351036,13.308611,13.308611,13.434364,0.29562533,0.2988787,0.2988787,0.28133053,0.0072904574,100.779724,100.779724,100.53151,4.3477855,3.4346023,3.4346023,3.2944975,0.20360392
2019-04-19,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,9.108516,9.108516,9.068726,0.13300525,167.89526,167.89526,168.2431,6.350789,1.1166552,1.1166552,1.0656329,0.06958252,8.172379,8.172379,8.146937,0.07430343,0.18426931,0.18426931,0.1490002,0.005458142,89.4839,89.4839,89.58577,8.159735,0.9341203,0.9341203,0.92100906,0.032665543
2019-04-20,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,9.762406,9.762406,9.784134,0.026189182,168.51813,168.51813,167.22536,11.429296,1.5227718,1.5227718,1.4096534,0.15373887,7.991742,7.991742,7.9496064,0.17113979,0.18718448,0.18718448,0.17898571,0.0015904903,91.97899,91.97899,91.80222,2.0587587,1.9121363,1.9121363,1.581661,0.4781868
2019-04-21,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,9.95111,9.95111,9.750608,0.6837932,169.03082,169.03082,168.65738,22.717468,1.6860144,1.6860144,1.6627929,0.2525936,8.271662,8.271662,8.153748,0.10881448,0.24089861,0.24089861,0.2318534,0.0059314254,98.700165,98.700165,98.83424,1.0518322,2.213704,2.213704,2.0155005,0.40185007
2019-04-22,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,8.622,8.622,8.580263,0.026604433,159.76727,159.76727,158.46646,10.877011,2.1875868,2.1875868,2.051094,0.30534345,6.9765687,6.9765687,6.973009,0.020074625,0.2591607,0.2591607,0.23780978,0.005689213,97.85611,97.85611,97.95723,0.61266637,1.6181004,1.6181004,1.6966126,0.07211028
2019-04-23,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,14.538502,14.538502,14.606464,0.2967087,168.02414,168.02414,166.37405,11.583497,2.272551,2.272551,1.9701333,0.57154614,12.93992,12.93992,13.008211,0.15820448,0.27973592,0.27973592,0.22042757,0.010694023,102.11284,102.11284,102.634,2.3788722,3.1723084,3.1723084,2.9968843,0.22982919
2019-04-24,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,29.045229,29.045229,28.625948,2.8912458,166.42453,166.42453,163.58292,71.85287,2.3313973,2.3313973,1.919183,0.6593094,19.953495,19.953495,19.712719,0.57457864,0.29035246,0.29035246,0.24126995,0.015552578,100.76081,100.76081,100.49606,1.100971,2.6506495,2.6506495,2.243695,1.1302781
2019-04-25,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,71.67929,71.67929,70.85082,77.99498,165.83583,165.83583,161.89604,115.88091,3.348952,3.348952,2.882242,1.2515109,37.208992,37.208992,36.149483,8.575912,0.28629985,0.28629985,0.27694577,0.0075114053,93.730606,93.730606,93.450806,2.707717,1.9476745,1.9476745,1.6519661,0.54690266
2019-04-26,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,84.449936,84.449936,83.756454,8.697891,179.12392,179.12392,178.65344,61.51875,3.7682676,3.7682676,3.5194006,0.811792,46.066772,46.066772,45.90382,2.0657356,0.49435008,0.49435008,0.46275714,0.031966683,102.24953,102.24953,102.52989,4.6015797,3.2103386,3.2103386,3.0536427,0.35597605
2019-04-27,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,81.02787,81.02787,80.57092,14.297075,172.76231,172.76231,172.77856,95.7141,2.710525,2.710525,2.5036259,0.7017573,32.295216,32.295216,34.057816,10.425066,0.29436988,0.29436988,0.24507332,0.010964013,86.01376,86.01376,85.65759,3.2352529,1.9681555,1.9681555,1.522821,1.01007
