Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,24.628893,24.628893,24.472168,0.23610546,273.82465,273.82465,272.27588,132.50272,9.684999,9.684999,9.511061,8.527676,21.62941,21.62941,21.354946,0.34217134,1.1018173,1.1018173,1.100453,0.13906059,97.72182,97.72182,97.632416,9.808154,7.4896836,7.4896836,7.5037932,3.9869928
2019-04-02,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,26.465523,26.465523,26.48242,4.9167066,222.30003,222.30003,222.80847,17.881264,5.56615,5.56615,5.4511166,2.297778,21.575897,21.575897,21.560436,0.0067945383,0.6242793,0.6242793,0.61405104,0.031676225,99.06357,99.06357,99.43106,2.0826056,8.536414,8.536414,8.60793,0.072051704
2019-04-03,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,11.924725,11.924725,11.963484,0.23788705,205.70743,205.70743,203.40793,87.6947,5.7279673,5.7279673,5.5913177,1.2026725,8.610212,8.610212,8.61235,0.06679799,0.66985416,0.66985416,0.6496961,0.028431822,89.36885,89.36885,89.16884,0.43483007,5.8216896,5.8216896,5.7587357,0.07966292
2019-04-04,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,17.029173,17.029173,17.034431,0.11070954,206.36966,206.36966,206.55905,68.81995,4.4487953,4.4487953,4.414975,1.564529,9.978161,9.978161,9.934611,0.039683044,0.7000302,0.7000302,0.6328715,0.054770082,90.54128,90.54128,90.7363,1.2048583,5.315682,5.315682,5.4981904,0.22233453
2019-04-05,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,15.496246,15.496246,15.43622,0.6287014,212.26904,212.26904,210.57095,41.60843,4.8239326,4.8239326,4.774603,1.56021,11.6221895,11.6221895,11.629723,0.13959558,0.42824233,0.42824233,0.4207514,0.016049841,94.30259,94.30259,94.72798,1.1875437,6.7115307,6.7115307,6.5926,0.6226038
2019-04-06,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,18.810246,18.810246,18.950336,0.8419117,183.0896,183.0896,185.88614,122.015015,1.7652096,1.7652096,1.6355791,0.8668789,15.859432,15.859432,15.776156,0.769781,0.15798917,0.15798917,0.14671731,0.008777994,98.95392,98.95392,99.509964,3.993747,4.698361,4.698361,4.7278376,0.87891597
2019-04-07,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,26.875063,26.875063,27.504951,12.50234,209.48534,209.48534,208.85144,52.50171,4.214229,4.214229,4.4426546,0.46584058,23.110546,23.110546,23.136831,2.2572591,0.51074344,0.51074344,0.4697398,0.036186248,102.809044,102.809044,103.7511,14.94121,6.8851414,6.8851414,7.235961,3.8439977
2019-04-08,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,12.25083,12.25083,11.84074,4.6545935,214.64153,214.64153,214.58243,517.82166,5.299572,5.299572,5.6234784,11.809355,9.733206,9.733206,9.901637,3.1596758,0.42367584,0.42367584,0.40788627,0.045898974,75.904465,75.904465,75.72649,1.5297745,2.3511322,2.3511322,2.3498445,2.549755
2019-04-09,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,5.9063244,5.9063244,5.834531,0.17406315,184.47673,184.47673,183.8461,82.45026,2.464438,2.464438,2.3115647,0.26391655,5.5755653,5.5755653,5.509098,0.11436776,0.36033383,0.36033383,0.33551323,0.010897867,76.21713,76.21713,76.15232,0.14971276,1.9252801,1.9252801,1.9454594,0.09466016
2019-04-10,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,17.490015,17.490015,17.277723,0.91398156,209.21477,209.21477,209.58345,228.15323,4.9935927,4.9935927,4.913255,1.7829263,16.33305,16.33305,16.217728,2.0273044,0.52396166,0.52396166,0.52251977,0.03946732,88.979996,88.979996,88.80027,0.47152987,5.301006,5.301006,4.921574,2.2508368
2019-04-11,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,8.714918,8.714918,8.66339,0.0414179,169.08572,169.08572,168.31583,61.24164,4.3863897,4.3863897,4.3474555,1.3361663,7.0990763,7.0990763,7.1025333,0.012567365,0.6667576,0.6667576,0.6510812,0.046474807,104.149826,104.149826,103.761665,2.6976326,5.997517,5.997517,5.7020626,0.34594378
2019-04-12,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,8.236956,8.236956,8.097191,0.39592415,188.34106,188.34106,187.13713,81.47199,5.5573077,5.5573077,5.5039825,3.2682006,6.7796273,6.7796273,6.830026,0.3625931,0.64660144,0.64660144,0.59384406,0.061812904,89.63296,89.63296,89.86893,10.102437,4.6295633,4.6295633,4.7584343,2.1403449
2019-04-13,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,9.91416,9.91416,9.891649,1.0049504,180.49986,180.49986,179.92953,111.90413,2.8302593,2.8302593,2.6418662,2.7479982,8.483589,8.483589,8.608191,0.63166887,0.29024783,0.29024783,0.2643805,0.019796163,90.66395,90.66395,89.936066,3.228147,2.934442,2.934442,2.7535238,1.3699985
2019-04-14,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,7.160925,7.160925,7.4788857,1.5920087,236.20886,236.20886,237.9145,246.81621,5.929106,5.929106,5.883731,0.7488432,6.816494,6.816494,7.022747,1.4496744,0.5985708,0.5985708,0.6292325,0.0048724185,85.61844,85.61844,86.47207,12.769672,4.0234804,4.0234804,4.0936565,0.48767766
