Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,Άγιο Όρος (Αυτοδιοίκητο),15.844254,15.844254,16.031944,0.39025676,152.07591,152.07591,151.65842,10.714879,0.34641713,0.34641713,0.33870864,0.002061378,12.812939,12.812939,12.723288,0.6796546,0.057291295,0.057291295,0.056136444,2.3203436e-05,91.38155,91.38155,90.9028,2.860559,3.4251056,3.4251056,3.574101,0.94112563
2019-04-02,Άγιο Όρος (Αυτοδιοίκητο),16.058796,16.058796,16.183784,0.450431,164.00948,164.00948,163.56708,2.677607,0.61538154,0.61538154,0.6110419,0.00011500552,11.538714,11.538714,11.561452,0.027152974,0.07126033,0.07126033,0.071622714,1.7348876e-06,96.8658,96.8658,97.09309,0.86953795,1.453742,1.453742,1.48313,0.028201178
2019-04-03,Άγιο Όρος (Αυτοδιοίκητο),7.819951,7.819951,7.8107386,0.024520349,159.48663,159.48663,159.37436,0.25824377,0.42468786,0.42468786,0.41924864,0.00018218666,4.948061,4.948061,4.9239664,0.014536412,0.03733436,0.03733436,0.037567064,2.3588432e-06,99.506165,99.506165,99.362366,3.2543268,1.3387513,1.3387513,1.2932234,0.009864678
2019-04-04,Άγιο Όρος (Αυτοδιοίκητο),10.601688,10.601688,10.602768,0.084086575,163.64316,163.64316,164.18105,5.7490263,0.44689584,0.44689584,0.44675374,7.19447e-05,6.902754,6.902754,6.9314456,0.10008681,0.055440098,0.055440098,0.055610627,2.6204818e-06,104.69709,104.69709,104.963776,1.1538754,2.721844,2.721844,2.8268943,0.05320832
2019-04-05,Άγιο Όρος (Αυτοδιοίκητο),19.408623,19.408623,19.13306,7.3561172,183.7124,183.7124,183.64716,6.1458797,0.46639973,0.46639973,0.4615236,0.00021589885,17.523518,17.523518,17.591105,9.369952,0.036284722,0.036284722,0.036669306,1.8051203e-05,106.02492,106.02492,105.951126,0.38964072,3.196316,3.196316,3.2002916,0.0076080286
2019-04-06,Άγιο Όρος (Αυτοδιοίκητο),34.45819,34.45819,34.18858,9.902913,183.62784,183.62784,183.55212,0.09167607,1.006786,1.006786,0.99226785,0.0047306446,25.22339,25.22339,25.1188,0.33999225,0.073899105,0.073899105,0.071790576,7.148699e-05,105.210144,105.210144,105.87661,2.6270294,6.3058977,6.3058977,6.382134,0.2662006
2019-04-07,Άγιο Όρος (Αυτοδιοίκητο),14.956711,14.956711,15.313858,1.9748693,163.16397,163.16397,163.32425,1.1192269,0.68312824,0.68312824,0.68408924,0.013968322,11.808411,11.808411,11.93494,4.3948603,0.06996537,0.06996537,0.06946799,0.00014010994,88.893524,88.893524,88.51109,0.46670964,1.3397425,1.3397425,1.3562413,0.31362706
2019-04-08,Άγιο Όρος (Αυτοδιοίκητο),12.78893,12.78893,12.657125,0.7270483,150.23961,150.23961,150.07413,7.725254,0.46969342,0.46969342,0.4582306,0.0045406804,6.816984,6.816984,6.7935734,0.080709554,0.03888455,0.03888455,0.03822552,3.2857429e-06,87.17308,87.17308,87.08855,0.9235158,0.37516087,0.37516087,0.3749015,0.0024967194
2019-04-09,Άγιο Όρος (Αυτοδιοίκητο),6.767797,6.767797,6.8100424,0.017283073,137.82977,137.82977,137.30524,5.0405245,0.56340927,0.56340927,0.5799294,0.0117094945,5.3780766,5.3780766,5.5798216,0.23717728,0.065971956,0.065971956,0.062379718,0.00045683316,91.084305,91.084305,91.12413,2.5035272,0.3503727,0.3503727,0.33936816,0.0027625826
2019-04-10,Άγιο Όρος (Αυτοδιοίκητο),10.760639,10.760639,10.350258,2.0491862,165.01396,165.01396,165.33904,1.5010355,0.5860501,0.5860501,0.5844407,0.00038814748,9.595181,9.595181,9.628719,0.9895104,0.07321337,0.07321337,0.0719033,1.1811066e-05,83.56037,83.56037,82.861206,7.6357946,1.8696263,1.8696263,1.8393607,0.006366882
