Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,15.577731,15.577731,13.999819,12.782141,161.62598,161.62598,150.00879,489.14282,1.0695709,1.0695709,0.9150511,0.33260554,11.499238,11.499238,10.555052,7.50233,0.14172791,0.14172791,0.1227818,0.005829246,91.11491,91.11491,91.19167,8.56285,3.7703962,3.7703962,3.2113228,7.34624
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,12.69945,12.69945,12.061706,20.612165,157.02104,157.02104,155.63046,59.781433,1.0483979,1.0483979,0.9090257,0.19662389,9.482608,9.482608,8.395959,15.441945,0.15152672,0.15152672,0.13080469,0.0064357272,91.97619,91.97619,92.35835,9.188555,3.3795311,3.3795311,2.2458267,6.8949966
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,9.428416,9.428416,8.360649,7.2716765,160.95987,160.95987,160.41815,14.954876,1.111617,1.111617,1.0416095,0.19867481,7.1160197,7.1160197,6.0413237,8.2491455,0.15148376,0.15148376,0.13583423,0.0042709503,88.62467,88.62467,88.87054,18.643616,3.682844,3.682844,2.3986003,7.7437005
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,12.890545,12.890545,12.750142,7.266301,165.36467,165.36467,165.21028,38.568134,0.93249714,0.93249714,0.92657256,0.15608047,9.534774,9.534774,8.939084,5.149078,0.14263156,0.14263156,0.13826096,0.0036024181,93.01634,93.01634,93.8609,28.115395,2.5310438,2.5310438,2.5846562,0.39508656
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,16.36858,16.36858,15.86084,11.505489,166.77179,166.77179,167.83066,168.46114,0.88840777,0.88840777,0.86691666,0.19719173,12.751207,12.751207,12.640184,7.744467,0.12556529,0.12556529,0.119117126,0.004437361,100.92146,100.92146,100.454865,12.388577,3.4792266,3.4792266,3.1972008,1.4869895
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,26.94565,26.94565,26.78535,11.828848,171.27034,171.27034,171.56876,132.07893,1.1403556,1.1403556,1.172838,0.25878534,23.316296,23.316296,23.154568,7.621124,0.110482715,0.110482715,0.10272494,0.0034700846,98.35451,98.35451,99.03444,13.850185,5.105104,5.105104,4.547104,2.1255937
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,15.793395,15.793395,14.988501,28.253971,163.22859,163.22859,161.7225,128.15022,1.2190219,1.2190219,1.0979555,0.64598197,13.093675,13.093675,12.968922,14.951195,0.10865125,0.10865125,0.09274359,0.005166928,80.631905,80.631905,80.76356,21.162817,1.3544124,1.3544124,1.0205312,1.670871
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,11.607547,11.607547,11.095097,4.990294,140.4895,140.4895,140.06451,37.880856,1.1129998,1.1129998,1.0192431,0.2562558,9.366088,9.366088,9.230991,2.7746644,0.10541162,0.10541162,0.09161837,0.0027180635,82.49483,82.49483,82.312256,8.041737,0.32688084,0.32688084,0.22113295,0.10595422
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,5.9966373,5.9966373,5.357849,3.4624295,144.71927,144.71927,145.95886,54.29196,1.3790501,1.3790501,1.3223506,0.3899889,5.549933,5.549933,5.0291348,3.2722065,0.16992661,0.16992661,0.14959706,0.0065017208,78.22625,78.22625,80.931,92.29455,1.9273422,1.9273422,1.8004323,1.7411833
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,9.077129,9.077129,9.095909,6.822511,161.40532,161.40532,161.30028,51.88121,1.2883835,1.2883835,1.1275582,0.5990267,8.24411,8.24411,8.359217,5.512358,0.15036446,0.15036446,0.12841809,0.008256606,82.41675,82.41675,82.53098,24.142656,2.0917754,2.0917754,1.3449154,4.4989905
