Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,15.025964,15.025964,14.712266,2.3046277,172.61278,172.61278,164.05093,590.0019,3.1767046,3.1767046,1.5024995,11.712742,11.601283,11.601283,11.609675,2.638061,0.61157316,0.61157316,0.28217164,0.5670319,94.95927,94.95927,95.03615,34.436813,4.9318247,4.9318247,5.005859,1.889609
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,22.796139,22.796139,23.19004,3.6546047,191.11674,191.11674,176.31737,864.45844,3.1105218,3.1105218,1.6881572,8.312178,15.0441675,15.0441675,15.500473,2.3556747,0.57085687,0.57085687,0.23764634,0.4464963,98.29344,98.29344,97.17169,23.883791,2.845387,2.845387,2.6854253,0.29772165
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,11.031318,11.031318,10.81357,2.97094,194.45596,194.45596,173.986,1567.5874,3.4136724,3.4136724,1.6654412,12.32541,6.2879224,6.2879224,5.856682,1.3845302,0.6562086,0.6562086,0.24152125,0.74845594,93.541794,93.541794,92.90411,44.49476,1.7611247,1.7611247,1.4599096,0.74555236
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,16.297508,16.297508,16.78847,13.552864,234.88762,234.88762,186.27376,9660.893,6.7226925,6.7226925,2.916977,66.020935,10.711021,10.711021,9.693723,10.469907,1.2139165,1.2139165,0.41245407,2.5879154,97.94555,97.94555,96.37656,53.135708,3.7219362,3.7219362,2.5058,7.3042693
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,16.624702,16.624702,16.94962,4.338127,210.633,210.633,182.55891,3667.7744,6.4061704,6.4061704,3.918243,37.37165,12.575991,12.575991,12.594767,0.8802991,0.6640039,0.6640039,0.34102318,0.549595,99.04704,99.04704,100.76343,28.783573,2.772776,2.772776,2.5094664,1.6375998
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,6.738658,6.738658,5.1002674,13.443112,170.47484,170.47484,157.89432,741.0916,3.639175,3.639175,2.6446526,7.7734985,5.1734443,5.1734443,3.9631705,7.923718,0.37316415,0.37316415,0.216005,0.13273178,94.21322,94.21322,94.43765,7.236096,1.2100495,1.2100495,0.98120266,0.36026287
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,22.926096,22.926096,23.480211,8.991535,228.78532,228.78532,191.51414,5355.14,6.052801,6.052801,4.0085835,27.975183,18.765432,18.765432,18.102394,8.966728,0.90974563,0.90974563,0.4677432,0.8255323,101.224655,101.224655,101.77622,25.97392,4.1344395,4.1344395,3.9922981,4.056199
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,8.698365,8.698365,8.197048,12.995109,249.58679,249.58679,198.394,12164.141,7.9631376,7.9631376,5.449573,52.713974,7.246615,7.246615,6.728982,12.442195,1.2653065,1.2653065,0.7221389,2.0568202,89.29519,89.29519,90.162415,141.40154,3.0758302,3.0758302,2.6188915,6.1949754
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,6.35007,6.35007,4.986072,17.22497,202.71964,202.71964,188.66696,2117.4712,4.2867846,4.2867846,3.4200823,10.589637,4.374767,4.374767,3.9226477,1.5626664,0.61683327,0.61683327,0.3456216,0.36453366,91.526024,91.526024,91.035675,80.53401,1.4439266,1.4439266,1.1865448,0.8671005
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,10.184104,10.184104,9.868467,5.008101,228.23357,228.23357,219.90616,3403.4006,4.685984,4.685984,4.145091,12.958169,8.03841,8.03841,8.140033,1.1772522,0.8465311,0.8465311,0.5092921,0.57449466,96.1088,96.1088,94.31033,35.56905,2.1781986,2.1781986,2.266681,1.4913955
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,12.017732,12.017732,11.310048,6.5547442,201.17935,201.17935,178.34839,4551.0215,6.647551,6.647551,5.2593665,36.77953,8.164519,8.164519,8.013108,2.475806,0.9886345,0.9886345,0.65142936,1.2873021,101.058365,101.058365,100.563416,23.731197,3.3150258,3.3150258,2.930392,3.9188597
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,20.636532,20.636532,18.413347,91.04648,196.35927,196.35927,166.48933,5023.134,8.165924,8.165924,5.3357205,60.191174,11.129109,11.129109,10.8648,4.767695,1.3985299,1.3985299,0.75961286,3.4792414,77.05497,77.05497,77.37619,60.7957,2.7672951,2.7672951,2.3490267,2.5858066
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,12.599177,12.599177,11.783569,16.83236,203.14903,203.14903,161.2231,6596.652,6.9247704,6.9247704,3.3691208,48.32944,9.781465,9.781465,9.821044,14.04757,1.072622,1.072622,0.49720407,1.3324803,93.141426,93.141426,92.64866,50.778477,2.7630496,2.7630496,2.2507436,3.8203423
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,10.369261,10.369261,10.943989,6.030291,233.10127,233.10127,207.0892,7747.2705,6.1717386,6.1717386,4.0054536,37.934967,8.380136,8.380136,8.3974695,5.974109,0.8346866,0.8346866,0.42531124,1.0211035,102.99109,102.99109,100.85107,89.08012,2.8139234,2.8139234,2.2239988,4.0589643
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,10.391176,10.391176,9.384892,9.717676,262.43658,262.43658,202.14926,16407.139,6.5028253,6.5028253,3.657533,36.172005,9.258418,9.258418,8.664502,6.7735486,0.68241763,0.68241763,0.34321415,0.49721164,107.29198,107.29198,109.66867,118.465294,2.9081304,2.9081304,2.2834,4.3036795
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,11.732172,11.732172,11.894565,1.0001342,190.57649,190.57649,173.56412,1323.2368,2.7702746,2.7702746,1.3710591,8.7822,10.181089,10.181089,10.484759,0.8070593,0.6163059,0.6163059,0.29125157,0.51848894,93.28326,93.28326,92.38328,46.06632,2.6424232,2.6424232,2.3241427,0.53700435
2019-04-17,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,15.410426,15.410426,15.579402,19.988365,302.80237,302.80237,225.79074,29176.64,9.834427,9.834427,5.320601,143.77141,13.968216,13.968216,14.113111,18.749361,1.6869129,1.6869129,0.56556624,6.0737667,101.75441,101.75441,100.94793,81.921646,4.99102,4.99102,3.9041054,10.496802
