Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,15.145792,15.145792,13.984926,10.678297,160.77812,160.77812,161.17911,20.449518,0.9043815,0.9043815,0.713019,0.34283322,12.01137,12.01137,11.771963,2.479749,0.10757993,0.10757993,0.0864029,0.0022850942,94.418564,94.418564,92.76123,16.831528,4.817269,4.817269,3.9740086,6.0180373
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,20.984179,20.984179,21.564774,5.344901,168.33958,168.33958,167.6051,16.531149,1.2334071,1.2334071,0.8877663,0.52062845,15.23469,15.23469,15.760383,5.228294,0.1541677,0.1541677,0.11289103,0.009126094,101.5687,101.5687,99.379944,30.184175,4.3060093,4.3060093,4.200011,4.660942
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,16.651413,16.651413,13.991941,53.158974,168.72662,168.72662,168.06133,61.544632,1.3383044,1.3383044,1.1313049,0.34900692,12.218093,12.218093,10.468346,38.76648,0.13020416,0.13020416,0.12185608,0.0020443012,100.694305,100.694305,100.24794,12.903979,3.8502762,3.8502762,2.8013148,8.729444
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,17.47026,17.47026,17.658997,9.807187,171.7606,171.7606,171.1501,9.236443,1.0281432,1.0281432,0.8235545,0.31118163,13.900264,13.900264,14.054324,6.648052,0.14653528,0.14653528,0.12781864,0.005732155,101.44877,101.44877,101.00943,32.656414,3.5185893,3.5185893,3.2134223,0.7747801
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,21.19047,21.19047,19.545317,38.87217,167.69876,167.69876,165.20642,206.31683,1.0618776,1.0618776,0.94199616,0.19940746,17.429295,17.429295,14.924835,43.630116,0.1395345,0.1395345,0.12502086,0.004286439,107.18873,107.18873,106.79596,14.104053,2.8920498,2.8920498,1.8969928,4.900139
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,13.590976,13.590976,10.532764,80.320114,154.63885,154.63885,151.7523,242.00436,1.4702345,1.4702345,1.4174814,0.4120291,12.551723,12.551723,10.010017,70.36546,0.10818046,0.10818046,0.10870593,0.0025798392,97.602486,97.602486,95.33641,35.885235,2.9377346,2.9377346,2.356238,6.5031533
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,18.731077,18.731077,17.308594,21.02823,146.27338,146.27338,148.99481,26.52983,0.78229636,0.78229636,0.6352962,0.12441778,10.734907,10.734907,8.973675,13.895371,0.0867483,0.0867483,0.08031975,0.0012070979,91.84148,91.84148,92.11267,5.721658,0.49458298,0.49458298,0.50317794,0.022691395
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,5.49207,5.49207,4.3193607,14.124082,133.02937,133.02937,133.02655,5.8342495,1.0166824,1.0166824,0.9689936,0.08934209,4.4510713,4.4510713,3.542123,10.695216,0.07776106,0.07776106,0.070464626,0.00080559467,88.04956,88.04956,89.80787,26.135641,0.26315162,0.26315162,0.2599428,0.011139383
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,5.4920907,5.4920907,5.3737297,4.3139753,159.70387,159.70387,151.38223,279.5133,1.0993088,1.0993088,0.94513774,0.1510796,3.4409819,3.4409819,3.4179368,0.8600257,0.10045532,0.10045532,0.091659404,0.001172559,100.244225,100.244225,99.747925,25.58435,0.812316,0.812316,0.7874365,0.061994515
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,8.751425,8.751425,9.507632,5.9000626,153.396,153.396,149.33746,69.720436,0.7288229,0.7288229,0.67471516,0.02712028,7.8876305,7.8876305,8.621336,6.4424896,0.10095899,0.10095899,0.10216088,0.0014300164,98.01211,98.01211,95.782684,45.46475,1.9716938,1.9716938,1.9272406,0.55548555
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,10.3023615,10.3023615,9.522379,6.7682624,146.32161,146.32161,148.55804,153.8604,0.76122624,0.76122624,0.695259,0.06350348,5.834713,5.834713,5.16531,1.3516945,0.090431295,0.090431295,0.08351033,0.0006781146,108.90233,108.90233,108.441956,22.677032,0.9217905,0.9217905,0.8322729,0.14647622
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,14.024653,14.024653,13.437261,10.632418,126.08571,126.08571,126.05126,23.934656,0.77478343,0.77478343,0.7243247,0.09308009,6.4832196,6.4832196,6.4682035,0.30359632,0.08444829,0.08444829,0.07682212,0.0006708994,93.92893,93.92893,93.958664,16.015274,0.5188323,0.5188323,0.49242103,0.02366374
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,10.162662,10.162662,10.551801,4.0752416,137.45833,137.45833,137.57779,7.6122293,0.77539086,0.77539086,0.6933305,0.133152,5.285047,5.285047,5.2286215,0.79183084,0.074295804,0.074295804,0.06790657,0.0011131918,96.49415,96.49415,97.161194,8.987254,0.38891405,0.38891405,0.37942982,0.014511975
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,8.086873,8.086873,7.7774415,3.364475,142.5833,142.5833,142.92676,139.80983,0.66383386,0.66383386,0.6235366,0.043769628,7.0831513,7.0831513,7.3557568,2.2058554,0.088018246,0.088018246,0.08063407,0.0010704551,99.01885,99.01885,97.68254,54.267063,1.0159088,1.0159088,1.0384156,0.049447935
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,10.117282,10.117282,9.107823,13.220689,160.27826,160.27826,156.27542,98.4635,1.2406536,1.2406536,1.0430803,0.5893942,9.01656,9.01656,8.226599,7.9850497,0.14505596,0.14505596,0.11457482,0.005824513,99.39229,99.39229,91.46333,190.6462,1.8209451,1.8209451,1.6543994,0.99276966
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,10.135752,10.135752,9.805384,2.1928096,162.40302,162.40302,161.43259,13.683037,0.7662134,0.7662134,0.69656926,0.06730304,8.373667,8.373667,7.938153,1.0357587,0.11863411,0.11863411,0.11013779,0.00142063,104.30845,104.30845,105.36107,15.679471,3.1030493,3.1030493,2.9212828,0.84620976
