Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,15.887925,15.887925,16.165781,7.6509867,184.0497,184.0497,178.5958,748.88043,0.94662935,0.94662935,0.74288666,0.57113665,11.362877,11.362877,11.279686,5.136694,0.1361932,0.1361932,0.10503422,0.013844899,91.31143,91.31143,90.813934,23.551903,1.474662,1.474662,1.4097168,0.20352724
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,16.308052,16.308052,16.686821,2.273146,165.2244,165.2244,158.97504,370.22098,0.7362623,0.7362623,0.6222578,0.1367399,12.143556,12.143556,12.394548,1.30315,0.09943768,0.09943768,0.086071596,0.0026464653,93.15634,93.15634,92.76501,6.915954,1.5632093,1.5632093,1.5058887,0.10368406
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,11.667051,11.667051,11.752609,0.97398,178.35548,178.35548,173.7883,503.9941,0.9832538,0.9832538,0.8314167,0.31492147,8.161217,8.161217,8.046362,1.7310929,0.13589233,0.13589233,0.11423817,0.008371189,88.714874,88.714874,87.464264,26.712687,1.1661782,1.1661782,1.077531,0.35392842
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,16.974455,16.974455,17.095367,2.6772683,164.94687,164.94687,156.68488,454.33234,0.8119369,0.8119369,0.5941274,0.3798245,12.417551,12.417551,12.661404,1.4044315,0.09876937,0.09876937,0.07776002,0.005278139,95.98791,95.98791,95.95759,26.639439,0.97307694,0.97307694,0.9082406,0.06564597
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,12.231353,12.231353,12.849617,6.2635303,167.88765,167.88765,163.86238,436.86633,1.243069,1.243069,1.0430388,0.5143024,9.555834,9.555834,10.070948,1.8406204,0.11080531,0.11080531,0.09707521,0.0034899344,92.01631,92.01631,91.3356,39.535397,1.6717731,1.6717731,1.2236754,2.2858388
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,4.531252,4.531252,4.489769,3.3106227,156.87692,156.87692,158.0609,111.77682,0.78425264,0.78425264,0.7350993,0.066776946,3.772266,3.772266,3.546821,2.5346377,0.1003644,0.1003644,0.08867484,0.0025730538,87.56258,87.56258,87.67648,32.49992,0.5860159,0.5860159,0.55656457,0.2339849
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,6.738303,6.738303,6.6331863,3.323888,167.45006,167.45006,156.33545,1634.8754,0.76724774,0.76724774,0.59913313,0.2969978,5.4701743,5.4701743,5.366499,1.6485674,0.09346961,0.09346961,0.07179857,0.004223796,87.37841,87.37841,87.21384,11.4621,0.41337565,0.41337565,0.34467006,0.05345866
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,3.4200559,3.4200559,3.2305536,1.1683717,133.79164,133.79164,134.62688,40.52438,0.6429805,0.6429805,0.5089349,0.19975635,2.4556804,2.4556804,2.3276243,0.3332036,0.08638751,0.08638751,0.070689335,0.0039931866,94.56306,94.56306,94.5175,26.840439,0.24254613,0.24254613,0.21125287,0.021835579
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,6.7399716,6.7399716,5.653641,9.155771,153.07314,153.07314,150.47507,132.81165,0.7580998,0.7580998,0.7022315,0.10784904,4.046838,4.046838,4.0625286,0.71539503,0.10562504,0.10562504,0.10183971,0.0019183626,95.90774,95.90774,95.7789,24.772831,0.24500209,0.24500209,0.23625423,0.011456219
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,8.946053,8.946053,9.248675,5.053465,150.96915,150.96915,146.91057,156.78014,0.673662,0.673662,0.5911376,0.09352394,6.250342,6.250342,6.041057,2.2125092,0.11614391,0.11614391,0.104832515,0.0026761882,91.369865,91.369865,90.592606,35.254066,0.28551817,0.28551817,0.28906655,0.012648191
