Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,14.237616,14.237616,13.9158325,10.038599,152.93973,152.93973,150.82973,88.38593,2.0626583,2.0626583,1.5165149,2.419945,11.542398,11.542398,10.784736,8.735087,0.37797186,0.37797186,0.2660281,0.10829682,91.79949,91.79949,91.731544,12.441427,7.4815207,7.4815207,6.2957497,26.399086
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,18.42092,18.42092,18.668404,2.358723,152.32553,152.32553,153.4945,52.04454,1.5268004,1.5268004,0.8863878,1.9563509,15.604842,15.604842,15.504111,1.9269482,0.20408069,0.20408069,0.107000634,0.04952175,92.996216,92.996216,93.06761,5.08276,5.261985,5.261985,3.0293562,23.46185
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,13.734293,13.734293,13.493425,2.202821,156.84804,156.84804,157.5367,41.86507,1.5006075,1.5006075,0.83126396,2.1543581,11.182175,11.182175,10.913771,2.5511062,0.198767,0.198767,0.093573816,0.051533032,83.81936,83.81936,83.991264,8.076404,3.1765227,3.1765227,1.4334062,11.208883
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,13.48475,13.48475,13.500021,1.1476547,156.29099,156.29099,158.19356,31.063868,1.1270771,1.1270771,0.65847415,1.342756,10.179756,10.179756,10.165381,0.42339617,0.15559866,0.15559866,0.08382628,0.033663046,83.4155,83.4155,83.56527,14.160768,2.531354,2.531354,1.0422384,9.201715
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,13.560688,13.560688,13.73501,6.876496,163.14363,163.14363,164.53786,49.71155,2.3393848,2.3393848,1.1644707,5.975168,11.9662895,11.9662895,11.921229,4.953833,0.2508929,0.2508929,0.11230658,0.09744254,85.40483,85.40483,85.88592,14.666619,4.159261,4.159261,0.9669634,36.270096
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,10.167373,10.167373,11.141927,14.992596,143.81216,143.81216,143.94508,32.204548,1.498997,1.498997,0.7465799,2.3531954,8.517605,8.517605,8.897023,8.922135,0.18347062,0.18347062,0.08209255,0.040700287,90.69214,90.69214,90.39452,5.2558117,3.8540392,3.8540392,1.6760708,16.124199
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,12.271621,12.271621,10.376439,34.900387,140.41278,140.41278,139.35843,67.38784,1.196882,1.196882,0.43328896,3.1993704,10.634313,10.634313,8.756093,29.707268,0.14801331,0.14801331,0.054740213,0.048421524,85.229485,85.229485,84.577805,10.214301,4.047398,4.047398,1.0562928,37.319725
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,4.6480923,4.6480923,2.8549323,12.829369,135.61307,135.61307,131.97978,155.65654,2.8327093,2.8327093,0.7131804,19.154203,3.9774919,3.9774919,2.3120706,10.126299,0.4955812,0.4955812,0.096406534,1.2899324,73.91573,73.91573,75.09516,26.024073,4.2598157,4.2598157,0.18680309,65.97435
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,4.6485047,4.6485047,3.161583,9.495793,146.49278,146.49278,144.75446,84.8709,2.6431715,2.6431715,1.30798,8.001597,3.931433,3.931433,2.303683,6.9698014,0.41815788,0.41815788,0.160781,0.20735785,78.210976,78.210976,78.176796,12.014734,7.1203313,7.1203313,1.0943376,83.34933
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,5.959926,5.959926,3.8198018,17.974564,156.73167,156.73167,157.29608,16.84322,1.5801796,1.5801796,0.69286245,4.2890973,5.2080708,5.2080708,3.3347242,12.478942,0.2813156,0.2813156,0.110540845,0.1831347,75.55792,75.55792,75.9266,9.737069,4.1203437,4.1203437,0.4834888,38.435143
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,4.246882,4.246882,4.219741,0.45695964,130.4466,130.4466,130.91852,9.433253,0.67044824,0.67044824,0.41939074,0.39997548,3.4047468,3.4047468,3.445583,0.13265353,0.09083892,0.09083892,0.056605633,0.012632194,90.649025,90.649025,90.50076,1.9500253,0.9954208,0.9954208,0.1864322,4.2373056
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,3.3663998,3.3663998,2.7025375,1.7390506,124.86369,124.86369,124.433556,16.469492,1.0033131,1.0033131,0.48470664,1.8094463,2.7610378,2.7610378,2.3508928,1.0814568,0.21391968,0.21391968,0.08753089,0.121152796,79.25345,79.25345,79.16658,10.439167,1.8485261,1.8485261,0.19579788,13.344769
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,6.4477286,6.4477286,4.760565,17.158882,139.90561,139.90561,137.34665,68.46011,1.7133046,1.7133046,0.6066657,6.7801304,5.53464,5.53464,4.052261,12.987103,0.27405718,0.27405718,0.073690385,0.3226022,82.721245,82.721245,83.28372,23.396896,4.7141957,4.7141957,0.2353886,60.151573
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,7.838351,7.838351,7.75334,12.728896,162.91998,162.91998,165.05548,77.19615,2.794831,2.794831,1.526711,8.398178,7.411589,7.411589,7.336359,10.944175,0.3717939,0.3717939,0.15974057,0.25469828,72.79024,72.79024,72.22734,49.47623,5.26786,5.26786,2.6185772,40.193256
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,5.557532,5.557532,5.175751,3.0502102,171.52698,171.52698,170.21025,103.91814,3.069811,3.069811,2.1661463,4.7971344,5.26911,5.26911,5.025145,2.4136202,0.45686784,0.45686784,0.28787708,0.19022696,68.90414,68.90414,68.95591,52.598186,6.2783318,6.2783318,3.4763517,37.079433
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,11.759251,11.759251,12.297783,16.73977,166.42729,166.42729,167.05861,46.38445,2.4402118,2.4402118,1.2452611,9.312814,10.8288145,10.8288145,11.233714,13.248721,0.41164747,0.41164747,0.15781166,0.39949438,80.36169,80.36169,82.0932,29.377155,9.408341,9.408341,5.587225,63.62294
2019-04-17,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,14.839626,14.839626,15.8906765,30.274817,162.02759,162.02759,161.91414,96.66992,1.3903997,1.3903997,0.92492056,1.9594836,13.106111,13.106111,13.863852,21.35212,0.24789079,0.24789079,0.1842144,0.054416593,88.689255,88.689255,88.167496,26.74853,10.630914,10.630914,9.459768,67.07348
2019-04-18,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,12.377927,12.377927,13.095534,15.99244,158.43758,158.43758,158.96754,53.972908,1.9541473,1.9541473,1.2641053,3.4528446,11.299998,11.299998,12.2025175,12.70155,0.2860331,0.2860331,0.17861979,0.08302374,91.20405,91.20405,92.072784,22.644068,8.152514,8.152514,6.8768907,32.72296
