Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,16.540129,16.540129,17.158182,10.002999,161.8671,161.8671,165.66676,136.09758,0.76292026,0.76292026,0.66685855,0.078888476,12.6103325,12.6103325,12.97158,3.4321077,0.12110882,0.12110882,0.10777602,0.0017624545,89.65589,89.65589,89.10589,15.067601,2.8519142,2.8519142,2.2362201,2.2640874
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,16.814907,16.814907,16.705345,0.95664865,152.98212,152.98212,153.53009,102.17819,0.54510945,0.54510945,0.49168137,0.05298987,12.670278,12.670278,12.881128,0.42491767,0.06915542,0.06915542,0.06498268,0.00067095767,89.341064,89.341064,89.390854,15.725894,1.5959376,1.5959376,1.5685657,0.076046206
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,12.72192,12.72192,12.536594,3.6712139,156.10176,156.10176,154.90565,31.172472,0.5876224,0.5876224,0.519357,0.053800706,10.612781,10.612781,10.255453,2.430734,0.080491915,0.080491915,0.07190049,0.00091107393,84.66566,84.66566,83.45875,13.819244,0.8765515,0.8765515,0.81962526,0.06727173
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,16.431372,16.431372,16.500046,1.6847055,154.14964,154.14964,154.45218,38.33603,0.42709988,0.42709988,0.38374993,0.029343884,12.517316,12.517316,12.5212,0.7542844,0.055619802,0.055619802,0.05125145,0.00036362695,87.76508,87.76508,86.78715,14.482934,0.6080358,0.6080358,0.58764726,0.010154093
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,10.43707,10.43707,10.359989,0.49335778,149.84232,149.84232,150.78618,72.95323,0.65199417,0.65199417,0.56719553,0.11958221,9.020762,9.020762,9.128313,0.6169292,0.06615277,0.06615277,0.057719134,0.0010928075,82.39112,82.39112,82.16501,13.74397,0.5290502,0.5290502,0.5852314,0.06580534
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,4.186441,4.186441,3.587323,3.1929076,149.02417,149.02417,149.78638,44.345737,0.47321644,0.47321644,0.45460722,0.018799387,3.8798172,3.8798172,3.4550898,2.267707,0.0673569,0.0673569,0.06457412,0.0007643958,93.209755,93.209755,92.74963,9.484833,0.638387,0.638387,0.58741987,0.17415056
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,5.278618,5.278618,5.019515,2.3508565,148.18106,148.18106,151.95409,62.646786,0.37343892,0.37343892,0.3718199,0.020362254,4.25692,4.25692,4.3103976,0.9970606,0.04986026,0.04986026,0.05137224,0.00030124985,86.37468,86.37468,86.94875,11.334587,0.269873,0.269873,0.24866153,0.010322013
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,2.798768,2.798768,2.649415,0.82912976,131.8961,131.8961,132.31744,63.318718,0.49051017,0.49051017,0.46520102,0.040624972,2.3477662,2.3477662,2.2025404,0.42676246,0.074804276,0.074804276,0.07275967,0.00071277766,83.022415,83.022415,83.28278,46.28241,0.19863193,0.19863193,0.16083275,0.015990097
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,4.2037654,4.2037654,3.8582845,3.3583827,158.57129,158.57129,161.15117,139.64836,0.83579206,0.83579206,0.85868955,0.05898002,3.3983028,3.3983028,3.2377663,1.754393,0.13886562,0.13886562,0.13696717,0.0012358052,83.02666,83.02666,84.52425,42.43744,0.23210716,0.23210716,0.17145273,0.022765903
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,9.998898,9.998898,9.986972,11.620595,169.92183,169.92183,173.16689,105.286316,0.6253804,0.6253804,0.6569161,0.04841496,9.070198,9.070198,9.210316,9.068864,0.11066635,0.11066635,0.10674121,0.0011605026,83.92918,83.92918,83.722725,20.366837,0.42717752,0.42717752,0.44378367,0.026538152
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,6.590996,6.590996,5.988538,3.339204,132.95941,132.95941,133.57993,39.829063,0.42822593,0.42822593,0.3821654,0.0335947,4.8186846,4.8186846,4.685239,0.6329103,0.051854666,0.051854666,0.046384476,0.00043560588,97.48507,97.48507,96.688965,22.733492,0.32793528,0.32793528,0.28128967,0.02703954
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,4.532736,4.532736,4.3864956,1.2421396,125.655815,125.655815,125.75869,18.928017,0.37555012,0.37555012,0.3350415,0.03527807,3.7283137,3.7283137,3.7880223,0.49906564,0.06676274,0.06676274,0.059166018,0.0009246919,86.79804,86.79804,86.91426,14.3733225,0.19287242,0.19287242,0.1536769,0.013810163
