Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,16.218819,16.218819,15.819406,4.9724236,169.16096,169.16096,169.8175,58.007195,1.0518149,1.0518149,0.96354216,0.3448646,11.756994,11.756994,11.074303,4.458622,0.16891739,0.16891739,0.14737412,0.011113849,95.69652,95.69652,95.638535,22.376719,2.7315073,2.7315073,2.4428353,2.4259803
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,20.25554,20.25554,20.47432,3.9837599,162.10983,162.10983,165.21983,88.18175,0.7488749,0.7488749,0.68175507,0.079073474,15.258529,15.258529,15.2731,1.5054264,0.116342545,0.116342545,0.10550316,0.0024581417,95.24355,95.24355,95.22157,2.0027213,1.829314,1.829314,1.8500826,0.044392597
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,11.627505,11.627505,12.448039,4.3043513,158.85558,158.85558,157.61333,34.330338,0.87009656,0.87009656,0.8389307,0.1316618,7.5101333,7.5101333,7.0775504,2.3136654,0.11063587,0.11063587,0.097708285,0.0024481846,88.43696,88.43696,88.81386,12.616235,1.3136967,1.3136967,1.2981403,0.057206012
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,14.222827,14.222827,14.334652,0.48876032,163.24072,163.24072,162.20099,47.73415,0.8486127,0.8486127,0.81734085,0.14573893,8.801719,8.801719,8.549039,1.3649052,0.12216466,0.12216466,0.110004455,0.004342773,86.183395,86.183395,86.163795,12.749549,1.1705024,1.1705024,1.1492603,0.08820251
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,16.65052,16.65052,16.613106,5.915013,178.74591,178.74591,177.00879,238.32547,1.1115837,1.1115837,1.0234954,0.28335163,13.001562,13.001562,12.968797,2.7389977,0.12874962,0.12874962,0.114892066,0.003917872,92.05469,92.05469,92.47965,50.342876,1.2769763,1.2769763,1.3203945,0.34244806
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,15.537501,15.537501,14.24123,38.165,164.65692,164.65692,168.60547,132.38339,0.960884,0.960884,0.9218513,0.19267373,13.145729,13.145729,12.539677,27.403984,0.08467836,0.08467836,0.077091224,0.0012873743,97.491264,97.491264,97.205246,24.47279,2.2675402,2.2675402,2.1609132,1.5818194
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,16.733376,16.733376,18.571114,31.152689,155.55583,155.55583,158.33743,115.23076,0.6594684,0.6594684,0.59566927,0.11363192,14.866058,14.866058,16.461386,24.588175,0.090206504,0.090206504,0.07629453,0.0026667917,90.232666,90.232666,92.256134,29.111113,1.1448212,1.1448212,1.234838,0.2075293
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.2023273,5.2023273,4.797187,8.239867,150.26712,150.26712,151.40582,403.81863,1.047522,1.047522,0.82517266,0.51485467,4.442352,4.442352,4.0631037,5.434493,0.12843831,0.12843831,0.101113886,0.0083676195,80.40272,80.40272,80.103165,20.477598,0.2989959,0.2989959,0.22824904,0.059479155
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,3.8708007,3.8708007,3.2942486,3.0162165,158.50114,158.50114,158.89172,31.816101,1.7520963,1.7520963,1.2465925,1.4912575,3.4481006,3.4481006,3.02358,2.2793427,0.26897195,0.26897195,0.18084762,0.04334052,78.81272,78.81272,79.333694,31.76597,1.8618826,1.8618826,0.44909552,11.656265
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.1181607,7.1181607,6.404188,5.9602466,160.78807,160.78807,160.223,34.947453,1.0475206,1.0475206,0.84868443,0.47838724,6.479422,6.479422,5.863404,4.8813133,0.16036247,0.16036247,0.1236095,0.012915039,78.67012,78.67012,78.02193,22.263762,0.9395415,0.9395415,0.33101344,1.8534212
2019-04-11,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,4.630003,4.630003,4.467621,0.68248117,137.3632,137.3632,136.6422,30.91865,0.58130246,0.58130246,0.54002666,0.082306966,3.8235106,3.8235106,3.670882,0.4966997,0.07000974,0.07000974,0.06136449,0.0013807702,90.833244,90.833244,90.926,10.424964,0.23656276,0.23656276,0.20537171,0.010863844
2019-04-12,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,4.501723,4.501723,3.7433972,3.881749,131.80676,131.80676,129.96712,100.2531,0.7321444,0.7321444,0.6621789,0.20599847,3.6716464,3.6716464,3.1454144,1.7658855,0.10636401,0.10636401,0.09090863,0.0042979172,79.65913,79.65913,78.827545,13.015596,0.1796265,0.1796265,0.11189699,0.032752212
2019-04-13,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.344494,5.344494,4.907192,2.6213381,142.55083,142.55083,141.8244,32.476494,0.6648515,0.6648515,0.5848378,0.11688092,4.3505254,4.3505254,3.8147123,2.0760298,0.0886408,0.0886408,0.07390711,0.0030376567,87.67293,87.67293,86.885254,24.583889,0.35449004,0.35449004,0.25104895,0.06389346
2019-04-14,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.1457367,5.1457367,4.725518,3.6341755,152.68105,152.68105,153.11424,54.175884,0.8387241,0.8387241,0.7996038,0.17317334,4.8631167,4.8631167,4.578416,3.2393186,0.10015036,0.10015036,0.0912327,0.0027774675,84.526634,84.526634,84.89525,15.148514,0.353722,0.353722,0.29321256,0.104827434
2019-04-15,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.828793,7.828793,8.283068,6.129321,169.11012,169.11012,166.38708,63.146225,1.0330999,1.0330999,1.0400925,0.16248627,6.7875385,6.7875385,6.829273,2.8684323,0.13764173,0.13764173,0.12525073,0.002739747,73.99465,73.99465,74.3697,46.91187,0.6710939,0.6710939,0.60089886,0.10403759
2019-04-16,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,12.478969,12.478969,13.375861,11.194792,168.7306,168.7306,168.33952,36.50318,1.0238068,1.0238068,0.9271013,0.4543985,11.568846,11.568846,12.645584,8.954403,0.15734811,0.15734811,0.13217881,0.010846208,83.02325,83.02325,82.34801,21.354156,2.1451426,2.1451426,1.9535093,2.1885364
2019-04-17,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,14.063779,14.063779,15.56851,25.766052,178.37416,178.37416,179.17056,90.51813,1.121257,1.121257,1.0913794,0.3740834,13.041554,13.041554,14.575283,21.179049,0.14788303,0.14788303,0.14305443,0.0060651605,89.8874,89.8874,91.12891,69.70666,4.3806014,4.3806014,3.6747565,12.603417
2019-04-18,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,9.672987,9.672987,9.622231,3.3516402,161.84947,161.84947,161.2575,28.052223,0.76956993,0.76956993,0.7449366,0.12832041,9.200736,9.200736,9.278475,2.5275514,0.1075542,0.1075542,0.10104628,0.0025584945,93.06425,93.06425,92.876434,5.329034,1.6649839,1.6649839,1.4921098,0.627746
2019-04-19,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,11.561859,11.561859,10.60742,8.937558,169.10187,169.10187,169.0224,86.040054,0.8472025,0.8472025,0.80013156,0.16145498,10.714919,10.714919,9.68981,8.371101,0.15202075,0.15202075,0.14452022,0.005013187,89.83966,89.83966,89.80855,24.175135,3.0905075,3.0905075,2.9019809,2.7086356
2019-04-20,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,8.833384,8.833384,8.363789,2.0939612,158.98477,158.98477,158.53601,24.240017,0.5958067,0.5958067,0.5783398,0.04339941,8.064191,8.064191,7.8136373,1.4604809,0.089574,0.089574,0.08323297,0.0011382553,86.33629,86.33629,85.7396,15.300143,1.2762985,1.2762985,1.2131166,0.20120779
2019-04-21,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,11.363804,11.363804,11.340292,1.2618061,160.19737,160.19737,158.9686,39.46304,0.7580738,0.7580738,0.73917264,0.1381956,9.446786,9.446786,9.293201,0.7350719,0.094394125,0.094394125,0.08186494,0.002712289,86.578,86.578,87.76152,33.638744,1.3184375,1.3184375,1.1295888,1.0411978
2019-04-22,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,11.935178,11.935178,11.425674,11.393307,161.00699,161.00699,160.24985,51.755264,0.9391811,0.9391811,0.91189516,0.1556312,9.964526,9.964526,9.591757,2.8060374,0.11015789,0.11015789,0.10526514,0.0020982455,92.13625,92.13625,94.862236,60.43363,1.2248331,1.2248331,1.2210677,0.12450307
2019-04-23,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,21.310843,21.310843,20.691128,24.471903,163.3499,163.3499,162.59038,103.91235,0.9873575,0.9873575,1.0129647,0.12711363,17.506346,17.506346,17.491749,3.689935,0.112164564,0.112164564,0.111456975,0.0014644965,97.897896,97.897896,97.79091,36.621277,1.7100433,1.7100433,1.6825225,0.5065636
2019-04-24,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,59.1447,59.1447,46.07395,1589.9325,157.40807,157.40807,157.01749,92.71145,0.8516964,0.8516964,0.7560779,0.1799529,33.49975,33.49975,28.553747,369.76407,0.12954083,0.12954083,0.11739925,0.0039599603,89.200325,89.200325,90.15272,36.62083,1.1681165,1.1681165,1.1648495,0.078786016
2019-04-25,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,111.3701,111.3701,107.37613,1773.564,158.40761,158.40761,158.52658,233.04489,1.5004632,1.5004632,1.3236381,0.9569517,62.508026,62.508026,49.99144,954.6996,0.16913642,0.16913642,0.15169042,0.012607387,73.523506,73.523506,74.64768,52.171906,0.547042,0.547042,0.48963535,0.064881176
2019-04-26,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,111.11752,111.11752,115.61426,397.64746,155.26123,155.26123,155.64757,124.85971,1.0775639,1.0775639,1.0188231,0.34065658,71.81727,71.81727,77.384735,437.43625,0.16612999,0.16612999,0.14419062,0.010647215,82.7502,82.7502,82.23151,65.16848,1.3033646,1.3033646,0.8576108,1.2582798
2019-04-27,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,106.122604,106.122604,101.46423,320.84302,148.04211,148.04211,143.85489,157.02432,0.60221666,0.60221666,0.51674926,0.18731296,70.562675,70.562675,72.65991,103.07906,0.08776436,0.08776436,0.07640468,0.0033418953,71.74462,71.74462,70.81866,21.031748,0.58103484,0.58103484,0.47869974,0.12532778
2019-04-28,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,8.557992,8.557992,7.572172,25.834267,133.26628,133.26628,134.69089,29.396051,0.58216816,0.58216816,0.5568625,0.10046228,6.653876,6.653876,6.3367667,11.994422,0.08797184,0.08797184,0.07512951,0.0022882752,96.47286,96.47286,96.72252,27.21785,0.54871505,0.54871505,0.2984919,0.26882592
2019-04-29,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.375788,6.375788,6.083405,1.7535515,136.69044,136.69044,136.55789,25.151293,0.54183483,0.54183483,0.47957724,0.12225608,3.5108216,3.5108216,3.154218,2.0061367,0.09618346,0.09618346,0.0761542,0.003846222,85.821266,85.821266,85.98831,30.188684,0.3742803,0.3742803,0.3800835,0.022197017
2019-04-30,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.4440103,6.4440103,5.7654543,3.6937447,135.0123,135.0123,134.23415,28.782185,0.47013834,0.47013834,0.43725508,0.05616109,3.692767,3.692767,3.383265,1.8852649,0.0761524,0.0761524,0.06450121,0.002066991,105.01371,105.01371,105.999756,46.999924,0.29016617,0.29016617,0.26089,0.029437682
2019-05-01,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,4.0819798,4.0819798,4.1661105,0.60795337,150.76108,150.76108,150.52849,55.476315,0.73475677,0.73475677,0.64787716,0.14577843,3.1812363,3.1812363,3.1340275,0.2713333,0.09419086,0.09419086,0.08061713,0.0033237827,90.64944,90.64944,90.82957,12.249227,0.23900889,0.23900889,0.21002755,0.015447472
2019-05-02,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.536356,7.536356,6.5638866,8.060321,162.01816,162.01816,162.08444,41.97504,0.8825469,0.8825469,0.81469405,0.26749638,6.7846265,6.7846265,5.965208,6.5180244,0.12879974,0.12879974,0.10580194,0.0075523043,93.420074,93.420074,92.804436,58.73457,2.277063,2.277063,1.1708784,8.690606
2019-05-03,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.975734,7.975734,7.6332855,2.379774,154.22795,154.22795,155.50482,46.021072,0.741114,0.741114,0.6841301,0.18759237,6.9086604,6.9086604,6.5701876,2.1817882,0.0929112,0.0929112,0.08229026,0.002887342,91.22983,91.22983,90.19448,22.353802,0.42333686,0.42333686,0.2970175,0.08271872
2019-05-04,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,11.586927,11.586927,11.769109,5.22772,140.29,140.29,140.77423,112.863686,0.6542161,0.6542161,0.6000686,0.1538258,6.8951545,6.8951545,6.8495636,2.3452191,0.08563521,0.08563521,0.07150948,0.0024615931,83.35462,83.35462,82.32573,24.159977,0.26391992,0.26391992,0.17415401,0.05779035
2019-05-05,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,15.948389,15.948389,10.081253,153.0149,130.40927,130.40927,129.70335,68.26378,0.47091562,0.47091562,0.43486282,0.06317212,11.283895,11.283895,8.477179,38.836327,0.084341116,0.084341116,0.07764189,0.002059466,77.83881,77.83881,77.53985,21.730364,0.22570114,0.22570114,0.16138557,0.034208737
2019-05-06,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.373845,5.373845,5.0962677,1.3694116,142.77312,142.77312,143.71866,21.776354,0.45442438,0.45442438,0.4369651,0.04066848,3.057395,3.057395,2.9826102,0.31229222,0.076951645,0.076951645,0.0679181,0.0017212334,93.10394,93.10394,92.78128,6.7123013,0.3568276,0.3568276,0.315468,0.015647955
2019-05-07,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,3.7306278,3.7306278,2.494308,5.328937,145.33063,145.33063,144.92209,35.836437,0.845542,0.845542,0.72832274,0.27454865,3.3367164,3.3367164,2.2463033,4.313733,0.15292564,0.15292564,0.12445402,0.009567614,76.90706,76.90706,74.60957,94.80394,1.8698517,1.8698517,0.57882583,6.008005
2019-05-08,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,9.594761,9.594761,10.168901,4.3309813,153.00325,153.00325,155.05734,60.846645,0.81290597,0.81290597,0.77729654,0.15879704,8.723395,8.723395,9.2159,3.4519382,0.13100712,0.13100712,0.11712943,0.0045699696,89.49511,89.49511,93.44081,88.2681,2.955138,2.955138,3.1836295,2.3801062
2019-05-09,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.97055,7.97055,7.3775206,4.22971,152.95316,152.95316,145.19028,411.83652,0.80964494,0.80964494,0.7292376,0.20504548,6.031599,6.031599,5.410983,2.051344,0.10188855,0.10188855,0.08839299,0.0036775395,82.59957,82.59957,82.043015,56.926388,0.5094383,0.5094383,0.4194476,0.08266243
2019-05-10,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.014844,7.014844,7.1981745,4.0570006,136.61314,136.61314,135.87794,17.489857,0.7060299,0.7060299,0.64404017,0.1698784,5.2048426,5.2048426,4.8754015,2.5604541,0.084860675,0.084860675,0.07167372,0.0028702775,87.14177,87.14177,86.71179,20.693714,0.48238048,0.48238048,0.22537705,0.60473657
2019-05-11,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.7027783,6.7027783,6.7816925,1.1626811,134.00545,134.00545,134.48473,26.70236,0.5697977,0.5697977,0.5096124,0.08591196,5.811725,5.811725,5.7144704,0.9754017,0.08875171,0.08875171,0.078792974,0.002305299,91.87474,91.87474,92.64228,35.530613,1.7790432,1.7790432,1.4920545,1.0177292
2019-05-12,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.6369777,7.6369777,5.2856083,16.09471,149.32195,149.32195,144.39389,366.99777,0.5826875,0.5826875,0.50204206,0.119561,6.246106,6.246106,4.376582,8.902746,0.06567648,0.06567648,0.055898845,0.001492546,86.78145,86.78145,86.25101,49.663403,0.5765813,0.5765813,0.41849327,0.17068756
2019-05-13,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.855062,7.855062,7.2991247,4.2409377,135.27383,135.27383,135.38336,61.89129,0.6694921,0.6694921,0.62274396,0.07807879,6.195384,6.195384,5.840291,2.4900277,0.09977699,0.09977699,0.08813083,0.0024236846,84.716644,84.716644,84.35503,27.06216,0.6415525,0.6415525,0.610445,0.09924202
2019-05-14,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,9.883225,9.883225,8.228277,30.780735,141.41917,141.41917,143.07083,50.850376,0.86611044,0.86611044,0.7615526,0.23710869,7.1850295,7.1850295,6.7949038,8.516523,0.12561807,0.12561807,0.110272184,0.0046406733,83.345314,83.345314,84.15819,30.58767,0.5052928,0.5052928,0.47510797,0.056911863
2019-05-15,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,4.560538,4.560538,3.8142836,3.2934422,132.62146,132.62146,132.21524,10.014848,0.6557951,0.6557951,0.5727365,0.14531562,3.8919609,3.8919609,3.2841215,2.2431421,0.09784965,0.09784965,0.0838366,0.0035433595,81.31441,81.31441,81.3794,13.799749,0.24533592,0.24533592,0.1777074,0.03203799
2019-05-16,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.563586,5.563586,5.6163497,0.8915924,131.34988,131.34988,130.67854,42.52577,0.65466785,0.65466785,0.5471517,0.16830954,4.889456,4.889456,4.868758,0.5994577,0.10585212,0.10585212,0.08094417,0.0050938176,82.4647,82.4647,81.57467,82.14953,0.29166076,0.29166076,0.23525733,0.020374108
2019-05-17,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.243332,6.243332,6.116798,1.5320339,133.09761,133.09761,132.55289,63.522617,0.6834374,0.6834374,0.62635267,0.16365461,5.392753,5.392753,5.3888445,1.3814874,0.10012818,0.10012818,0.08143224,0.0037740418,86.80292,86.80292,87.03211,40.642822,0.5284048,0.5284048,0.37693304,0.19093835
2019-05-18,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,5.356613,5.356613,5.0131483,1.6620721,127.2762,127.2762,124.30195,69.397354,0.6591348,0.6591348,0.6223217,0.12342529,4.6499314,4.6499314,4.2910547,1.4487962,0.0818157,0.0818157,0.076036796,0.0016701643,84.207825,84.207825,82.659836,38.79328,0.39361537,0.39361537,0.38289624,0.03194662
2019-05-19,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,16.129557,16.129557,14.75808,22.717958,128.67612,128.67612,128.79219,155.19443,0.6101979,0.6101979,0.50830156,0.14323516,10.151391,10.151391,9.894796,2.6687555,0.08655661,0.08655661,0.07305649,0.0027480833,95.11592,95.11592,94.85086,30.22349,0.64888376,0.64888376,0.6369119,0.06271738
2019-05-20,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,10.09367,10.09367,10.506168,4.7450047,111.616394,111.616394,110.98399,38.14772,0.42161423,0.42161423,0.37028265,0.07071991,6.73398,6.73398,6.630996,1.4771122,0.0732579,0.0732579,0.06036417,0.0017795416,98.25509,98.25509,98.567764,11.574445,0.2661934,0.2661934,0.22634049,0.018263906
2019-05-21,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.078942,6.078942,5.7022,2.2881656,120.9516,120.9516,120.92957,10.241989,0.5565781,0.5565781,0.51381475,0.0714209,4.903235,4.903235,4.7851124,0.41409433,0.078543,0.078543,0.07214229,0.0015118498,96.48832,96.48832,96.20865,15.980038,0.4513559,0.4513559,0.45855248,0.037512854
2019-05-22,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,4.673986,4.673986,4.497381,1.8583783,133.76596,133.76596,132.78557,16.360615,0.7572361,0.7572361,0.6748859,0.16639657,3.9829078,3.9829078,3.6362543,1.757039,0.10163446,0.10163446,0.09116073,0.0029801575,93.75337,93.75337,95.34085,71.30578,0.4182825,0.4182825,0.31405705,0.101033546
2019-05-23,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.8331676,7.8331676,7.533318,6.9892383,134.40013,134.40013,134.4769,144.19423,0.67905515,0.67905515,0.591009,0.16507344,6.729051,6.729051,6.506809,5.380706,0.08649272,0.08649272,0.07624157,0.0023711205,91.15032,91.15032,91.38452,79.809975,1.0497482,1.0497482,0.58376884,0.8155296
2019-05-24,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,7.809349,7.809349,7.9343143,5.423724,143.599,143.599,143.71193,29.643425,0.8455057,0.8455057,0.8119811,0.2362369,7.254831,7.254831,7.4211164,5.299406,0.09944271,0.09944271,0.090029314,0.0032690791,92.192184,92.192184,94.642395,72.32475,2.311547,2.311547,1.9216434,4.781208
2019-05-25,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,6.6217194,6.6217194,5.696444,5.0311904,129.82782,129.82782,129.78363,46.969975,0.6359931,0.6359931,0.60209334,0.09673268,6.0013866,6.0013866,5.248329,4.494158,0.083409935,0.083409935,0.07678785,0.0019778411,91.90441,91.90441,93.88577,61.73263,0.6660401,0.6660401,0.34685144,0.55863184
