Date,City,pm10_mean,pm10_average,pm10_median,pm10_var,co_mean,co_average,co_median,co_var,no2_mean,no2_average,no2_median,no2_var,pm2p5_mean,pm2p5_average,pm2p5_median,pm2p5_var,no_mean,no_average,no_median,no_var,o3_mean,o3_average,o3_median,o3_var,so2_mean,so2_average,so2_median,so2_var
2019-04-01,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,18.496773,18.496773,18.803371,0.8128141,167.44295,167.44295,165.51096,22.136335,0.70667464,0.70667464,0.6762644,0.022930695,14.453738,14.453738,13.876001,1.7064015,0.10185029,0.10185029,0.09646329,0.0007450273,99.77759,99.77759,98.278725,49.532566,1.6392891,1.6392891,1.7012383,0.049359012
2019-04-02,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,16.227703,16.227703,16.31699,0.6992004,172.52126,172.52126,172.06729,64.58422,0.98961776,0.98961776,0.9222667,0.05771028,12.014331,12.014331,11.639654,0.8535315,0.11090481,0.11090481,0.102335915,0.00067062693,92.783005,92.783005,92.980194,32.207836,1.7091779,1.7091779,1.7436683,0.17405161
2019-04-03,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,11.291742,11.291742,11.278421,0.49658155,174.32352,174.32352,176.24132,79.42042,0.9514896,0.9514896,0.92940414,0.02126527,8.059669,8.059669,8.261911,0.44989195,0.12575413,0.12575413,0.113771886,0.0012329771,93.839485,93.839485,94.363235,10.337147,0.9117142,0.9117142,0.9210197,0.060358707
2019-04-04,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,18.795355,18.795355,18.83665,1.8037663,144.47578,144.47578,144.26389,9.390481,0.5581885,0.5581885,0.55176485,0.00810396,13.711789,13.711789,13.907412,0.84099823,0.06748937,0.06748937,0.06375256,0.00020714599,98.17304,98.17304,96.892334,21.018103,1.0019044,1.0019044,0.94238925,0.030623412
2019-04-05,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,12.256919,12.256919,11.92054,2.3957617,171.62012,171.62012,168.08641,539.081,0.9274755,0.9274755,0.94236207,0.04462774,9.707456,9.707456,9.903444,2.2528474,0.06692171,0.06692171,0.06480147,8.657233e-05,100.533005,100.533005,99.43654,17.244886,1.0167428,1.0167428,1.067086,0.094273336
2019-04-06,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,5.913211,5.913211,4.321058,12.031788,159.74956,159.74956,160.33676,25.831951,0.7294693,0.7294693,0.7141116,0.013445009,4.8130655,4.8130655,3.522698,8.891928,0.09247973,0.09247973,0.0889866,0.00035839947,92.16029,92.16029,91.513626,12.269741,0.49463785,0.49463785,0.4820109,0.043800093
2019-04-07,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,13.615107,13.615107,13.6430025,1.5349114,146.29782,146.29782,145.58038,14.408536,0.5268649,0.5268649,0.5034835,0.010892392,9.960717,9.960717,10.166468,1.7421008,0.07642113,0.07642113,0.07450573,0.00028928134,93.96624,93.96624,94.574234,8.994236,0.53745455,0.53745455,0.4749765,0.042760037
2019-04-08,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,4.852536,4.852536,4.5666294,2.257595,141.82404,141.82404,135.7376,129.2721,0.6538568,0.6538568,0.3888852,0.25672367,3.426902,3.426902,2.925539,1.3911268,0.09307134,0.09307134,0.052226767,0.0060579777,96.58408,96.58408,101.44701,72.68176,0.44923747,0.44923747,0.29570442,0.09183499
2019-04-09,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,9.4330635,9.4330635,9.352649,3.5901308,156.44423,156.44423,155.1659,69.36189,0.7032383,0.7032383,0.566017,0.07897361,4.360628,4.360628,4.296624,0.15862165,0.11592252,0.11592252,0.08997986,0.0045851925,97.8591,97.8591,100.32091,49.562527,0.3510098,0.3510098,0.3026296,0.017124565
2019-04-10,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,11.478817,11.478817,10.5212145,6.294153,142.00807,142.00807,131.64844,379.22784,0.5629019,0.5629019,0.46000338,0.0427686,7.5580397,7.5580397,6.3047824,7.765019,0.09416945,0.09416945,0.07989336,0.0014105459,98.44624,98.44624,99.83661,26.565613,0.84647995,0.84647995,0.7009007,0.20055051
